Longitude,Latitude,Station.name,Section,Bodden,Bodden.Gate,Bodden.Gate.ALL,Fishereibezirke,MPA.Name,MPA.Range,MPA.Nearest,PA.Name,PA.Range,PA.Nearest,Fishing.Pressure,Boating.Reg.Name,Range.m,Range75,Include,Depth,Water.Level.Station
13.17068333,54.26681667,056_R,Brackish,S,S,S,S,Deviner See,LSB_20,LSB_20,Halbinsel Devin,NSG_05,NSG_05,H,,900,1329.5,,-180,STRALSUND
13.51021667,54.43528333,057_R,Brackish,KJB,KJB,KJB,KJB,,,,Insel Pulitz,NSG_04,NSG_04,L,,596.8181818,959,,,
13.29358333,54.54658333,058_R,Brackish,VbGjb,VbGjb,BRT,HRO,Neuendorfer Wiek,,LSB_24,Neuendorfer Wiek mit Insel Beuchel,NSG_01,NSG_01,H,,596.8181818,959,No,-230,WITTOWER FAEHRE
13.34193333,54.58333333,059_R,Brackish,VbGjb,VbGjb,BRG,HRO,,,,,,,H,,596.8181818,959,,,
13.43218333,54.51176667,060_R,Brackish,VbGjb,VbGjb,GJB,HRO,,,,,,,M,,596.8181818,959,,,
13.753,54.13475,061_R,Brackish,P,Gate9,Gate9,P,Freester Hock,LSB_15,LSB_15,,,,H,,204.0909091,373.1818182,,-330,KARLSHAGEN
13.74953333,54.1408,062_R,Brackish,P,Gate9,Gate9,P,"""Peenemuendung""",FSB_05,FSB_05,,,,H,,204.0909091,373.1818182,No,-420,KARLSHAGEN
13.69463333,54.36221667,063_R,Brackish,GB,GB,GB-N,GB,Selliner See,LSB_09,LSB_09,Neuensiener und Selliner See: Westufer des Selliner Sees,,NSG_19,M,,900,1329.5,,,
13.48503333,54.5498,065_R,Brackish,VbGjb,VbGjb,GJB,HRO,Mittel- und Syker See,LSB_24,LSB_24,Spyckerscher See und Mittelsee,NSG_03,NSG_03,M,,596.8181818,959,,,
13.37883333,54.57943333,066_R,Brackish,VbGjb,VbGjb,BRG,HRO,,,,,,,M,,596.8181818,959,,,
13.40185,54.55953333,067_R,Brackish,VbGjb,VbGjb,GJB,HRO,,,,,,,M,,596.8181818,959,,,
13.1618,54.57188333,068_R,Brackish,KbSb,Gate6,Gate6,HRW,"Der ""Libben""",FSB_02,FSB_02,Vorpommersche Boddenlandschaft - North,NPC_02,NPC_02,H,,167.2727273,313.1818182,No,-570,KLOSTER
13.15978333,54.56531667,069_R,Brackish,KbSb,Gate6,Gate6,HRW,"Der ""Libben""",FSB_02,FSB_02,Vorpommersche Boddenlandschaft - North,NPC_02,NPC_02,H,,167.2727273,313.1818182,,-360,KLOSTER
13.17573333,54.55063333,070_R,Brackish,VbGjb,Gate5,Gate5,HRW,,,,,,,H,,167.2727273,313.1818182,,-253,WITTOWER FAEHRE
13.12696667,54.57881667,071_R,Brackish,KbSb,KbSb,VB,HRW,,,,,,,H,,167.2727273,313.1818182,,-285,KLOSTER
13.11633333,54.35175,072_R,Brackish,S,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-240,STRALSUND
13.09428333,54.37173333,073_R,Brackish,KbSb,Gate7,Gate7,S,,,,,,,H,,808.3333333,1312.777778,,-230,STRALSUND
13.76308333,54.24226667,074_R,Brackish,GB,Gate10,Gate10,AS,,,,,,,H,,631.25,1028.333333,,-520,RUDEN
13.16715,54.30678333,075_R,Brackish,S,S,S,S,Wamper Wiek,LSB_18,LSB_18,,,,H,GWB-01,900,1329.5,,-232,STRALSUND
13.02056667,54.44268333,076_R,Brackish,KbSb,Gate1,Gate1,BAT,"Der ""Bock""",FSB_01a,FSB_01a,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,No,-270,BARHOEFT
12.99785,54.43906667,077_R,Brackish,BAT,Gate1,Gate1,BAT,,,,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-440,BARHOEFT
13.36045,54.54526667,078_R,Brackish,VbGjb,VbGjb,BRG,HRO,,,,Tetzitzer See mit Halbinsel Liddow und Banzelvitzer Berge,NSG_02,NSG_02,M,,596.8181818,959,,,
13.47433333,54.50221667,079_R,Brackish,VbGjb,VbGjb,GJB,HRO,,,,,,,M,,596.8181818,959,,,
13.05605,54.46965,080_R,Brackish,KbSb,Gate3,Gate3,AZ,"Der ""Bock""",FSB_01,FSB_01,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-200,BARHOEFT
13.05131667,54.4676,081_R,Brackish,KbSb,Gate3,Gate3,AZ,"Der ""Bock""",FSB_01,FSB_01,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-270,BARHOEFT
13.06435,54.45751667,082_R,Brackish,KbSb,Gate3,Gate3,S,"Der ""Bock""",FSB_01,FSB_01,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-230,BARHOEFT
13.82546667,53.8645,083_R,Brackish,P,Gate11,Gate11,SH,,,,,,,M,,204.0909091,373.1818182,,-460,KARNIN
13.8278,53.86431667,084_R,Brackish,P,Gate11,Gate11,SH,,,,,,,M,,204.0909091,373.1818182,,-440,KARNIN
13.8297,53.86488333,085_R,Brackish,P,Gate11,Gate11,SH,,,,,,,M,,204.0909091,373.1818182,,-345,KARNIN
12.65368333,54.40866667,086_R,Brackish,BAT,BAT,BOB,BOB,,,,,,,M,,204.0909091,373.1818182,,,
12.67048333,54.4093,087_R,Brackish,BAT,BAT,BAT,BAT,Fitt,LSB_01,LSB_01,,,,M,,204.0909091,373.1818182,,,
12.8117,54.35293333,088_R,Brackish,BAT,BAT,BAT,BAT,Flemendorfer Baek,LSB_03,LSB_03,,,,H,,808.3333333,1312.777778,,-170,BARTH
12.70841667,54.4005,089_R,Fresh,Barthe,Barthe,Barthe,BAT,Barther Strom,LSB_02,LSB_02,,,,M,,204.0909091,373.1818182,,-230,BARTH
13.8601,53.84166667,091_R,Brackish,P,Gate11,Gate11,SH,,,,,,,M,,204.0909091,373.1818182,,-400,KARNIN
13.8588,53.84026667,092_R,Brackish,P,Gate11,Gate11,SH,,,,,,,M,,204.0909091,373.1818182,,-270,KARNIN
13.85796667,53.83941667,093_R,Brackish,P,Gate11,Gate11,SH,,,,,,,M,,204.0909091,373.1818182,,-170,KARNIN
12.67973333,54.34313333,094_R,Fresh,Barthe,Barthe,Barthe,Barthe,,,,,,,M,,204.0909091,373.1818182,,,
13.29338333,53.97038333,095_R,Fresh,Peene,Peene,Peene,Peene,,,,,NSG_17,NSG_17,M,,204.0909091,373.1818182,No,-300,JARMEN
13.40568333,53.91083333,096_R,Fresh,Peene,Peene,Peene,Peene,,,,Peenetal von Jarmen bis Anklam,NSG_16,NSG_16,M,,204.0909091,373.1818182,,-300,JARMEN
13.52721667,53.88171667,097_R,Fresh,Peene,Peene,Peene,Peene,,,,Peenetal von Jarmen bis Anklam,NSG_16,NSG_16,M,,204.0909091,373.1818182,,-300,ANKLAM
13.824,53.84525,098_R,Brackish,P,Gate11,Gate11,SH,Anklamer Faehre,LSB_21,LSB_21,,,,M,,204.0909091,373.1818182,,-190,KARNIN
13.72188333,54.2616,099_R,Brackish,GB,Gate10,Gate10,GB,,,,,,,H,,631.25,1028.333333,,-405,THIESSOW
13.75738333,54.22961667,100_R,Brackish,GB,Gate10,Gate10,AS,,,,"Peenemuender Haken, Struck und BARHOEFT- Gebietsteil A",NSG_12,NSG_12,H,,631.25,1028.333333,,-260,RUDEN
13.74523333,54.25898333,101_R,Brackish,GB,Gate10,Gate10,AS,,,,,,,H,,631.25,1028.333333,,-640,THIESSOW
13.77965,54.21416667,102_R,Brackish,GB,Gate10,Gate10,AS,,,,"Peenemuender Haken, Struck und BARHOEFT- Gebietsteil A",NSG_12,NSG_12,H,,631.25,1028.333333,,-253,RUDEN
13.79258333,54.19763333,103_R,Brackish,GB,Gate10,Gate10,AS,,,,"Peenemuender Haken, Struck und BARHOEFT- Gebietsteil A",NSG_12,NSG_12,H,,631.25,1028.333333,,-520,RUDEN
13.79271667,54.19225,104_R,Brackish,GB,Gate10,Gate10,AS,,,,"Peenemuender Haken, Struck und BARHOEFT- Gebietsteil A",NSG_12,NSG_12,H,,631.25,1028.333333,,-220,RUDEN
13.69578333,54.28711667,105_R,Brackish,GB,GB,GB-N,GB,Zicker See,LSB_10,LSB_10,Moenchgut: Zicker,NSG_11,NSG_11,M,,900,1329.5,,-220,THIESSOW
13.3581,54.60346667,106_R,Brackish,VbGjb,VbGjb,BRG,HRO,Breeger Bodden noerdlich der Saalsteine,,LSB_23,,,,H,,596.8181818,959,,,
13.49951667,54.52906667,107_R,Brackish,VbGjb,VbGjb,GJB,HRO,,,,,,,M,,596.8181818,959,,,
13.22138333,54.38453333,108_R,Brackish,KbSb,KbSb,KB,S,Kubitzer Bodden,LSB_17,LSB_17,,,,L,,808.3333333,1312.777778,,,
13.15693333,54.40798333,109_R,Brackish,KbSb,KbSb,KB,S,,,,,,,H,,808.3333333,1312.777778,,-262,BARHOEFT
13.15831667,54.38786667,110_R,Brackish,KbSb,KbSb,KB,S,,,,,,,H,,808.3333333,1312.777778,,-253,BARHOEFT
13.11125,54.39688333,111_R,Brackish,KbSb,KbSb,KB,S,,,,,,,H,,808.3333333,1312.777778,,-250,BARHOEFT
13.06191667,54.39848333,112_R,Brackish,KbSb,KbSb,KB,S,,,,,,,H,,808.3333333,1312.777778,,-350,BARHOEFT
13.08968333,54.42873333,113_R,Brackish,KbSb,KbSb,KB,S,,,,,,,H,,808.3333333,1312.777778,,-270,BARHOEFT
13.10755,54.4767,114_R,Brackish,KbSb,KbSb,SB,HRW,,,,,,,H,,808.3333333,1312.777778,No,-389,NEUENDORF HAFEN
13.10693333,54.50038333,115_R,Brackish,KbSb,KbSb,SB,HRW,,,,,,,H,,808.3333333,1312.777778,,-400,NEUENDORF HAFEN
13.1426,54.49518333,116_R,Brackish,KbSb,KbSb,SB,HRW,,,,,,,H,BFMW,808.3333333,1312.777778,,-290,NEUENDORF HAFEN
13.12225,54.51696667,117_R,Brackish,KbSb,KbSb,SB,HRW,,,,,,,H,,808.3333333,1312.777778,,-400,NEUENDORF HAFEN
13.43156667,54.53965,118_R,Brackish,VbGjb,VbGjb,GJB,HRO,,,,,,,M,,596.8181818,959,,,
13.30975,54.568,119_R,Brackish,VbGjb,VbGjb,BRG,HRO,,,,,,,H,,596.8181818,959,,-400,WITTOWER FAEHRE
13.77855,54.22703333,120_R,Brackish,GB,Gate10,Gate10,AS,,,,,,,H,,631.25,1028.333333,,-263,RUDEN
13.7703,54.0406,121_R,Brackish,P,P,P,P,,,,,,,H,,204.0909091,373.1818182,,-937,WOLGAST
13.92191667,53.92076667,122_R,Brackish,P,P,P,P,,,,,,,L,,204.0909091,373.1818182,,,
13.24255,54.55695,123_R,Brackish,VbGjb,VbGjb,WB,HRW,,,,,,,H,,167.2727273,313.1818182,No,-469,WITTOWER FAEHRE
13.46245,54.32941667,124_R,Brackish,GB,GB,GB-N,GB,Wreechener See,LSB_06,LSB_06,Wreechener See,NSG_08,NSG_08,L,,900,1329.5,,20,LAUTERBACH
13.65115,54.35758333,125_R,Brackish,GB,GB,GB-N,GB,Neuensiener See,LSB_08,LSB_08,Neuensiener und Selliner See: Neuensiener See,NSG_09,NSG_09,M,,900,1329.5,,,
13.68028333,54.34848333,126_R,Brackish,GB,GB,GB-N,GB,Selliner See,LSB_09,LSB_09,Moenchgut: Having und Reddevitzer Hoeft,NSG_10,NSG_10,M,,900,1329.5,,,
13.31356667,54.26555,127_R,Brackish,GB,Gate8,Gate8,GB,Puddemiener Wiek,LSB_04,LSB_04,,,,H,GWB-05,900,1329.5,,-121,STAHLBRODE
13.7481,54.24496667,128_R,Brackish,GB,Gate10,Gate10,AS,,,,,,,H,,631.25,1028.333333,,-656,RUDEN
13.81083333,54.19445,129_R,Brackish,GB,Gate10,Gate10,AS,,,,"Peenemuender Haken, Struck und BARHOEFT- Gebietsteil A",NSG_12,NSG_12,H,,631.25,1028.333333,,-222,RUDEN
12.96348333,54.42915,130_R,Brackish,BAT,BAT,BAT,BAT,,,,Vorpommersche Boddenlandschaft,NPC_01,NPC_01,H,,808.3333333,1312.777778,,-290,BARHOEFT
12.79453333,54.40353333,131_R,Brackish,BAT,BAT,BAT,BAT,,,,,,,H,BFAW,808.3333333,1312.777778,,-290,BARTH
12.73556667,54.41495,132_R,Brackish,BAT,BAT,BAT,BAT,,,,,,,H,BFAW,204.0909091,373.1818182,,-350,BARTH
12.84491667,54.3846,133_R,Brackish,BAT,BAT,BAT,BAT,,,,,,,H,,808.3333333,1312.777778,,-353,BARTH
