"year"	"month"	"identifier"	"id"	"name"	"waterbody"	"Lat"	"Long"	"type"	"SAL"	"WT"
2020	11	"2020_11"	"BH"	"sampling instance"	"BAT"	54.23685	12.53618	"Coast"	9.26031746031746	7.86349206349206
2020	11	"2020_11"	"BH"	"sampling instance"	"BAT"	54.24475	12.47863	"Coast"	9.26031746031746	7.86349206349206
2020	11	"2020_11"	"BH"	"sampling instance"	"BAT"	54.24003	12.47774	"Coast"	9.26031746031746	7.86349206349206
2020	11	"2020_11"	"BH"	"sampling instance"	"BAT"	54.3679328306011	12.8144781748634	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.41174	12.88622	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.39981	12.8919	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.43463	12.94634	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.41738	12.955	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.421348	12.918984	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.39672	12.88686	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.40773	12.900959	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.40755	12.8909	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.412543	12.903077	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.40746	12.90344	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.42067	12.935066	"Coast"	9.26031746031746	7.86349206349206
2021	11	"2021_11"	"BH"	"sampling instance"	"BAT"	54.40811	12.89189	"Coast"	9.26031746031746	7.86349206349206
2020	12	"2020_12"	"BH"	"sampling instance"	"BAT"	54.3679328306011	12.8144781748634	"Coast"	9.04204545454545	1.17840909090909
2020	3	"2020_3"	"BH"	"sampling instance"	"Beek"	54.29683	13.40562	"Freshwater"	0.533333333333333	5.13333333333333
2021	3	"2021_3"	"BH"	"sampling instance"	"Beek"	54.299147	13.398644	"Freshwater"	0.533333333333333	5.13333333333333
2020	3	"2020_3"	"BH"	"sampling instance"	"Beek"	54.295692	13.410973	"Freshwater"	0.533333333333333	5.13333333333333
2021	4	"2021_4"	"BH"	"sampling instance"	"Beek"	54.299147	13.398644	"Freshwater"	0.47624270544	5.65
