"id"	"year"	"month"	"name"	"waterbody"	"identifier"	"Lat"	"Long"	"type"	"SAL"
"20812404"	2020	8	"Logger"	"SB"	"8_2020"	54.4736166666667	13.2520333333333	"Coast"	9.55290322580645
"20812404"	2020	9	"Logger"	"SB"	"9_2020"	54.4736166666667	13.2520333333333	"Coast"	8.92866666666667
"20812404"	2020	10	"Logger"	"SB"	"10_2020"	54.4736166666667	13.2520333333333	"Coast"	8.58709677419355
"20812404"	2020	11	"Logger"	"SB"	"11_2020"	54.4736166666667	13.2520333333333	"Coast"	7.99368421052632
"20812405"	2020	3	"Logger"	"BEG"	"3_2020"	54.5794333333333	13.3788333333333	"Coast"	9.17461538461538
"20812405"	2020	4	"Logger"	"BEG"	"4_2020"	54.5794333333333	13.3788333333333	"Coast"	8.91233333333333
"20812405"	2020	5	"Logger"	"BEG"	"5_2020"	54.5794333333333	13.3788333333333	"Coast"	8.48903225806452
"20812405"	2020	6	"Logger"	"BEG"	"6_2020"	54.5794333333333	13.3788333333333	"Coast"	7.8121052631579
"20812406"	2020	4	"Logger"	"BAT"	"4_2020"	54.4148333333333	12.7355	"Coast"	7.902
"20812406"	2020	5	"Logger"	"BAT"	"5_2020"	54.4148333333333	12.7355	"Coast"	7.67548387096774
"20812406"	2020	6	"Logger"	"BAT"	"6_2020"	54.4148333333333	12.7355	"Coast"	7.86366666666667
"20812406"	2020	7	"Logger"	"BAT"	"7_2020"	54.4148333333333	12.7355	"Coast"	7.03571428571429
"20812408"	2020	3	"Logger"	"BAT"	"3_2020"	54.4417166666667	13.0196333333333	"Coast"	9.67285714285714
"20812408"	2020	4	"Logger"	"BAT"	"4_2020"	54.4417166666667	13.0196333333333	"Coast"	9.75333333333333
"20812408"	2020	5	"Logger"	"BAT"	"5_2020"	54.4417166666667	13.0196333333333	"Coast"	8.39
"20812408"	2020	6	"Logger"	"BAT"	"6_2020"	54.4417166666667	13.0196333333333	"Coast"	8.34529411764706
"20812410"	2020	3	"Logger"	"GB"	"3_2020"	54.2295	13.7573333333333	"Coast"	7.94454545454545
"20812410"	2020	4	"Logger"	"GB"	"4_2020"	54.2295	13.7573333333333	"Coast"	7.624
"20812410"	2020	5	"Logger"	"GB"	"5_2020"	54.2295	13.7573333333333	"Coast"	7.72741935483871
"20812410"	2020	6	"Logger"	"GB"	"6_2020"	54.2295	13.7573333333333	"Coast"	7.29590909090909
"20813931"	2020	3	"Logger"	"KB"	"3_2020"	54.3818833333333	13.24845	"Coast"	8.85214285714286
"20813931"	2020	4	"Logger"	"KB"	"4_2020"	54.3818833333333	13.24845	"Coast"	9.007
"20813931"	2020	5	"Logger"	"KB"	"5_2020"	54.3818833333333	13.24845	"Coast"	8.83935483870968
"20813931"	2020	6	"Logger"	"KB"	"6_2020"	54.3818833333333	13.24845	"Coast"	8.19
"20803900"	2020	5	"Logger"	"KJB"	"5_2020"	54.4352833333333	13.5102166666667	"Coast"	6.16916666666667
"20803900"	2020	6	"Logger"	"KJB"	"6_2020"	54.4352833333333	13.5102166666667	"Coast"	6.19666666666667
"20803900"	2020	7	"Logger"	"KJB"	"7_2020"	54.4352833333333	13.5102166666667	"Coast"	6.49677419354839
"20803900"	2020	8	"Logger"	"KJB"	"8_2020"	54.4352833333333	13.5102166666667	"Coast"	5.752
"20803901"	2020	4	"Logger"	"Barthe"	"4_2020"	54.3431333333333	12.6797333333333	"Freshwater"	0.678125
"20803901"	2020	5	"Logger"	"Barthe"	"5_2020"	54.3431333333333	12.6797333333333	"Freshwater"	0.65
"20803901"	2020	6	"Logger"	"Barthe"	"6_2020"	54.3431333333333	12.6797333333333	"Freshwater"	0.666666666666667
"20803902"	2020	4	"Logger"	"Duwenbeek"	"4_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.513571428571429
"20803902"	2020	5	"Logger"	"Duwenbeek"	"5_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.479354838709677
"20803902"	2020	6	"Logger"	"Duwenbeek"	"6_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.426333333333333
"20803902"	2020	7	"Logger"	"Duwenbeek"	"7_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.368387096774194
"20803902"	2020	8	"Logger"	"Duwenbeek"	"8_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.375806451612903
"20803902"	2020	9	"Logger"	"Duwenbeek"	"9_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.499333333333333
"20803902"	2020	10	"Logger"	"Duwenbeek"	"10_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.533870967741935
"20803902"	2020	11	"Logger"	"Duwenbeek"	"11_2020"	54.4762666666667	13.2812833333333	"Freshwater"	0.365263157894737
"20803904"	2020	4	"Logger"	"Peene"	"4_2020"	53.8599666666667	13.6680166666667	"Freshwater"	0.791333333333333
"20803904"	2020	5	"Logger"	"Peene"	"5_2020"	53.8599666666667	13.6680166666667	"Freshwater"	1.05064516129032
