year,name,waterbody,identifier,Lat,Long,type,turbidity,SAL,WT
2022,Odin,Open Baltic,2022,54.7947,13.0588,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9903,13.7693,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4665,14.7164,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4666,14.7163,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2569,14.4908,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2571,14.49,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.1667,14.2502,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.1664,14.2499,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3832,15.3336,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3832,15.3331,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.5329,14.9155,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4957,15.093,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4536,15.2335,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3468,15.4665,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3301,15.6149,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3017,15.7967,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2497,15.9833,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2497,15.9836,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2503,15.9831,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2499,15.9835,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2501,15.9828,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2499,15.9822,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.1598,15.6602,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.5005,16.0002,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2217,16.1674,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2216,16.167,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2165,17.0665,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2164,17.0665,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2832,16.4997,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2589,16.3214,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2589,16.3207,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2967,16.432,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2971,16.4311,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2613,16.6388,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2617,16.6385,Sea,,10.67,
