"ID"	"capt"	"area"	"d18O"	"dist"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"
"BH-00355"	"Peene"	"Freshwater"	-9.6488903	0	0.00177	0.00809	0.000127	3.72333333333333e-05	0.000107611111111111
"BH-00355"	"Peene"	"Freshwater"	-9.9010929	35.90264614	0.00156549019607843	0.0079856862745098	9.61333333333333e-05	3.22156862745098e-05	8.57352941176471e-05
"BH-00355"	"Peene"	"Freshwater"	-10.104795	71.80529228	0.00141019607843137	0.0072483660130719	8.57503267973856e-05	2.79254901960784e-05	6.6102614379085e-05
"BH-00355"	"Peene"	"Freshwater"	-8.5236787	143.836713	0.00118862745098039	0.00707895424836601	8.39359477124183e-05	2.28339869281046e-05	7.55261437908497e-05
"BH-00355"	"Peene"	"Freshwater"	-8.9310829	179.7386992	0.00117803921568627	0.00710928104575163	8.66699346405229e-05	2.30150326797386e-05	7.09705882352941e-05
"BH-00355"	"Peene"	"Freshwater"	-9.2220859	215.8703314	0.00132993464052288	0.00722457516339869	7.29647058823529e-05	3.70222222222222e-05	8.11457516339869e-05
"BH-00355"	"Peene"	"Freshwater"	-8.9116827	251.771722	0.0016578431372549	0.00768222222222222	7.7759477124183e-05	4.50444444444444e-05	9.47241830065359e-05
"BH-00355"	"Peene"	"Freshwater"	-8.9213828	287.673426	0.00200307189542484	0.00756274509803922	8.1683660130719e-05	4.57058823529412e-05	9.57967320261438e-05
"BH-00355"	"Peene"	"Freshwater"	-9.1444851	323.575339	0.0018678431372549	0.0072978431372549	7.47339869281046e-05	6.03542483660131e-05	5.4202614379085e-05
"BH-00355"	"Peene"	"Freshwater"	-8.9892835	359.7068251	0.00160098039215686	0.00722627450980392	7.26209150326797e-05	5.44078431372549e-05	5.4721568627451e-05
"BH-00355"	"Peene"	"Freshwater"	-9.1250849	395.6083922	0.000997503267973857	0.00777751633986928	8.18496732026144e-05	1.56078431372549e-05	7.58692810457516e-05
"BH-00355"	"Peene"	"Freshwater"	-9.2123858	431.5101389	0.00084940522875817	0.00729745098039216	6.77588235294118e-05	1.27856209150327e-05	6.08640522875817e-05
"BH-00355"	"Peene"	"Freshwater"	-9.1250849	467.6419571	0.000813954248366013	0.00694267973856209	6.55346405228758e-05	1.13545751633987e-05	6.47751633986928e-05
"BH-00355"	"Peene"	"Freshwater"	-8.9989836	537.4988372	0.000828326797385621	0.00703941176470588	7.0278431372549e-05	8.44542483660131e-06	5.23908496732026e-05
"BH-00355"	"Peene"	"Freshwater"	-8.8534821	572.6587116	0.000776444444444444	0.00731300653594771	6.56307189542484e-05	7.40856209150327e-06	4.19065359477124e-05
"BH-00355"	"Peene"	"Freshwater"	-8.2520759	607.5870308	0.000757777777777778	0.00771588235294118	6.80490196078432e-05	8.06163398692811e-06	4.85398692810457e-05
"BH-00355"	"Peene"	"Freshwater"	-7.5924691	642.5153695	0.000768130718954248	0.00716771241830065	5.86274509803921e-05	6.2678431372549e-06	2.91183006535948e-05
"BH-00355"	"Peene"	"Freshwater"	-6.4478573	677.4437246	0.000945111111111111	0.00672555555555556	5.23333333333333e-05	6.45333333333333e-06	1.35855555555556e-05
"BH-00356"	"Peene"	"Freshwater"	-8.6206797	36.23534186	0.00134666666666667	0.00771555555555556	0.000103411111111111	2.60777777777778e-05	0.000158111111111111
"BH-00356"	"Peene"	"Freshwater"	-8.5333788	72.47068373	0.00141119658119658	0.00722504273504274	9.72102564102564e-05	2.61128205128205e-05	0.000142760683760684
"BH-00356"	"Peene"	"Freshwater"	-8.7370809	129.5569373	0.00138136752136752	0.00706435897435897	8.11333333333333e-05	2.58264957264957e-05	0.000143947863247863
"BH-00356"	"Peene"	"Freshwater"	-9.0474841	291.3022485	0.00127666666666667	0.00627538461538461	7.62299145299145e-05	2.17025641025641e-05	0.000119997435897436
"BH-00356"	"Peene"	"Freshwater"	-9.0959846	327.5362575	0.00123709401709402	0.00615034188034188	6.62247863247863e-05	1.42151282051282e-05	0.000108701709401709
"BH-00356"	"Peene"	"Freshwater"	-8.8728823	364.2471688	0.0010517264957265	0.00651820512820513	6.93299145299145e-05	1.06683760683761e-05	8.4017094017094e-05
"BH-00356"	"Peene"	"Freshwater"	-8.6594801	400.4809608	0.000866350427350427	0.0066034188034188	6.82692307692308e-05	8.85794871794872e-06	8.26820512820513e-05
"BH-00356"	"Peene"	"Freshwater"	-7.5730689	436.71501	0.000836316239316239	0.00690196581196581	6.20931623931624e-05	9.70803418803419e-06	8.89623931623932e-05
"BH-00356"	"Peene"	"Freshwater"	-8.1453748	473.4258126	0.000840863247863248	0.00681461538461539	4.89162393162393e-05	7.29675213675213e-06	7.66094017094017e-05
"BH-00356"	"Peene"	"Freshwater"	-8.0968743	509.6596904	0.000936940170940171	0.00667145299145299	5.52205128205128e-05	6.90358974358974e-06	7.67547008547009e-05
"BH-00356"	"Peene"	"Freshwater"	-7.3499666	546.3707532	0.0010721452991453	0.00667555555555556	4.39982905982906e-05	7.39726495726496e-06	7.98076923076923e-05
"BH-00356"	"Peene"	"Freshwater"	-7.2626657	582.6044971	0.000883965811965812	0.00707555555555556	4.31153846153846e-05	8.93521367521367e-06	9.71239316239316e-05
"BH-00356"	"Peene"	"Freshwater"	-7.0783638	618.838428	0.000862	0.00678051282051282	6.56760683760684e-05	9.9140170940171e-06	0.00010262735042735
"BH-00356"	"Peene"	"Freshwater"	-6.1083538	655.5493879	0.000921666666666667	0.00717111111111111	7.43333333333333e-05	9.14e-06	0.000129222222222222
"BH-00391"	"Barthe"	"Freshwater"	-8.0774741	0	0.00187888888888889	0.00703333333333333	7.54e-05	8.12333333333333e-06	4.57555555555556e-05
"BH-00391"	"Barthe"	"Freshwater"	-8.1744751	35.73513677	0.00173916666666667	0.00676037037037037	7.56222222222222e-05	8.3062962962963e-06	3.60472222222222e-05
"BH-00391"	"Barthe"	"Freshwater"	-7.9416727	69.26037828	0.00140018518518519	0.00659444444444444	6.62240740740741e-05	6.9412962962963e-06	2.39055555555556e-05
"BH-00391"	"Barthe"	"Freshwater"	-7.8349716	104.995238	0.00119916666666667	0.00685111111111111	5.07916666666667e-05	6.93666666666667e-06	2.18722222222222e-05
"BH-00391"	"Barthe"	"Freshwater"	-8.8146817	138.5207566	0.00125777777777778	0.00724888888888889	4.30481481481481e-05	5.96962962962963e-06	1.94681481481482e-05
"BH-00391"	"Barthe"	"Freshwater"	-7.7670709	174.2555595	0.00132703703703704	0.00686759259259259	4.18824074074074e-05	4.55175925925926e-06	1.26607407407407e-05
"BH-00391"	"Barthe"	"Freshwater"	-7.8058713	208.0865205	0.00134944444444444	0.00673833333333333	3.99777777777778e-05	4.61833333333333e-06	6.71444444444444e-06
"BH-00391"	"Barthe"	"Freshwater"	-7.3014661	243.5159132	0.00130574074074074	0.0065325	3.87203703703704e-05	5.87694444444444e-06	8.65398148148148e-06
"BH-00391"	"Barthe"	"Freshwater"	-7.7088703	277.3463539	0.00131925925925926	0.00647074074074074	4.2962962962963e-05	7.80888888888889e-06	1.89777777777778e-05
"BH-00391"	"Barthe"	"Freshwater"	-8.2520759	312.7762779	0.00132222222222222	0.0065825	4.67277777777778e-05	7.26944444444444e-06	2.59888888888889e-05
"BH-00391"	"Barthe"	"Freshwater"	-8.0192735	346.606405	0.00139333333333333	0.00631648148148148	4.87611111111111e-05	6.40333333333333e-06	3.18407407407407e-05
"BH-00391"	"Barthe"	"Freshwater"	-7.8155714	382.0366475	0.00164898148148148	0.00649027777777778	4.36157407407407e-05	7.54879629629629e-06	2.68851851851852e-05
"BH-00391"	"Barthe"	"Freshwater"	-7.4566677	415.8665651	0.00172666666666667	0.00672333333333333	4.62444444444444e-05	8.23555555555556e-06	2.08111111111111e-05
"BH-00392"	"Barthe"	"Freshwater"	-8.1259746	0	0.00110711111111111	0.00726777777777778	5.26333333333333e-05	6.09777777777778e-06	3.29555555555556e-05
"BH-00392"	"Barthe"	"Freshwater"	-7.8640719	36.05551275	0.00105250427350427	0.00641401709401709	4.12880341880342e-05	6.04888888888889e-06	2.55e-05
"BH-00392"	"Barthe"	"Freshwater"	-8.0871742	72.11102551	0.00115061538461538	0.00564923076923077	4.04461538461538e-05	6.40555555555556e-06	2.43547008547009e-05
"BH-00392"	"Barthe"	"Freshwater"	-7.4275674	108.1665383	0.00149	0.00702376068376068	3.47495726495726e-05	7.33529914529914e-06	3.18051282051282e-05
"BH-00392"	"Barthe"	"Freshwater"	-7.5924691	144.222051	0.00149111111111111	0.00618435897435897	3.36299145299145e-05	7.29222222222222e-06	3.16076923076923e-05
"BH-00392"	"Barthe"	"Freshwater"	-5.9434521	180.2775638	0.00171136752136752	0.00583264957264957	3.97358974358974e-05	8.37205128205128e-06	3.41863247863248e-05
"BH-00392"	"Barthe"	"Freshwater"	-7.4469676	216.3330765	0.00194282051282051	0.00488	3.36384615384615e-05	8.11478632478633e-06	2.96307692307692e-05
"BH-00392"	"Barthe"	"Freshwater"	-7.67977	252.3885893	0.00213034188034188	0.00401042735042735	3.53641025641026e-05	7.08897435897436e-06	2.54196581196581e-05
"BH-00392"	"Barthe"	"Freshwater"	-6.9522625	288.444102	0.00238623931623932	0.00416153846153846	4.10974358974359e-05	8.28777777777778e-06	2.82119658119658e-05
"BH-00392"	"Barthe"	"Freshwater"	-6.5351582	324.4996148	0.00234726495726496	0.00368358974358974	3.41367521367521e-05	7.10794871794872e-06	2.64376068376068e-05
"BH-00392"	"Barthe"	"Freshwater"	-5.836751	360.5551275	0.00205393162393162	0.00396581196581197	3.48811965811966e-05	6.44042735042735e-06	2.38179487179487e-05
"BH-00392"	"Barthe"	"Freshwater"	-6.0889536	395.6677899	0.0014457264957265	0.00495547008547009	4.4225641025641e-05	6.34504273504273e-06	3.04333333333333e-05
"BH-00392"	"Barthe"	"Freshwater"	-6.1180539	430.7806867	0.00133598290598291	0.00650128205128205	4.62871794871795e-05	7.2817094017094e-06	3.52333333333333e-05
"BH-00392"	"Barthe"	"Freshwater"	-7.0492635	465.8937647	0.00118777777777778	0.00658222222222222	4.49333333333333e-05	7.09111111111111e-06	3.27444444444444e-05
"BH-00398"	"Barthe"	"Freshwater"	-9.9980939	0	0.00128888888888889	0.00746888888888889	0.000111344444444444	1.02877777777778e-05	5.38333333333333e-05
"BH-00398"	"Barthe"	"Freshwater"	-9.4548883	35.6931366	0.00115485858585859	0.00691515151515152	0.000106009090909091	7.7010101010101e-06	4.58818181818182e-05
"BH-00398"	"Barthe"	"Freshwater"	-9.4354881	71.58910532	0.0010379898989899	0.00740111111111111	9.82919191919192e-05	7.25191919191919e-06	4.50474747474747e-05
"BH-00398"	"Barthe"	"Freshwater"	-9.7458913	107.2800075	0.00100094949494949	0.00747151515151515	8.85353535353535e-05	7.7379797979798e-06	4.17838383838384e-05
"BH-00398"	"Barthe"	"Freshwater"	-9.4839886	143.1782106	0.00106241414141414	0.00736323232323232	8.72494949494949e-05	9.04686868686869e-06	4.45525252525253e-05
"BH-00398"	"Barthe"	"Freshwater"	-7.8252715	178.8686669	0.00113212121212121	0.00751848484848485	8.98565656565657e-05	9.60959595959596e-06	4.6230303030303e-05
"BH-00398"	"Barthe"	"Freshwater"	-7.5342685	214.5600149	0.0011850505050505	0.0071069696969697	7.49141414141414e-05	9.87020202020202e-06	3.43343434343434e-05
"BH-00398"	"Barthe"	"Freshwater"	-7.388767	250.4575812	0.00127555555555556	0.00672656565656566	6.68343434343434e-05	9.02474747474747e-06	2.44484848484849e-05
"BH-00398"	"Barthe"	"Freshwater"	-7.7282705	285.1701247	0.00137888888888889	0.00682353535353535	6.45262626262626e-05	7.63252525252525e-06	2.23666666666667e-05
"BH-00398"	"Barthe"	"Freshwater"	-7.5051682	320.0906122	0.00156707070707071	0.00668131313131313	4.94454545454545e-05	7.83373737373737e-06	1.93333333333333e-05
"BH-00398"	"Barthe"	"Freshwater"	-7.6700699	354.8027621	0.00162989898989899	0.00642686868686869	4.26474747474747e-05	8.31646464646465e-06	1.60323232323232e-05
"BH-00398"	"Barthe"	"Freshwater"	-6.1665544	389.7242615	0.00148333333333333	0.00638444444444445	5.08222222222222e-05	7.44555555555556e-06	1.87777777777778e-05
"BH-00405"	"Barthe"	"Freshwater"	-8.8534821	0	0.00205555555555556	0.00742444444444445	8.29666666666667e-05	3.05111111111111e-05	0.000309222222222222
"BH-00405"	"Barthe"	"Freshwater"	-9.4936887	36.22154055	0.0021862962962963	0.00726166666666667	9.7287037037037e-05	3.15944444444444e-05	0.00031687037037037
"BH-00405"	"Barthe"	"Freshwater"	-9.134785	72.44308111	0.00212851851851852	0.00726962962962963	0.000101511111111111	3.15814814814815e-05	0.000276925925925926
"BH-00405"	"Barthe"	"Freshwater"	-8.7952815	108.7795937	0.00203944444444444	0.00730666666666667	0.000103455555555556	3.11055555555556e-05	0.000238222222222222
"BH-00405"	"Barthe"	"Freshwater"	-8.9310829	145.1206395	0.00203074074074074	0.0072	9.55518518518518e-05	3.23185185185185e-05	0.000244555555555556
"BH-00405"	"Barthe"	"Freshwater"	-8.5236787	181.463495	0.0019812962962963	0.00758351851851852	9.97925925925926e-05	3.27351851851852e-05	0.000221425925925926
"BH-00405"	"Barthe"	"Freshwater"	-8.8631822	217.8072542	0.00196333333333333	0.00828777777777778	0.000112333333333333	3.06666666666667e-05	0.000152
"BH-00405"	"Barthe"	"Freshwater"	-9.4160879	254.1515296	0.002005	0.00814462962962963	0.000114148148148148	3.17203703703704e-05	0.000135907407407407
"BH-00405"	"Barthe"	"Freshwater"	-9.1056847	290.4961273	0.00194407407407407	0.00731222222222222	0.000102848148148148	3.28481481481481e-05	0.000129851851851852
"BH-00405"	"Barthe"	"Freshwater"	-8.843782	326.8409399	0.00178611111111111	0.00703277777777778	8.69277777777778e-05	2.75055555555556e-05	8.02611111111111e-05
"BH-00405"	"Barthe"	"Freshwater"	-8.5236787	363.1859028	0.0015837037037037	0.00694888888888889	7.62333333333333e-05	1.68555555555555e-05	2.65866666666666e-05
"BH-00405"	"Barthe"	"Freshwater"	-7.1850649	399.530975	0.00147240740740741	0.00655185185185185	6.28629629629629e-05	1.74037037037037e-05	1.16981481481481e-05
"BH-00405"	"Barthe"	"Freshwater"	-7.0686637	435.8761292	0.00186555555555556	0.00694666666666667	5.44666666666667e-05	3.65555555555556e-05	9.03666666666665e-06
"BH-00411"	"Barthe"	"Freshwater"	-9.6391902	0	0.00161555555555556	0.00633333333333333	5.79e-05	1.48444444444444e-05	2.66555555555556e-05
"BH-00411"	"Barthe"	"Freshwater"	-9.2608863	36.22154055	0.00151533333333333	0.00610622222222222	5.25266666666667e-05	1.37533333333333e-05	1.84035555555556e-05
"BH-00411"	"Barthe"	"Freshwater"	-8.0483738	72.44308111	0.00158488888888889	0.00641666666666667	4.49533333333333e-05	1.53444444444444e-05	1.1408e-05
"BH-00411"	"Barthe"	"Freshwater"	-8.3975774	108.6646217	0.001708	0.00651022222222222	4.12711111111111e-05	2.08133333333333e-05	4.34377777777778e-06
"BH-00411"	"Barthe"	"Freshwater"	-7.8058713	144.8861622	0.00174133333333333	0.00623644444444445	4.34577777777778e-05	2.20488888888889e-05	3.272e-06
"BH-00411"	"Barthe"	"Freshwater"	-5.7009496	181.1077028	0.00165222222222222	0.00626444444444444	5.00333333333333e-05	1.66888888888889e-05	5.00333333333333e-06
"BH-00418"	"Peene"	"Freshwater"	-8.0095734	0	0.000687555555555556	0.00753111111111111	8.53111111111111e-05	4.78888888888889e-05	0.000596555555555555
"BH-00418"	"Peene"	"Freshwater"	-7.6506697	35.60898763	0.000726181818181818	0.00733878787878788	7.1259595959596e-05	6.29858585858586e-05	0.000838595959595959
"BH-00418"	"Peene"	"Freshwater"	-7.6603698	71.21797526	0.000743787878787879	0.00714313131313131	6.45878787878788e-05	7.41838383838384e-05	0.00101887878787879
"BH-00418"	"Peene"	"Freshwater"	-8.552779	106.8269629	0.000828969696969697	0.00692050505050505	7.40686868686869e-05	7.20292929292929e-05	0.000809616161616162
"BH-00418"	"Peene"	"Freshwater"	-8.3781772	142.4359505	0.000825919191919192	0.00691919191919192	7.10515151515151e-05	6.31424242424242e-05	0.000535242424242424
"BH-00418"	"Peene"	"Freshwater"	-8.5042785	178.0449381	0.000748212121212121	0.00705444444444445	6.81242424242424e-05	5.53848484848485e-05	0.000363727272727273
"BH-00418"	"Peene"	"Freshwater"	-7.8640719	213.6539258	0.000705313131313131	0.00680969696969697	6.31070707070707e-05	4.8830303030303e-05	0.000234707070707071
"BH-00418"	"Peene"	"Freshwater"	-6.9328623	249.2629134	0.000678828282828283	0.00672808080808081	5.9589898989899e-05	4.58616161616162e-05	0.000139972727272727
"BH-00418"	"Peene"	"Freshwater"	-7.9416727	284.871901	0.000643636363636364	0.00640515151515152	5.56737373737374e-05	4.44878787878788e-05	8.89939393939394e-05
"BH-00418"	"Peene"	"Freshwater"	-7.6506697	320.4808887	0.000632010101010101	0.00606737373737374	4.97090909090909e-05	5.55363636363636e-05	6.30010101010101e-05
"BH-00418"	"Peene"	"Freshwater"	-7.4372675	356.0898763	0.000709131313131313	0.00629777777777778	4.43878787878788e-05	5.19484848484849e-05	4.29545454545454e-05
"BH-00418"	"Peene"	"Freshwater"	-6.1665544	391.6988639	0.000805333333333333	0.00610222222222222	4.02777777777778e-05	2.71666666666667e-05	2.33777777777777e-05
"BH-00419"	"Peene"	"Freshwater"	-7.3693668	0	0.00106222222222222	0.00659777777777778	8.30333333333333e-05	1.84111111111111e-05	8.89333333333333e-05
"BH-00419"	"Peene"	"Freshwater"	-7.8543718	35.60898763	0.000810111111111111	0.00716488888888889	7.38488888888889e-05	1.2622e-05	8.55422222222222e-05
"BH-00419"	"Peene"	"Freshwater"	-8.2423758	71.21797526	0.000781688888888889	0.00711977777777778	7.31288888888889e-05	1.05177777777778e-05	7.45422222222222e-05
"BH-00419"	"Peene"	"Freshwater"	-8.2035754	106.8269629	0.000854222222222222	0.007108	6.69288888888889e-05	9.93066666666667e-06	7.94822222222222e-05
"BH-00419"	"Peene"	"Freshwater"	-7.8446717	142.4359505	0.0008732	0.00698688888888889	6.37177777777778e-05	8.19622222222222e-06	6.97777777777778e-05
"BH-00419"	"Peene"	"Freshwater"	-7.7961712	178.0449381	0.000855888888888889	0.00677	6.59555555555556e-05	7.82222222222222e-06	5.34555555555556e-05
"BH-00419"	"Peene"	"Freshwater"	-7.6506697	213.6539258	0.000862911111111111	0.00674044444444444	6.57311111111111e-05	7.47288888888889e-06	4.91488888888889e-05
"BH-00419"	"Peene"	"Freshwater"	-6.9813628	249.2629134	0.000843711111111111	0.00653688888888889	5.51066666666667e-05	7.29311111111111e-06	4.15533333333334e-05
"BH-00419"	"Peene"	"Freshwater"	-7.0104631	284.871901	0.000810711111111111	0.00641711111111111	4.58955555555556e-05	6.88266666666667e-06	2.77644444444445e-05
"BH-00419"	"Peene"	"Freshwater"	-5.9725524	320.4808887	0.000865622222222222	0.00645711111111111	4.36244444444444e-05	7.32733333333333e-06	1.60966666666667e-05
"BH-00419"	"Peene"	"Freshwater"	-5.351746	356.0898763	0.000972555555555555	0.00629222222222222	3.82777777777778e-05	7.78e-06	8.64888888888889e-06
"BH-00424"	"Peene"	"Freshwater"	-6.7679606	0	0.000768444444444444	0.00807444444444444	7.84555555555556e-05	1.29555555555556e-05	4.21777777777778e-05
"BH-00424"	"Peene"	"Freshwater"	-5.9046517	34.23448554	0.000774011695906433	0.00725877192982456	7.77602339181287e-05	1.51777777777778e-05	0.000108235087719298
"BH-00424"	"Peene"	"Freshwater"	-6.6903598	69.46221995	0.000836970760233918	0.00722894736842105	8.04426900584795e-05	2.10251461988304e-05	0.000198233918128655
"BH-00424"	"Peene"	"Freshwater"	-6.4866577	103.696673	0.000862438596491228	0.00750070175438596	8.91233918128655e-05	1.85912280701754e-05	0.000122839766081871
"BH-00424"	"Peene"	"Freshwater"	-7.5439686	138.8128236	0.000792859649122807	0.00780900584795322	9.19672514619883e-05	1.4712865497076e-05	7.49666666666667e-05
"BH-00424"	"Peene"	"Freshwater"	-6.6418593	173.0462366	0.000784029239766082	0.00754099415204678	8.25122807017544e-05	1.61900584795322e-05	8.44830409356725e-05
"BH-00424"	"Peene"	"Freshwater"	-8.1356747	208.2738582	0.000868649122807018	0.00724953216374269	8.31567251461988e-05	1.96842105263158e-05	7.84350877192982e-05
"BH-00424"	"Peene"	"Freshwater"	-7.1462645	242.5077318	0.000974730994152047	0.0071412865497076	8.25023391812865e-05	2.1540350877193e-05	8.13690058479532e-05
