"ID"	"capt"	"area"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00355"	"Peene"	"Freshwater"	-1.1175508432891	1.52874663747863	0.743115219026752	0.743115219026751	1.72500153496477	-1.73725670822002
"BH-00355"	"Peene"	"Freshwater"	-1.12615844062843	1.45532465565332	0.700942132621689	0.700942132621689	1.67495956104671	-1.73974913529332
"BH-00355"	"Peene"	"Freshwater"	-1.13476603796777	1.38190267382801	0.658769046216627	0.658769046216626	1.62491758712863	-1.74224156236661
"BH-00355"	"Peene"	"Freshwater"	-1.14118301727172	1.3286416460285	0.610834047126795	0.610834047126795	1.5709988325085	-1.74473398943991
"BH-00355"	"Peene"	"Freshwater"	-1.14580172803917	1.29193065511585	0.558169119713644	0.558169119713644	1.51389764596876	-1.74722641651321
"BH-00355"	"Peene"	"Freshwater"	-1.15060112607584	1.25124765535035	0.505403017363096	0.505403017363096	1.45685817932079	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.15705682408034	1.17415457443378	0.451709478086407	0.451709478086407	1.40038447834742	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.16351252208484	1.0970614935172	0.398015938809718	0.398015938809718	1.34391077737405	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.16959436952518	1.05053224695531	0.366169441014996	0.366169441014995	1.29698565799058	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.17547272868375	1.02063901149786	0.346214370862357	0.346214370862356	1.25525786782692	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.18117556306651	0.993118664446007	0.322819352838213	0.322819352838212	1.22093646467616	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.18616167128137	0.975287611717002	0.285377881005425	0.285377881005425	1.21685780849475	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.19114777949623	0.957456558987997	0.247936409172639	0.247936409172639	1.21277915231334	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.19507686718616	0.905592612224394	0.210648385994904	0.210648385994904	1.22379486716395	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.198645870961	0.842135042218234	0.173412636534825	0.173412636534825	1.239952620498	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.20260206174132	0.789664977220592	0.145100516553178	0.145100516553178	1.25847115969241	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.20748319925692	0.763442840854409	0.138105955881119	0.138105955881119	1.28262935399769	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.21236433677252	0.737220704488228	0.131111395209059	0.131111395209059	1.30678754830296	-1.7494736868252
"BH-00355"	"Peene"	"Freshwater"	-1.21241553149879	0.718525610872403	0.123769467251936	0.123769467251936	1.32074781632363	-1.74751972906692
"BH-00355"	"Peene"	"Freshwater"	-1.21157576590471	0.701219000870723	0.116363461834462	0.116363461834462	1.33282691347627	-1.74520533249886
"BH-00355"	"Peene"	"Freshwater"	-1.21067405038976	0.671944779779952	0.115837352159997	0.115837352159997	1.34323957355101	-1.74289093593079
"BH-00355"	"Peene"	"Freshwater"	-1.20967682874679	0.624220491593501	0.12591774842267	0.12591774842267	1.35108314313064	-1.74057653936273
"BH-00355"	"Peene"	"Freshwater"	-1.20867960710381	0.576496203407049	0.135998144685344	0.135998144685343	1.35892671271028	-1.73826214279467
"BH-00355"	"Peene"	"Freshwater"	-1.21258030108001	0.573757924576679	0.175360254079721	0.175360254079721	1.36440435310523	-1.73443740546498
"BH-00355"	"Peene"	"Freshwater"	-1.21677912905042	0.573757924576679	0.216504728621245	0.216504728621245	1.36973798041939	-1.7305207343498
"BH-00355"	"Peene"	"Freshwater"	-1.21984220847145	0.583043140076835	0.251882231731129	0.251882231731129	1.36789667031479	-1.72660406323462
"BH-00355"	"Peene"	"Freshwater"	-1.22173168105814	0.601923078260487	0.281300531028319	0.281300531028319	1.35864125821082	-1.72268739211943
"BH-00355"	"Peene"	"Freshwater"	-1.22365557026753	0.620416132464964	0.310474324226799	0.310474324226799	1.34908367580337	-1.71877072100425
"BH-00355"	"Peene"	"Freshwater"	-1.22638480844829	0.62985610155679	0.333926674715468	0.333926674715468	1.33245530829455	-1.71485404988907
"BH-00355"	"Peene"	"Freshwater"	-1.22911404662906	0.639296070648616	0.357379025204136	0.357379025204136	1.31582694078572	-1.71093737877389
"BH-00355"	"Peene"	"Freshwater"	-1.2306662363132	0.653688154673858	0.38933007043417	0.389330070434169	1.29382894269254	-1.70702070765871
"BH-00355"	"Peene"	"Freshwater"	-1.23140103120802	0.671519207402862	0.427182987012372	0.427182987012371	1.26810203447134	-1.70310403654352
"BH-00355"	"Peene"	"Freshwater"	-1.23168970063099	0.688034854602676	0.455662045640724	0.455662045640723	1.24147890198833	-1.69918736542834
"BH-00355"	"Peene"	"Freshwater"	-1.22922288919837	0.696425938239855	0.426243746343534	0.426243746343534	1.20932026671183	-1.69527069431316
"BH-00355"	"Peene"	"Freshwater"	-1.22675607776576	0.704817021877033	0.396825447046344	0.396825447046344	1.17716163143533	-1.69135402319798
"BH-00355"	"Peene"	"Freshwater"	-1.22345810489474	0.695153519819463	0.390353623550837	0.390353623550837	1.13949449581798	-1.68559867637299
"BH-00355"	"Peene"	"Freshwater"	-1.21978413042063	0.677322467090459	0.394262348632282	0.394262348632282	1.09933541957025	-1.67901154767927
"BH-00355"	"Peene"	"Freshwater"	-1.21659672095006	0.666347858214581	0.398660085911146	0.398660085911146	1.05649152803034	-1.67242441898556
"BH-00355"	"Peene"	"Freshwater"	-1.21496967511153	0.677361155488376	0.404626034719668	0.404626034719668	1.00503771158794	-1.66583729029184
"BH-00355"	"Peene"	"Freshwater"	-1.213342629273	0.688374452762173	0.410591983528189	0.410591983528188	0.953583895145536	-1.65925016159813
"BH-00355"	"Peene"	"Freshwater"	-1.21221118280146	0.646977866990643	0.401179341852337	0.401179341852337	0.895587770175069	-1.65392383910543
"BH-00355"	"Peene"	"Freshwater"	-1.21121396115849	0.591386937894337	0.387601665253634	0.387601665253634	0.835819769978251	-1.64893898495883
"BH-00355"	"Peene"	"Freshwater"	-1.21243919292691	0.538792210281184	0.371811630023846	0.371811630023846	0.775313702742302	-1.64395413081223
"BH-00355"	"Peene"	"Freshwater"	-1.21805512533733	0.49211680754938	0.351650837498499	0.351650837498499	0.713349503063187	-1.63896927666564
