"ID"	"age"	"cohort"	"capt"	"TL"	"weigth"	"sex"	"date"	"core"	"i"	"year"	"increment"	"quality"	"rad"
"BH-01772"	5	2015	"KD"	634	NA	"f"	2020-10-09	294.4	"5"	2020	140	3	1200.8
"BH-01772"	5	2015	"KD"	634	NA	"f"	2020-10-09	294.4	"edge"	NA	54.3	3	1255.1
"BH-00355"	3	2017	"Peene"	552	800	"m"	2019-07-09	452.4	"core"	NA	NA	3	NA
"BH-00355"	3	2017	"Peene"	552	800	"m"	2019-07-09	452.4	"1"	2018	569	3	569
"BH-00355"	3	2017	"Peene"	552	800	"m"	2019-07-09	452.4	"2"	2019	106.7	3	675.7
"BH-00355"	3	2017	"Peene"	552	800	"m"	2019-07-09	452.4	"3"	2020	135.6	3	811.3
"BH-00355"	3	2017	"Peene"	552	800	"m"	2019-07-09	452.4	"edge"	NA	37.3	3	848.6
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"core"	NA	NA	3	NA
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"1"	2011	449.7	3	449.7
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"2"	2012	221.5	3	671.2
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"3"	2013	152.6	3	823.8
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"4"	2014	94.5	3	918.3
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"5"	2015	107.6	3	1025.9
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"6"	2016	105.3	3	1131.2
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"7"	2017	110.7	3	1241.9
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"8"	2018	116.2	3	1358.1
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"9"	2019	109.9	3	1468
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"10"	2020	98.5	3	1566.5
"BH-91328"	10	2010	"NHG"	1061	8290	"f"	2021-04-14	731.7	"edge"	NA	88.3	3	1654.8
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"core"	NA	NA	3	NA
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"1"	2013	364.6	3	364.6
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"2"	2014	190.9	3	555.5
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"3"	2015	205.6	3	761.1
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"4"	2016	141.8	3	902.9
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"5"	2017	143.3	3	1046.2
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"6"	2018	139.3	3	1185.5
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"7"	2019	134.2	3	1319.7
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"8"	2020	115.5	3	1435.2
"BH-01767"	8	2012	"KD"	751	NA	"f"	2020-09-12	386.8	"edge"	NA	34.4	3	1469.6
"BH-00424"	3	2017	"Peene"	425	508	"m"	2019-07-12	234.4	"core"	NA	NA	3	NA
"BH-00424"	3	2017	"Peene"	425	508	"m"	2019-07-12	234.4	"1"	2018	385.7	3	385.7
"BH-00424"	3	2017	"Peene"	425	508	"m"	2019-07-12	234.4	"2"	2019	161.1	3	546.8
"BH-00424"	3	2017	"Peene"	425	508	"m"	2019-07-12	234.4	"3"	2020	165.9	3	712.7
"BH-00424"	3	2017	"Peene"	425	508	"m"	2019-07-12	234.4	"edge"	NA	114.4	3	827.1
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"core"	NA	NA	3	NA
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"1"	2015	685.5	3	685.5
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"2"	2016	272.8	3	958.3
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"3"	2017	191.1	3	1149.4
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"4"	2018	238	3	1387.4
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"5"	2019	146.5	3	1533.9
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"6"	2020	75.1	3	1609
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"edge"	NA	35.4	3	1644.4
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"core"	NA	NA	3	NA
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"1"	2018	347.2	3	347.2
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"2"	2019	319	3	666.2
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"3"	2020	116.1	3	782.3
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"edge"	NA	36.7	3	819
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"core"	NA	NA	3	NA
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"1"	2015	360.1	3	360.1
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"2"	2016	119.9	3	480
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"3"	2017	87.8	3	567.8
