"ID"	"capt"	"area"	"clust"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"d18O"
"BH-00355"	"Peene"	"Freshwater"	1	0.000895	0.00776222222222222	7.85666666666667e-05	1.27111111111111e-05	7.51666666666667e-05	-9.14125173333333
"BH-00355"	"Peene"	"Freshwater"	1	0.000885473003123606	0.00769852744310576	7.70586791610888e-05	1.25858991521642e-05	7.36096831771531e-05	-9.1444201729585
"BH-00355"	"Peene"	"Freshwater"	1	0.000875946006247211	0.00763483266398929	7.55506916555109e-05	1.24606871932173e-05	7.20526996876394e-05	-9.14758861258367
"BH-00355"	"Peene"	"Freshwater"	1	0.000869917001338688	0.00758471218206158	7.45230254350736e-05	1.25234270414993e-05	7.00884872824632e-05	-9.15075705220884
"BH-00355"	"Peene"	"Freshwater"	1	0.000864037483266399	0.00753517179830433	7.35158857652834e-05	1.25941990182954e-05	6.81068719321731e-05	-9.153925491834
"BH-00355"	"Peene"	"Freshwater"	1	0.000859307452030344	0.00745864346273985	7.21289156626506e-05	1.26349843819723e-05	6.61002677376171e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000854680053547524	0.00737970548862115	7.07080321285141e-05	1.26730923694779e-05	6.40914323962517e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000851819277108434	0.00733466755912539	6.91821062025881e-05	1.27302989736725e-05	6.23929495760821e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000849206157965194	0.00729438197233378	6.76414547077198e-05	1.27901829540384e-05	6.0737974118697e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000847639892904953	0.00726456492637216	6.70566265060241e-05	1.27180722891566e-05	6.01116465863454e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000846278893351183	0.00723680053547523	6.66592146363231e-05	1.26200803212851e-05	5.96870147255689e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000843013386880857	0.00719864792503347	6.57986613119143e-05	1.25450290049085e-05	5.97082106202588e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.00083925702811245	0.00715781793842035	6.48187416331995e-05	1.2475890227577e-05	5.98443105756359e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000835541722445337	0.00712314591700134	6.4438197233378e-05	1.24055198572066e-05	6.04689424364123e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000831839803659081	0.00709048192771084	6.42531012940651e-05	1.23347478804105e-05	6.12528781793842e-05	-9.1541852
"BH-00355"	"Peene"	"Freshwater"	1	0.000826429718875502	0.0070624765729585	6.40680053547523e-05	1.22057429718876e-05	6.17844712182062e-05	-9.15208712903041
"BH-00355"	"Peene"	"Freshwater"	1	0.00082033244087461	0.0070363453815261	6.38829094154395e-05	1.20533110218652e-05	6.22145470771977e-05	-9.14914500652132
"BH-00355"	"Peene"	"Freshwater"	1	0.000818004016064257	0.0069959437751004	6.37856314145471e-05	1.19484471218206e-05	6.2728781793842e-05	-9.14620288401224
"BH-00355"	"Peene"	"Freshwater"	1	0.0008175140562249	0.00694858099062918	6.37311914323962e-05	1.18667871485944e-05	6.32840696117805e-05	-9.14326076150316
"BH-00355"	"Peene"	"Freshwater"	1	0.000817024096385542	0.0069328290941544	6.41715305667113e-05	1.17267157518965e-05	6.38324854975457e-05	-9.13903308357239
"BH-00355"	"Peene"	"Freshwater"	1	0.000816534136546185	0.00693555109326194	6.49010263275324e-05	1.15525078090138e-05	6.4376885319054e-05	-9.13405410701855
"BH-00355"	"Peene"	"Freshwater"	1	0.000813409638554217	0.0069440562248996	6.56112449799197e-05	1.1325609103079e-05	6.48152610441767e-05	-9.12907513046472
