Sample	Quality	Age	Cohort	Core	I	Year	Increment	X	Y
25	3	10	2010	340.2	7	2017	137.5	2605	1535
25	3	10	2010	340.2	8	2018	140.5	2863	1403
25	3	10	2010	340.2	9	2019	107.6	3061	1302
25	3	10	2010	340.2	10	2020	146.6	3331	1164
25	3	10	2010	340.2	edge		70.2	3460	1098
26	3	7	2013	463.5	core			767	2225
26	3	7	2013	463.5	1	2014	335.0	1372	1888
26	3	7	2013	463.5	2	2015	209.3	1749	1677
26	3	7	2013	463.5	3	2016	159.2	2036	1517
26	3	7	2013	463.5	4	2017	140.1	2289	1376
26	3	7	2013	463.5	5	2018	159.2	2576	1215
26	3	7	2013	463.5	6	2019	241.7	3012	972
26	3	7	2013	463.5	7	2020	140.1	3265	831
26	3	7	2013	463.5	edge		56.6	3367	774
27	3	6	2014	228.1	core			941	1873
27	3	6	2014	228.1	1	2015	376.8	1643	1537
27	3	6	2014	228.1	2	2016	109.0	1846	1440
27	3	6	2014	228.1	3	2017	110.0	2052	1341
27	3	6	2014	228.1	4	2018	120.2	2276	1234
27	3	6	2014	228.1	5	2019	134.4	2526	1114
27	3	6	2014	228.1	6	2020	151.8	2809	979
27	3	6	2014	228.1	edge		153.8	3096	842
28	3	3	2017	145.6	core			866	1356
28	3	3	2017	145.6	1	2018	415.4	1492	768
28	3	3	2017	145.6	2	2019	228.2	1836	445
28	3	3	2017	145.6	3	2020	104.1	1993	298
28	3	3	2017	145.6	edge		47.4	2064	231
29	3	4	2016	304.7	core			280	1396
29	3	4	2016	304.7	1	2017	337.8	929	1140
29	3	4	2016	304.7	2	2018	225.2	1362	969
29	3	4	2016	304.7	3	2019	195.4	1738	821
29	3	4	2016	304.7	4	2020	149.5	2025	708
29	3	4	2016	304.7	edge		198.1	2406	558
3	3	2	2018	199.8	core			676	1619
3	3	2	2018	199.8	1	2019	576.9	1568	828
3	3	2	2018	199.8	2	2020	297.4	2028	421
3	3	2	2018	199.8	edge		227.9	2381	109
