"ID"	"capt"	"area"	"dist"	"Sr"	"d18O"	"res"
"BH-00356"	"Peene"	"Freshwater"	907.1058373	0.00077630303030303	-8.8049816	-0.850792384859266
"BH-00356"	"Peene"	"Freshwater"	942.4611398	0.000728888888888889	-8.7273808	-0.74821304838622
"BH-00356"	"Peene"	"Freshwater"	977.8164449	0.000721555555555556	-8.358777	-0.375745929792391
"BH-00356"	"Peene"	"Freshwater"	1013.651814	0.000799313131313131	-7.4469676	0.495099521811887
"BH-00356"	"Peene"	"Freshwater"	1049.00715	0.000837020202020202	-7.4081672	0.514035227168962
"BH-00356"	"Peene"	"Freshwater"	1084.843307	0.000760010101010101	-7.4081672	0.554605393779639
"BH-00356"	"Peene"	"Freshwater"	1120.198643	0.00073810101010101	-7.0686637	0.905650957181863
"BH-00356"	"Peene"	"Freshwater"	1155.55398	0.000994191919191919	-6.7679606	1.07144122479985
"BH-00356"	"Peene"	"Freshwater"	1191.390784	0.00095130303030303	-6.8358613	1.02613508506072
"BH-00356"	"Peene"	"Freshwater"	1226.746103	0.000913959595959596	-7.3208663	0.560803210186601
"BH-00356"	"Peene"	"Freshwater"	1262.583463	0.000967787878787879	-7.5439686	0.30934330028782
"BH-00356"	"Peene"	"Freshwater"	1297.93875	0.000938717171717172	-7.3790669	0.489559918900823
"BH-00356"	"Peene"	"Freshwater"	1333.294041	0.000947040404040404	-7.3790669	0.485175105510582
"BH-00356"	"Peene"	"Freshwater"	1369.131842	0.000951555555555556	-6.6321592	1.22970415067388
"BH-00356"	"Peene"	"Freshwater"	1404.487095	0.000976454545454545	-6.9910629	0.857683260131477
"BH-00356"	"Peene"	"Freshwater"	1440.32531	0.00108071717171717	-5.7203498	2.07346912249305
"BH-00356"	"Peene"	"Freshwater"	1475.680521	0.00124585858585859	-5.3711462	2.33567355487526
"BH-00356"	"Peene"	"Freshwater"	1511.035737	0.00114686868686869	-7.6312695	0.127699734516479
"BH-00356"	"Peene"	"Freshwater"	1546.874268	0.00122454545454545	-7.8640719	-0.146024042875451
"BH-00356"	"Peene"	"Freshwater"	1582.22944	0.00121046464646465	-7.6215694	0.103896454534734
"BH-00356"	"Peene"	"Freshwater"	1618.068293	0.00115490909090909	-7.1268643	0.627869119639501
"BH-00356"	"Peene"	"Freshwater"	1653.423418	0.00142767676767677	-6.1762545	1.43478049635058
"BH-00356"	"Peene"	"Freshwater"	1688.778553	0.00155383838383838	-5.4196467	2.1249243166854
"BH-00356"	"Peene"	"Freshwater"	1724.617639	0.00138767676767677	-6.7582605	0.87384714322601
"BH-00356"	"Peene"	"Freshwater"	1759.972727	0.00122888888888889	-7.7476707	-0.0319110343290987
"BH-00356"	"Peene"	"Freshwater"	1795.812073	0.00109715151515152	-7.8931722	-0.108011155402495
"BH-00356"	"Peene"	"Freshwater"	1831.167114	0.000965232323232323	-7.097764	0.75689420828264
"BH-00356"	"Peene"	"Freshwater"	1866.522167	0.000930161616161616	-6.6321592	1.24097482392696
"BH-00356"	"Peene"	"Freshwater"	1902.36169	0.00110681818181818	-5.0316427	2.74842578826928
"BH-00356"	"Peene"	"Freshwater"	1937.716698	0.00113460606060606	-7.4081672	0.357262184341424
"BH-00356"	"Peene"	"Freshwater"	1973.071717	0.00123383838383838	-8.64978	-0.936627808311157
"BH-00356"	"Peene"	"Freshwater"	2008.911397	0.00124280808080808	-8.0192735	-0.310846689731711
"BH-00356"	"Peene"	"Freshwater"	2044.266372	0.00117916161616162	-6.2053548	1.5366019971274
"BH-00356"	"Peene"	"Freshwater"	2080.106247	0.00140080808080808	-6.5254581	1.09973175511034
"BH-00356"	"Peene"	"Freshwater"	2115.461179	0.0014020202020202	-7.8446717	-0.220120409946491
"BH-00356"	"Peene"	"Freshwater"	2151.301234	0.00125844444444444	-7.9222725	-0.222083178964831
"BH-00391"	"Barthe"	"Freshwater"	0	0.00187888888888889	-8.0774741	-0.704144946054842
"BH-00391"	"Barthe"	"Freshwater"	35.73513677	0.00169621794871795	-8.1744751	-0.704911940639216
"BH-00391"	"Barthe"	"Freshwater"	69.26037828	0.00129247863247863	-7.9416727	-0.259413139618243
"BH-00391"	"Barthe"	"Freshwater"	104.995238	0.00123450854700855	-7.8349716	-0.122172461107005
"BH-00391"	"Barthe"	"Freshwater"	138.5207566	0.00131752136752137	-8.8146817	-1.14561505742701
"BH-00391"	"Barthe"	"Freshwater"	174.2555595	0.00134760683760684	-7.7670709	-0.11385376960682
"BH-00391"	"Barthe"	"Freshwater"	208.0865205	0.00130401709401709	-7.8058713	-0.129690387755385
"BH-00391"	"Barthe"	"Freshwater"	243.5159132	0.00130143162393162	-7.3014661	0.376076879697567
"BH-00391"	"Barthe"	"Freshwater"	277.3463539	0.00132948717948718	-7.7088703	-0.0461074406803415
"BH-00391"	"Barthe"	"Freshwater"	312.7762779	0.00154698717948718	-8.2520759	-0.703895558065493
"BH-00391"	"Barthe"	"Freshwater"	346.606405	0.00172025641025641	-8.0192735	-0.56237419092493
"BH-00391"	"Barthe"	"Freshwater"	382.0366475	0.00163055555555556	-7.8155714	-0.311416230036547
"BH-00391"	"Barthe"	"Freshwater"	415.8665651	0.00139854700854701	-7.4566677	0.169713324543274
"BH-00391"	"Barthe"	"Freshwater"	451.6015943	0.00119861111111111	-7.7864711	-0.0547606113470014
"BH-00391"	"Barthe"	"Freshwater"	485.1267876	0.00115055555555556	-9.3384871	-1.58146016753138
"BH-00391"	"Barthe"	"Freshwater"	520.8617859	0.00113294017094017	-8.5139786	-0.747671598042008
"BH-00391"	"Barthe"	"Freshwater"	554.3870489	0.00140162393162393	-8.6400799	-1.0153198482933
"BH-00391"	"Barthe"	"Freshwater"	590.1220213	0.00151188034188034	-8.1259746	-0.559299408270443
"BH-00391"	"Barthe"	"Freshwater"	624.5998719	0.00187923076923077	-5.9046517	1.46849734585221
"BH-00391"	"Barthe"	"Freshwater"	659.3822867	0.0019983547008547	-7.9416727	-0.631280067785894
"BH-00391"	"Barthe"	"Freshwater"	694.164966	0.00204786324786325	-8.067774	-0.783463270996565
"BH-00391"	"Barthe"	"Freshwater"	728.6425736	0.00195025641025641	-8.3878773	-1.05214571045865
"BH-00391"	"Barthe"	"Freshwater"	763.4251764	0.00222166666666667	-8.5624791	-1.36973082275124
"BH-00391"	"Barthe"	"Freshwater"	797.9028763	0.00261202991452991	-8.4072775	-1.42017889463544
"BH-00391"	"Barthe"	"Freshwater"	832.6854148	0.00217094017094017	-5.2838453	1.93562651554057
"BH-00391"	"Barthe"	"Freshwater"	867.1631911	0.00199745726495726	-8.5721792	-1.26131378404189
"BH-00391"	"Barthe"	"Freshwater"	901.9456746	0.00212222222222222	-8.9504831	-1.70534588121371
"BH-00391"	"Barthe"	"Freshwater"	936.4235153	0.00212576923076923	-9.3093868	-2.06611820267809
"BH-00391"	"Barthe"	"Freshwater"	971.2059514	0.00220051282051282	-8.9795834	-1.77569093449981
"BH-00391"	"Barthe"	"Freshwater"	1005.988569	0.00232690170940171	-8.9601832	-1.82287444511315
"BH-00391"	"Barthe"	"Freshwater"	1040.466242	0.00222021367521368	-7.2141652	-0.0206514633561926
"BH-00391"	"Barthe"	"Freshwater"	1075.248808	0.00205476495726496	-5.7882505	1.49242429687696
"BH-00391"	"Barthe"	"Freshwater"	1109.726543	0.00209752136752137	-8.5624791	-1.3043290714979
"BH-00391"	"Barthe"	"Freshwater"	1144.509065	0.00217615384615385	-8.9795834	-1.76285823287695
"BH-00391"	"Barthe"	"Freshwater"	1178.986853	0.00212803418803419	-8.164775	-0.922699618793902
"BH-00391"	"Barthe"	"Freshwater"	1213.769336	0.00193705128205128	-6.7582605	0.584427764631634
"BH-00391"	"Barthe"	"Freshwater"	1248.551961	0.0020291452991453	-6.127754	1.16641764709258
"BH-00391"	"Barthe"	"Freshwater"	1283.029618	0.0019417735042735	-7.2626657	0.0775348215977289
"BH-00391"	"Barthe"	"Freshwater"	1317.812202	0.0020765811965812	-7.3596667	-0.0904850508045666
"BH-00391"	"Barthe"	"Freshwater"	1352.28991	0.00190583333333333	-7.8931722	-0.534037815130651
"BH-00391"	"Barthe"	"Freshwater"	1387.072457	0.00209683760683761	-7.6603698	-0.401859555311996
"BH-00391"	"Barthe"	"Freshwater"	1421.55021	0.00234252136752137	-7.485768	-0.356687933609911
"BH-00391"	"Barthe"	"Freshwater"	1456.332723	0.00220850427350427	-8.7661812	-1.56649876117257
"BH-00391"	"Barthe"	"Freshwater"	1490.810518	0.00223376068376068	-7.5439686	-0.357591646539427
"BH-00391"	"Barthe"	"Freshwater"	1525.592999	0.00208683760683761	-5.8755514	1.38822700640686
"BH-00391"	"Barthe"	"Freshwater"	1560.375596	0.00208019230769231	-7.6215694	-0.354290142536376
"BH-00391"	"Barthe"	"Freshwater"	1594.853285	0.00218692307692308	-7.3305664	-0.119514637804952
