"id"	"sex"	"weight"	"TL"	"date"	"area"	"age_ref"	"age_comb"	"age_combC"	"age_otoT"	"age_otoK"	"age_scaleT"	"age_scaleK"	"mrad_comb"	"trad_comb"	"quality"	"month"
"BH-01850"	"f"	NA	910	"14.2.2020"	"BEG"	6	7	7	7	6	6	7	1.3578	1.46	3	2
"BH-01855"	"m"	2500	722	"1.5.2020"	"SB"	6	7	9	8	7	6	8	1.3728	1.5382	3	5
"BH-01860"	"f"	7900	940	"27.2.2020"	"KB"	9	8	7	8	6	7	8	1.4754	1.5482	3	2
"BH-01867"	"f"	4800	820	"23.11.2019"	"SB"	7	7	8	6	6	4	7	1.2638	1.3711	3	11
"BH-01868"	"f"	8700	1010	"8.1.2020"	"SB"	8	10	11	10	12	6	7	1.4215	1.5071	3	1
"BH-01869"	"f"	3300	730	"17.12.2019"	"SB"	5	4	4	3	5	3	3	1.129	1.1952	3	12
"BH-01877"	"m"	NA	434	"9.10.2020"	"KD"	3	2	2	2	3	1	4	0.6276	0.8472	3	10
"BH-01882"	"f"	NA	670	"12.11.2020"	"GB"	3	2	3	2	3	2	4	0.8412	0.9286	3	11
"BH-01883"	"f"	NA	870	"12.11.2020"	"GB"	5	5	4	5	4	4	7	1.2025	1.41	3	11
"BH-01885"	"f"	NA	796	"27.11.2020"	"GB"	2	2	3	2	2	3	4	0.7443	1.0174	3	11
"BH-01889"	"f"	NA	837	"27.11.2020"	"GB"	4	4	5	4	4	4	4	1.31	1.3831	3	11
"BH-01891"	"f"	4348	870	"27.11.2020"	"GB"	7	8	9	8	8	6	7	1.2811	1.4772	3	11
"BH-01892"	"m"	1772	635	"27.11.2020"	"GB"	3	3	2	2	2	4	3	0.9238	0.9645	3	11
"BH-01893"	"m"	NA	650	"10.11.2020"	"GB"	3	3	4	3	5	3	4	0.8669	0.9532	3	11
"BH-01897"	"m"	NA	600	"13.11.2020"	"GB"	2	2	2	2	2	2	2	0.6063	0.8158	3	11
"BH-01898"	"f"	NA	700	"8.11.2020"	"GB"	3	2	3	2	5	2	6	0.9132	1.0538	3	11
"BH-01899"	"f"	NA	760	"10.11.2020"	"GB"	3	2	3	2	3	2	8	0.8372	0.9192	3	11
"BH-01900"	"f"	NA	825	"27.11.2020"	"GB"	2	2	2	2	2	2	3	0.754	1.0086	3	11
"BH-01902"	"m"	NA	500	"1.11.2020"	"GB"	4	2	5	2	5	2	4	0.8552	1.0864	3	11
"BH-01903"	"f"	596	439	"27.11.2020"	"GB"	1	1	1	1	1	1	0	0.6516	0.6516	3	11
"BH-01904"	"f"	474	404	"27.11.2020"	"GB"	2	1	0	1	1	1	0	0.8282	0.8282	3	11
"BH-01906"	"f"	13600	1230	"5.11.2019"	"SB"	11	13	11	13	11	8	8	2.113	2.2103	3	11
"BH-01908"	"f"	NA	876	"30.1.2021"	"GB"	8	9	11	9	10	5	9	1.7509	1.8483	1	1
"BH-01922"	"f"	14600	1262	"01.02.2020"	"KB"	10	11	13	11	8	10	11	1.7506	1.8208	3	2
"BH-90307"	"f"	5350	883	"16.3.2020"	"SB"	7	8	8	8	6	7	9	1.1281	1.2276	3	3
"BH-90910"	"m"	NA	604	"07.04.2021"	"NHG"	8	6	7	5	4	4	5	0.9756	1.0156	3	4
"BH-90928"	"m"	1470	580	"02.04.2021"	"Sehrowbach"	6	3	5	2	7	2	3	0.6173	0.8288	3	4
"BH-90946"	"m"	2564	694	"02.04.2021"	"Sehrowbach"	6	7	3	5	4	5	6	0.9862	1.1001	3	4
"BH-90970"	"m"	1688	634	"02.04.2021"	"Sehrowbach"	7	7	6	5	3	5	6	1.0022	1.156	3	4
"BH-90981"	"m"	2798	745	"02.04.2021"	"Sehrowbach"	9	10	11	9	9	9	10	1.4651	1.5198	3	4
"BH-90997"	"m"	2258	675	"23.03.2021"	"Bandycksgraben"	6	5	5	4	3	5	4	1.1251	1.2311	3	3
"BH-91013"	"f"	3234	739	"01.04.2021"	"Ziese"	3	4	4	4	4	4	6	0.7477	0.7951	3	4
"BH-91045"	"m"	1564	648	"01.04.2021"	"Ziese"	3	3	5	3	5	3	5	0.9293	1.1554	3	4
"BH-91050"	"m"	2930	732	"01.04.2021"	"Ziese"	8	5	8	3	6	4	6	0.9695	1.0653	3	4
"BH-91053"	"f"	2734	674	"01.04.2021"	"Ziese"	4	3	3	3	2	2	5	0.7155	0.8631	3	4
"BH-91054"	"m"	1766	636	"02.04.2021"	"Sehrowbach"	6	5	6	5	5	4	6	0.9079	1.106	3	4
"BH-91068"	"f"	4994	860	"01.04.2021"	"Ziese"	7	5	6	4	5	4	6	1.0508	1.1051	3	4
"BH-91117"	"f"	1230	555	"07.04.2021"	"NHG"	4	4	3	3	3	3	4	0.7823	0.819	3	4
"BH-91328"	"f"	8290	1061	"14.04.2021"	"NHG"	10	11	11	10	9	7	9	1.5665	1.6548	3	4
