ID	Magni	sex	Weight	TL	date	area	comment
BH-00355	1	m	800	552	9.7.2019	Peene	
BH-00356	0.8	f	3000	815	9.7.2019	Peene	
BH-00385	0.8	f	3265	765	10.7.2019	Barthe	
BH-00391	0.8	f	5220	903	11.7.2019	Barthe	
BH-00392	0.8	f	5600	930	11.7.2019	Barthe	
BH-00398	1	f	2655	761	11.7.2019	Barthe	
BH-00405	1.25	f	715	466	11.7.2019	Barthe	
BH-00411	1	f	1870	677	11.7.2019	Barthe	
BH-00418	0.8	f	2450	758	12.7.2019	Peene	
BH-00419	0.63	f	5780	958	12.7.2019	Peene	
BH-00424	1.25	m	508	425	12.7.2019	Peene	"Misnamed ""428"" in mount"
BH-00670	0.8	f	NA	680	01.12.2019	KB	
BH-00681	0.8	m	NA	630	28.02.2020	WB	
BH-00685	0.8	m	NA	720	29.02.2020	WB	
BH-00689	1	m	NA	600	01.03.2020	WB	
BH-00696	0.8	f	NA	790	02.03.2020	WB	
BH-00729	0.8		NA	770	14.12.2019	SB	
BH-00730	0.8		NA	758	14.12.2019	SB	
BH-00732	1		NA	617	14.12.2019	SB	
BH-00742	0.8		NA	550	8.11.2019	GB	
BH-00750	0.8		NA	560	8.11.2020	GB	
BH-01555	0.8	f	NA	760	8.2.2020	BEG	
BH-01556	0.63	f	NA	1110	8.2.2020	BEG	
BH-01560	0.8	f	NA	820	8.2.2020	BEG	
BH-01567	NA	m		460	28.02.2020	BEG	
BH-01569	1	m	NA	550	28.2.2020	BEG	
BH-01570	0.8	f	NA	980	28.02.2020	BEG	
BH-01571	1	f	NA	520	28.2.2020	BEG	
BH-01576	1	f	NA	570	28.2.2020	BEG	
BH-01580	NA	f		490	28.02.2020	BEG	
BH-01582	0.8	f	NA	830	28.02.2020	BEG	
BH-01585	1	m	NA	760	28.02.2020	WB	
BH-01588	0.63	f	NA	1050	01.02.2020	KJB	
BH-01594	1	f	NA	630	28.02.2020	WB	
BH-01595	0.8	m	NA	690	28.02.2020	WB	
BH-01596	1	f	NA	660	01.01.2020	GJB	
BH-01598	0.8	f	NA	750	01.01.2020	GJB	
BH-01701	0.8	f	NA	880	28.02.2020	BEG	
BH-01713	0.63	f	7200	980	8.1.2020	SB	
BH-01717	0.63	f	NA	1040	28.02.2020	BEG	
BH-01719	1.25	f	1400	550	23.12.2019	SB	
BH-01722	0.8	f	NA	950	28.02.2020	BEG	
BH-01731	0.8	m	6800	950	8.1.2020	SB	
BH-01737	0.63	f	11500	1130	27.2.2020	KB	
BH-01738	0.8	f	5400	860	23.12.2019	SB	
BH-01741	0.8	f	NA	750	9.10.2020	KD	
BH-01758	0.63	m	2580	682	1.5.2020	SB	
BH-01767	0.8	f	NA	751	12.9.2020	KD	
BH-01772	0.63	f	NA	634	9.10.2020	KD	
BH-01774	0.8	f	NA	638	9.10.2020	KD	
BH-01776	1	f	NA	574	9.10.2020	KD	
BH-01789	1	m	1700	600	26.2.2020	KB	
BH-01802	0.8	m	1980	638	1.5.2020	SB	
BH-01803	1	m	1900	600	24.11.2019	SB	
BH-01809	1	m	900	520	26.2.2020	KB	
BH-01812	0.8	f	8900	1020	22.11.2019	SB	
BH-01814	0.63	m	3600	780	26.2.2020	KB	
BH-01819	0.8	m	2800	680	27.2.2020	KB	
BH-01835	0.63	m	3800	820	26.2.2020	KB	
BH-01846	0.8	m	NA	880	16.2.2020	BEG	
BH-01850	0.63	f	NA	910	14.2.2020	BEG	
BH-01855	0.8	m	2500	722	1.5.2020	SB	
BH-01860	0.63	f	7900	940	27.2.2020	KB	
BH-01867	0.8	f	4800	820	23.11.2019	SB	
BH-01868	0.63	f	8700	1010	8.1.2020	SB	
BH-01869	1	f	3300	730	17.12.2019	SB	
BH-01877	1	m	NA	434	9.10.2020	KD	
BH-01882	0.8	f	NA	670	12.11.2020	GB	
BH-01883	0.63	f	NA	870	12.11.2020	GB	
BH-01885	0.8	f	NA	796	27.11.2020	GB	
BH-01889	0.63	f	NA	837	27.11.2020	GB	
BH-01891	0.8	f	4348	870	27.11.2020	GB	
BH-01892	0.8	m	1772	635	27.11.2020	GB	
BH-01893	0.63	m	NA	650	10.11.2020	GB	
BH-01897	0.63	m	NA	600	13.11.2020	GB	
BH-01898	0.63	f	NA	700	8.11.2020	GB	
BH-01899	0.63	f	NA	760	10.11.2020	GB	
BH-01900	0.8	f	NA	825	27.11.2020	GB	
BH-01902	0.63	m	NA	500	1.11.2020	GB	
BH-01903	1.25	f	596	439	27.11.2020	GB	
BH-01904	1.25	f	474	404	27.11.2020	GB	
BH-01906	0.63	f	13600	1230	5.11.2019	SB	
BH-01908	0.63	f	NA	876	30.1.2021	GB	
BH-01922	0.63	f	14600	1262	01.02.2020	KB	
BH-90307	0.63	f	5350	883	16.3.2020	SB	
BH-90910	0.8	m	NA	604	07.04.2021	NHG	
BH-90928	0.8	m	1470	580	02.04.2021	Sehrowbach	
BH-90946	0.8	m	2564	694	02.04.2021	Sehrowbach	
BH-90962	0.63	f	5710	921	31.03.2021	KWB	Missing!
BH-90970	0.8	m	1688	634	02.04.2021	Sehrowbach	
BH-90981	0.8	m	2798	745	02.04.2021	Sehrowbach	
BH-90997	0.8	m	2258	675	23.03.2021	Bandycksgraben	
BH-91013	0.63	f	3234	739	01.04.2021	Ziese	
BH-91045	0.8	m	1564	648	01.04.2021	Ziese	
BH-91050	0.63	m	2930	732	01.04.2021	Ziese	
BH-91053	0.8	f	2734	674	01.04.2021	Ziese	
BH-91054	0.8	m	1766	636	02.04.2021	Sehrowbach	
BH-91068	0.63	f	4994	860	01.04.2021	Ziese	
BH-91117	0.8	f	1230	555	07.04.2021	NHG	
BH-91328	0.63	f	8290	1061	14.04.2021	NHG	
