"ID"	"capt"	"area"	"Sr"	"Na"	"Mg"	"Ba"	"Mn"	"dist"	"d18O"
"BH-00355"	"Peene"	"Freshwater"	0.00177	0.00809	0.000127	3.72333333333333e-05	0.000107611111111111	77	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00175333333333333	0.00811	0.000122511111111111	3.62777777777778e-05	0.000101122222222222	82.5	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00173333333333333	0.00814222222222222	0.000117655555555556	3.54222222222222e-05	9.65666666666667e-05	88	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00169333333333333	0.00815888888888889	0.000111988888888889	3.44555555555556e-05	9.36777777777778e-05	93.5	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00164777777777778	0.00807777777777778	0.000107177777777778	3.36666666666667e-05	9.18e-05	99	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00161333333333333	0.00805777777777778	0.000101766666666667	3.32666666666667e-05	9.05e-05	104.5	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00157333333333333	0.00802333333333333	9.72e-05	3.25333333333333e-05	8.73e-05	110	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00155111111111111	0.00791666666666667	9.41777777777778e-05	3.16333333333333e-05	8.28666666666667e-05	115.5	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00153222222222222	0.00781888888888889	9.34333333333333e-05	3.07111111111111e-05	7.97888888888889e-05	121	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00149111111111111	0.00766555555555555	9.13111111111111e-05	2.93555555555556e-05	7.63222222222222e-05	126.5	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00145666666666667	0.00751	8.80777777777778e-05	2.86444444444444e-05	7.37222222222222e-05	132	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00142666666666667	0.00737555555555556	8.63666666666666e-05	2.82888888888889e-05	7.05222222222222e-05	137.5	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00141333333333333	0.00725777777777778	8.59777777777778e-05	2.79333333333333e-05	6.72555555555555e-05	143	-10.104795
"BH-00355"	"Peene"	"Freshwater"	0.00140888888888889	0.00724444444444445	8.56555555555555e-05	2.79222222222222e-05	6.56222222222222e-05	148.5	-8.5236787
