"Plot Title: 20812405"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 20812405, SEN S/N: 20812405)","Temp, °C (LGR S/N: 20812405, SEN S/N: 20812405)","Coupler Detached (LGR S/N: 20812405)","Coupler Attached (LGR S/N: 20812405)","Stopped (LGR S/N: 20812405)","End Of File (LGR S/N: 20812405)"
1,03/17/20 11:00:00 AM,0.0,19.24,Logged,,,
2,03/17/20 12:00:00 PM,0.0,18.42,,,,
3,03/17/20 01:00:00 PM,0.0,19.65,,,,
4,03/17/20 02:00:00 PM,0.0,20.06,,,,
5,03/17/20 03:00:00 PM,0.0,19.36,,,,
6,03/17/20 04:00:00 PM,0.0,17.71,,,,
7,03/17/20 05:00:00 PM,0.0,15.81,,,,
8,03/17/20 06:00:00 PM,0.0,14.22,,,,
9,03/17/20 07:00:00 PM,0.0,12.76,,,,
10,03/17/20 08:00:00 PM,0.0,11.69,,,,
11,03/17/20 09:00:00 PM,0.0,10.94,,,,
12,03/17/20 10:00:00 PM,0.0,10.42,,,,
13,03/17/20 11:00:00 PM,0.0,10.15,,,,
14,03/18/20 12:00:00 AM,0.0,9.96,,,,
15,03/18/20 01:00:00 AM,0.0,9.69,,,,
16,03/18/20 02:00:00 AM,0.0,9.45,,,,
17,03/18/20 03:00:00 AM,0.0,9.09,,,,
18,03/18/20 04:00:00 AM,0.0,8.58,,,,
19,03/18/20 05:00:00 AM,0.0,8.23,,,,
20,03/18/20 06:00:00 AM,0.0,7.88,,,,
21,03/18/20 07:00:00 AM,0.0,7.82,,,,
22,03/18/20 08:00:00 AM,0.0,9.20,,,,
23,03/18/20 09:00:00 AM,0.0,12.07,,,,
24,03/18/20 10:00:00 AM,0.0,11.48,,,,
25,03/18/20 11:00:00 AM,0.0,11.46,,,,
26,03/18/20 12:00:00 PM,0.0,11.50,,,,
27,03/18/20 01:00:00 PM,0.0,11.25,,,,
28,03/18/20 02:00:00 PM,0.0,11.06,,,,
29,03/18/20 03:00:00 PM,0.0,11.00,,,,
30,03/18/20 04:00:00 PM,0.0,10.88,,,,
31,03/18/20 05:00:00 PM,9698.2,6.63,,,,
32,03/18/20 06:00:00 PM,9770.4,6.77,,,,
33,03/18/20 07:00:00 PM,9590.5,6.49,,,,
