Num,Datetime(GMT+1),FullRange(uS/cm),Temp(C),CouplerDetached,CouplerAttached,Stopped,EndOfFile,hobo.ID,N(dm),E(dm)
1,03/17/20 10:00:00 AM,0.0,21.43,Logged,,,,20812398,    53 59.50,    13 49.54
2,03/17/20 11:00:00 AM,0.0,20.52,,,,,20812398,    53 59.50,    13 49.54
3,03/17/20 12:00:00 PM,0.0,21.76,,,,,20812398,    53 59.50,    13 49.54
4,03/17/20 01:00:00 PM,0.0,24.55,,,,,20812398,    53 59.50,    13 49.54
5,03/17/20 02:00:00 PM,0.0,23.8,,,,,20812398,    53 59.50,    13 49.54
6,03/17/20 03:00:00 PM,0.0,21.76,,,,,20812398,    53 59.50,    13 49.54
7,03/17/20 04:00:00 PM,0.0,19.15,,,,,20812398,    53 59.50,    13 49.54
8,03/17/20 05:00:00 PM,0.0,17.02,,,,,20812398,    53 59.50,    13 49.54
9,03/17/20 06:00:00 PM,0.0,15.39,,,,,20812398,    53 59.50,    13 49.54
10,03/17/20 07:00:00 PM,0.0,14.03,,,,,20812398,    53 59.50,    13 49.54
11,03/17/20 08:00:00 PM,0.0,13.07,,,,,20812398,    53 59.50,    13 49.54
12,03/17/20 09:00:00 PM,0.0,12.37,,,,,20812398,    53 59.50,    13 49.54
13,03/17/20 10:00:00 PM,0.0,11.84,,,,,20812398,    53 59.50,    13 49.54
14,03/17/20 11:00:00 PM,0.0,11.46,,,,,20812398,    53 59.50,    13 49.54
15,03/18/20 12:00:00 AM,0.0,11.12,,,,,20812398,    53 59.50,    13 49.54
16,03/18/20 01:00:00 AM,0.0,10.79,,,,,20812398,    53 59.50,    13 49.54
17,03/18/20 02:00:00 AM,0.0,10.41,,,,,20812398,    53 59.50,    13 49.54
18,03/18/20 03:00:00 AM,0.0,9.9,,,,,20812398,    53 59.50,    13 49.54
19,03/18/20 04:00:00 AM,0.0,9.34,,,,,20812398,    53 59.50,    13 49.54
20,03/18/20 05:00:00 AM,0.0,8.97,,,,,20812398,    53 59.50,    13 49.54
21,03/18/20 06:00:00 AM,0.0,8.59,,,,,20812398,    53 59.50,    13 49.54
22,03/18/20 07:00:00 AM,0.0,8.51,,,,,20812398,    53 59.50,    13 49.54
23,03/18/20 08:00:00 AM,0.0,9.24,,,,,20812398,    53 59.50,    13 49.54
24,03/18/20 09:00:00 AM,0.0,10.53,,,,,20812398,    53 59.50,    13 49.54
25,03/18/20 10:00:00 AM,0.0,17.44,,,,,20812398,    53 59.50,    13 49.54
26,03/18/20 11:00:00 AM,0.0,17.41,,,,,20812398,    53 59.50,    13 49.54
27,03/18/20 12:00:00 PM,0.0,16.67,,,,,20812398,    53 59.50,    13 49.54
28,03/18/20 01:00:00 PM,0.0,16.03,,,,,20812398,    53 59.50,    13 49.54
29,03/18/20 02:00:00 PM,0.0,15.98,,,,,20812398,    53 59.50,    13 49.54
30,03/18/20 03:00:00 PM,0.0,15.27,,,,,20812398,    53 59.50,    13 49.54
31,03/18/20 04:00:00 PM,0.0,14.42,,,,,20812398,    53 59.50,    13 49.54
