Num,Datetime(GMT+1),FullRange(uS/cm),Temp(C),CouplerDetached,CouplerAttached,Stopped,EndOfFile,hobo.ID,N(dm),E(dm)
1,03/17/20 10:00:00 AM,0.0,15.01,Logged,,,,20812396,   54 22.299,   12 41.138
2,03/17/20 11:00:00 AM,0.0,15.29,,,,,20812396,   54 22.299,   12 41.138
3,03/17/20 12:00:00 PM,0.0,15.68,,,,,20812396,   54 22.299,   12 41.138
4,03/17/20 01:00:00 PM,0.0,17.19,,,,,20812396,   54 22.299,   12 41.138
5,03/17/20 02:00:00 PM,0.0,17.86,,,,,20812396,   54 22.299,   12 41.138
6,03/17/20 03:00:00 PM,0.0,17.83,,,,,20812396,   54 22.299,   12 41.138
7,03/17/20 04:00:00 PM,0.0,17.19,,,,,20812396,   54 22.299,   12 41.138
8,03/17/20 05:00:00 PM,0.0,16.26,,,,,20812396,   54 22.299,   12 41.138
9,03/17/20 06:00:00 PM,0.0,15.31,,,,,20812396,   54 22.299,   12 41.138
10,03/17/20 07:00:00 PM,0.0,14.4,,,,,20812396,   54 22.299,   12 41.138
11,03/17/20 08:00:00 PM,0.0,13.61,,,,,20812396,   54 22.299,   12 41.138
12,03/17/20 09:00:00 PM,0.0,12.99,,,,,20812396,   54 22.299,   12 41.138
13,03/17/20 10:00:00 PM,0.0,12.52,,,,,20812396,   54 22.299,   12 41.138
14,03/17/20 11:00:00 PM,0.0,12.15,,,,,20812396,   54 22.299,   12 41.138
15,03/18/20 12:00:00 AM,0.0,11.88,,,,,20812396,   54 22.299,   12 41.138
16,03/18/20 01:00:00 AM,0.0,11.59,,,,,20812396,   54 22.299,   12 41.138
17,03/18/20 02:00:00 AM,0.0,11.31,,,,,20812396,   54 22.299,   12 41.138
18,03/18/20 03:00:00 AM,0.0,11.02,,,,,20812396,   54 22.299,   12 41.138
19,03/18/20 04:00:00 AM,0.0,10.6,,,,,20812396,   54 22.299,   12 41.138
20,03/18/20 05:00:00 AM,0.0,10.26,,,,,20812396,   54 22.299,   12 41.138
21,03/18/20 06:00:00 AM,0.0,9.89,,,,,20812396,   54 22.299,   12 41.138
22,03/18/20 07:00:00 AM,0.0,9.66,,,,,20812396,   54 22.299,   12 41.138
23,03/18/20 08:00:00 AM,0.0,9.87,,,,,20812396,   54 22.299,   12 41.138
24,03/18/20 09:00:00 AM,0.0,10.4,,,,,20812396,   54 22.299,   12 41.138
25,03/18/20 10:00:00 AM,0.0,12.41,,,,,20812396,   54 22.299,   12 41.138
26,03/18/20 11:00:00 AM,0.0,13.41,,,,,20812396,   54 22.299,   12 41.138
27,03/18/20 12:00:00 PM,0.0,13.72,,,,,20812396,   54 22.299,   12 41.138
28,03/18/20 01:00:00 PM,0.0,13.78,,,,,20812396,   54 22.299,   12 41.138
29,03/18/20 02:00:00 PM,0.0,13.99,,,,,20812396,   54 22.299,   12 41.138
30,03/18/20 03:00:00 PM,0.0,13.9,,,,,20812396,   54 22.299,   12 41.138
31,03/18/20 04:00:00 PM,0.0,13.7,,,,,20812396,   54 22.299,   12 41.138
32,03/18/20 05:00:00 PM,0.0,13.16,,,,,20812396,   54 22.299,   12 41.138
33,03/18/20 06:00:00 PM,0.0,12.86,,,,,20812396,   54 22.299,   12 41.138
34,03/18/20 07:00:00 PM,0.0,14.01,,,,,20812396,   54 22.299,   12 41.138
35,03/18/20 08:00:00 PM,0.0,13.52,,,,,20812396,   54 22.299,   12 41.138
36,03/18/20 09:00:00 PM,0.0,12.99,,,,,20812396,   54 22.299,   12 41.138
37,03/18/20 10:00:00 PM,0.0,12.41,,,,,20812396,   54 22.299,   12 41.138
38,03/18/20 11:00:00 PM,0.0,11.87,,,,,20812396,   54 22.299,   12 41.138
39,03/19/20 12:00:00 AM,0.0,11.4,,,,,20812396,   54 22.299,   12 41.138
40,03/19/20 01:00:00 AM,0.0,10.95,,,,,20812396,   54 22.299,   12 41.138
41,03/19/20 02:00:00 AM,0.0,10.51,,,,,20812396,   54 22.299,   12 41.138
