"Plot Title: 20803902"
"#","Date Time, GMT+01:00","Full Range, μS/cm (LGR S/N: 20803902, SEN S/N: 20803902)","Temp, °C (LGR S/N: 20803902, SEN S/N: 20803902)","Coupler Detached (LGR S/N: 20803902)","Coupler Attached (LGR S/N: 20803902)","Stopped (LGR S/N: 20803902)","End Of File (LGR S/N: 20803902)"
1,03/23/20 06:00:00 PM,1.1,18.39,Logged,,,
2,03/23/20 07:00:00 PM,-1.1,18.42,,,,
3,03/23/20 08:00:00 PM,1.1,18.65,,,,
4,03/23/20 09:00:00 PM,-2.1,17.68,,,,
5,03/23/20 10:00:00 PM,1.1,17.30,,,,
6,03/23/20 11:00:00 PM,1.1,17.43,,,,
7,03/24/20 12:00:00 AM,1.1,17.69,,,,
8,03/24/20 01:00:00 AM,-2.1,17.87,,,,
9,03/24/20 02:00:00 AM,1.1,18.03,,,,
10,03/24/20 03:00:00 AM,-2.1,18.16,,,,
11,03/24/20 04:00:00 AM,-2.1,18.21,,,,
12,03/24/20 05:00:00 AM,-2.5,18.22,,,,
13,03/24/20 06:00:00 AM,1.1,18.21,,,,
14,03/24/20 07:00:00 AM,1.1,18.22,,,,
15,03/24/20 08:00:00 AM,1.2,13.22,,,,
16,03/24/20 09:00:00 AM,-2.1,14.21,,,,
17,03/24/20 10:00:00 AM,1.2,12.70,,,,
18,03/24/20 11:00:00 AM,-2.1,12.54,,,,
19,03/24/20 12:00:00 PM,1.2,12.83,,,,
20,03/24/20 01:00:00 PM,1.2,13.92,,,,
21,03/24/20 02:00:00 PM,-1.0,13.87,,,,
22,03/24/20 03:00:00 PM,-1.0,13.97,,,,
23,03/24/20 04:00:00 PM,1.2,14.10,,,,
24,03/24/20 05:00:00 PM,1.1,15.68,,,,
25,03/24/20 06:00:00 PM,-2.1,12.43,,,,
26,03/24/20 07:00:00 PM,1.2,10.39,,,,
27,03/24/20 08:00:00 PM,1.2,8.95,,,,
28,03/24/20 09:00:00 PM,1.2,7.42,,,,
29,03/24/20 10:00:00 PM,-2.1,5.91,,,,
30,03/24/20 11:00:00 PM,-2.1,4.72,,,,
31,03/25/20 12:00:00 AM,-2.1,3.93,,,,
32,03/25/20 01:00:00 AM,-2.1,3.57,,,,
33,03/25/20 02:00:00 AM,1.2,3.22,,,,
34,03/25/20 03:00:00 AM,1.2,2.85,,,,
35,03/25/20 04:00:00 AM,1.2,2.35,,,,
36,03/25/20 05:00:00 AM,-2.1,1.78,,,,
37,03/25/20 06:00:00 AM,-2.1,1.56,,,,
38,03/25/20 07:00:00 AM,-2.1,1.49,,,,
39,03/25/20 08:00:00 AM,-2.1,1.72,,,,
