Num,Datetime(GMT+1),FullRange(uS/cm),Temp(C),CouplerDetached,CouplerAttached,Stopped,EndOfFile,hobo.ID,N(dm),E(dm)
1,03/23/20 06:00:00 PM,-0.9,18.54,Logged,,,,20803904,   53 51.598,   13 40.081
2,03/23/20 07:00:00 PM,2.4,18.49,,,,,20803904,   53 51.598,   13 40.081
3,03/23/20 08:00:00 PM,2.4,18.61,,,,,20803904,   53 51.598,   13 40.081
4,03/23/20 09:00:00 PM,1.7,17.38,,,,,20803904,   53 51.598,   13 40.081
5,03/23/20 10:00:00 PM,2.4,17.18,,,,,20803904,   53 51.598,   13 40.081
6,03/23/20 11:00:00 PM,1.7,17.47,,,,,20803904,   53 51.598,   13 40.081
7,03/24/20 12:00:00 AM,1.7,17.69,,,,,20803904,   53 51.598,   13 40.081
8,03/24/20 01:00:00 AM,-0.9,17.81,,,,,20803904,   53 51.598,   13 40.081
9,03/24/20 02:00:00 AM,2.4,17.95,,,,,20803904,   53 51.598,   13 40.081
10,03/24/20 03:00:00 AM,2.4,18.02,,,,,20803904,   53 51.598,   13 40.081
11,03/24/20 04:00:00 AM,14.1,18.02,,,,,20803904,   53 51.598,   13 40.081
12,03/24/20 05:00:00 AM,2.4,18.01,,,,,20803904,   53 51.598,   13 40.081
13,03/24/20 06:00:00 AM,2.4,17.98,,,,,20803904,   53 51.598,   13 40.081
14,03/24/20 07:00:00 AM,2.4,18.02,,,,,20803904,   53 51.598,   13 40.081
15,03/24/20 08:00:00 AM,-0.8,13.51,,,,,20803904,   53 51.598,   13 40.081
16,03/24/20 09:00:00 AM,-0.9,15.13,,,,,20803904,   53 51.598,   13 40.081
17,03/24/20 10:00:00 AM,1.7,14.74,,,,,20803904,   53 51.598,   13 40.081
18,03/24/20 11:00:00 AM,1.7,14.35,,,,,20803904,   53 51.598,   13 40.081
19,03/24/20 12:00:00 PM,-0.9,15.01,,,,,20803904,   53 51.598,   13 40.081
20,03/24/20 01:00:00 PM,-0.9,16.58,,,,,20803904,   53 51.598,   13 40.081
21,03/24/20 02:00:00 PM,2.4,15.84,,,,,20803904,   53 51.598,   13 40.081
22,03/24/20 03:00:00 PM,-0.9,15.2,,,,,20803904,   53 51.598,   13 40.081
23,03/24/20 04:00:00 PM,14.1,16.1,,,,,20803904,   53 51.598,   13 40.081
24,03/24/20 05:00:00 PM,-0.9,19.58,,,,,20803904,   53 51.598,   13 40.081
25,03/24/20 06:00:00 PM,-0.8,13.26,,,,,20803904,   53 51.598,   13 40.081
26,03/24/20 07:00:00 PM,-0.8,10.75,,,,,20803904,   53 51.598,   13 40.081
27,03/24/20 08:00:00 PM,14.2,8.9,,,,,20803904,   53 51.598,   13 40.081
28,03/24/20 09:00:00 PM,2.5,7.3,,,,,20803904,   53 51.598,   13 40.081
29,03/24/20 10:00:00 PM,14.3,5.86,,,,,20803904,   53 51.598,   13 40.081
30,03/24/20 11:00:00 PM,2.5,4.75,,,,,20803904,   53 51.598,   13 40.081
31,03/25/20 12:00:00 AM,2.5,4.07,,,,,20803904,   53 51.598,   13 40.081
32,03/25/20 01:00:00 AM,-0.8,3.74,,,,,20803904,   53 51.598,   13 40.081
33,03/25/20 02:00:00 AM,-0.8,3.4,,,,,20803904,   53 51.598,   13 40.081
34,03/25/20 03:00:00 AM,1.8,3.03,,,,,20803904,   53 51.598,   13 40.081
35,03/25/20 04:00:00 AM,14.4,2.57,,,,,20803904,   53 51.598,   13 40.081
36,03/25/20 05:00:00 AM,1.8,2.0,,,,,20803904,   53 51.598,   13 40.081
37,03/25/20 06:00:00 AM,1.8,1.69,,,,,20803904,   53 51.598,   13 40.081
38,03/25/20 07:00:00 AM,2.5,1.55,,,,,20803904,   53 51.598,   13 40.081
39,03/25/20 08:00:00 AM,2.5,1.93,,,,,20803904,   53 51.598,   13 40.081
40,03/25/20 09:00:00 AM,14.4,2.77,,,,,20803904,   53 51.598,   13 40.081
41,03/25/20 10:00:00 AM,2.5,6.04,,,,,20803904,   53 51.598,   13 40.081
42,03/25/20 11:00:00 AM,-0.8,7.17,,,,,20803904,   53 51.598,   13 40.081
43,03/25/20 12:00:00 PM,-0.8,7.49,,,,,20803904,   53 51.598,   13 40.081
44,03/25/20 01:00:00 PM,-0.8,8.59,,,,,20803904,   53 51.598,   13 40.081
45,03/25/20 02:00:00 PM,14.2,9.23,,,,,20803904,   53 51.598,   13 40.081
46,03/25/20 03:00:00 PM,2.5,8.69,,,,,20803904,   53 51.598,   13 40.081
47,03/25/20 04:00:00 PM,-0.8,8.61,,,,,20803904,   53 51.598,   13 40.081
48,03/25/20 05:00:00 PM,-0.8,9.93,,,,,20803904,   53 51.598,   13 40.081
49,03/25/20 06:00:00 PM,-0.8,8.35,,,,,20803904,   53 51.598,   13 40.081
50,03/25/20 07:00:00 PM,2.5,7.43,,,,,20803904,   53 51.598,   13 40.081
51,03/25/20 08:00:00 PM,14.3,6.42,,,,,20803904,   53 51.598,   13 40.081
52,03/25/20 09:00:00 PM,14.3,5.39,,,,,20803904,   53 51.598,   13 40.081
53,03/25/20 10:00:00 PM,2.5,5.34,,,,,20803904,   53 51.598,   13 40.081
54,03/25/20 11:00:00 PM,-0.8,4.58,,,,,20803904,   53 51.598,   13 40.081
55,03/26/20 12:00:00 AM,-0.8,3.45,,,,,20803904,   53 51.598,   13 40.081
56,03/26/20 01:00:00 AM,-0.8,2.32,,,,,20803904,   53 51.598,   13 40.081
57,03/26/20 02:00:00 AM,2.5,1.23,,,,,20803904,   53 51.598,   13 40.081
58,03/26/20 03:00:00 AM,-0.8,0.14,,,,,20803904,   53 51.598,   13 40.081
59,03/26/20 04:00:00 AM,1.8,-0.8,,,,,20803904,   53 51.598,   13 40.081
60,03/26/20 05:00:00 AM,2.6,-1.82,,,,,20803904,   53 51.598,   13 40.081
61,03/26/20 06:00:00 AM,-0.8,-1.84,,,,,20803904,   53 51.598,   13 40.081
62,03/26/20 07:00:00 AM,-0.8,-0.87,,,,,20803904,   53 51.598,   13 40.081
63,03/26/20 08:00:00 AM,-0.8,0.55,,,,,20803904,   53 51.598,   13 40.081
64,03/26/20 09:00:00 AM,-0.8,2.46,,,,,20803904,   53 51.598,   13 40.081
65,03/26/20 10:00:00 AM,14.3,5.76,,,,,20803904,   53 51.598,   13 40.081
66,03/26/20 11:00:00 AM,2.5,7.04,,,,,20803904,   53 51.598,   13 40.081
67,03/26/20 12:00:00 PM,14.3,8.17,,,,,20803904,   53 51.598,   13 40.081
68,03/26/20 01:00:00 PM,2.5,9.53,,,,,20803904,   53 51.598,   13 40.081
69,03/26/20 02:00:00 PM,14.2,10.36,,,,,20803904,   53 51.598,   13 40.081
70,03/26/20 03:00:00 PM,-0.8,10.79,,,,,20803904,   53 51.598,   13 40.081
71,03/26/20 04:00:00 PM,-0.8,11.97,,,,,20803904,   53 51.598,   13 40.081
72,03/26/20 05:00:00 PM,2.5,10.99,,,,,20803904,   53 51.598,   13 40.081
73,03/26/20 06:00:00 PM,14.2,8.93,,,,,20803904,   53 51.598,   13 40.081
74,03/26/20 07:00:00 PM,-0.8,7.81,,,,,20803904,   53 51.598,   13 40.081
75,03/26/20 08:00:00 PM,2.5,7.42,,,,,20803904,   53 51.598,   13 40.081
76,03/26/20 09:00:00 PM,-0.8,10.75,,,,,20803904,   53 51.598,   13 40.081
77,03/26/20 10:00:00 PM,1.7,16.14,,,,,20803904,   53 51.598,   13 40.081
78,03/26/20 11:00:00 PM,14.1,18.45,,,,,20803904,   53 51.598,   13 40.081
79,03/27/20 12:00:00 AM,-0.9,19.54,,,,,20803904,   53 51.598,   13 40.081
80,03/27/20 01:00:00 AM,2.4,20.13,,,,,20803904,   53 51.598,   13 40.081
81,03/27/20 02:00:00 AM,14.0,20.44,,,,,20803904,   53 51.598,   13 40.081
82,03/27/20 03:00:00 AM,1.7,20.65,,,,,20803904,   53 51.598,   13 40.081
83,03/27/20 04:00:00 AM,2.4,20.79,,,,,20803904,   53 51.598,   13 40.081
84,03/27/20 05:00:00 AM,-0.9,20.88,,,,,20803904,   53 51.598,   13 40.081
85,03/27/20 06:00:00 AM,2.4,20.93,,,,,20803904,   53 51.598,   13 40.081
86,03/27/20 07:00:00 AM,14.0,21.0,,,,,20803904,   53 51.598,   13 40.081
87,03/27/20 08:00:00 AM,2.4,21.04,,,,,20803904,   53 51.598,   13 40.081
88,03/27/20 09:00:00 AM,2.4,21.09,,,,,20803904,   53 51.598,   13 40.081
89,03/27/20 10:00:00 AM,2.4,21.13,,,,,20803904,   53 51.598,   13 40.081
90,03/27/20 11:00:00 AM,2.4,21.17,,,,,20803904,   53 51.598,   13 40.081
91,03/27/20 12:00:00 PM,14.0,21.25,,,,,20803904,   53 51.598,   13 40.081
92,03/27/20 01:00:00 PM,1.7,21.39,,,,,20803904,   53 51.598,   13 40.081
93,03/27/20 02:00:00 PM,-0.9,21.54,,,,,20803904,   53 51.598,   13 40.081
94,03/27/20 03:00:00 PM,-0.9,21.73,,,,,20803904,   53 51.598,   13 40.081
95,03/27/20 04:00:00 PM,2.4,21.92,,,,,20803904,   53 51.598,   13 40.081
96,03/27/20 05:00:00 PM,2.4,22.05,,,,,20803904,   53 51.598,   13 40.081
97,03/27/20 06:00:00 PM,2.4,22.15,,,,,20803904,   53 51.598,   13 40.081
