Num,Datetime(GMT+1),FullRange(uS/cm),Temp(C),CouplerDetached,CouplerAttached,Stopped,EndOfFile,hobo.ID,N(dm),E(dm)
1,03/23/20 06:00:00 PM,1.1,18.39,Logged,,,,20803902,   54 28.576,   13 16.877
2,03/23/20 07:00:00 PM,-1.1,18.42,,,,,20803902,   54 28.576,   13 16.877
3,03/23/20 08:00:00 PM,1.1,18.65,,,,,20803902,   54 28.576,   13 16.877
4,03/23/20 09:00:00 PM,-2.1,17.68,,,,,20803902,   54 28.576,   13 16.877
5,03/23/20 10:00:00 PM,1.1,17.3,,,,,20803902,   54 28.576,   13 16.877
6,03/23/20 11:00:00 PM,1.1,17.43,,,,,20803902,   54 28.576,   13 16.877
7,03/24/20 12:00:00 AM,1.1,17.69,,,,,20803902,   54 28.576,   13 16.877
8,03/24/20 01:00:00 AM,-2.1,17.87,,,,,20803902,   54 28.576,   13 16.877
9,03/24/20 02:00:00 AM,1.1,18.03,,,,,20803902,   54 28.576,   13 16.877
10,03/24/20 03:00:00 AM,-2.1,18.16,,,,,20803902,   54 28.576,   13 16.877
11,03/24/20 04:00:00 AM,-2.1,18.21,,,,,20803902,   54 28.576,   13 16.877
12,03/24/20 05:00:00 AM,-2.5,18.22,,,,,20803902,   54 28.576,   13 16.877
13,03/24/20 06:00:00 AM,1.1,18.21,,,,,20803902,   54 28.576,   13 16.877
14,03/24/20 07:00:00 AM,1.1,18.22,,,,,20803902,   54 28.576,   13 16.877
15,03/24/20 08:00:00 AM,1.2,13.22,,,,,20803902,   54 28.576,   13 16.877
16,03/24/20 09:00:00 AM,-2.1,14.21,,,,,20803902,   54 28.576,   13 16.877
17,03/24/20 10:00:00 AM,1.2,12.7,,,,,20803902,   54 28.576,   13 16.877
18,03/24/20 11:00:00 AM,-2.1,12.54,,,,,20803902,   54 28.576,   13 16.877
19,03/24/20 12:00:00 PM,1.2,12.83,,,,,20803902,   54 28.576,   13 16.877
20,03/24/20 01:00:00 PM,1.2,13.92,,,,,20803902,   54 28.576,   13 16.877
21,03/24/20 02:00:00 PM,-1.0,13.87,,,,,20803902,   54 28.576,   13 16.877
22,03/24/20 03:00:00 PM,-1.0,13.97,,,,,20803902,   54 28.576,   13 16.877
