"Plot Title: 20812394"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 20812394, SEN S/N: 20812394)","Temp, °C (LGR S/N: 20812394, SEN S/N: 20812394)","Coupler Detached (LGR S/N: 20812394)","Coupler Attached (LGR S/N: 20812394)","Stopped (LGR S/N: 20812394)","End Of File (LGR S/N: 20812394)"
1,03/17/20 10:00:00 AM,0.0,17.34,Logged,,,
2,03/17/20 11:00:00 AM,0.0,17.92,,,,
3,03/17/20 12:00:00 PM,0.0,18.48,,,,
4,03/17/20 01:00:00 PM,0.0,20.70,,,,
5,03/17/20 02:00:00 PM,0.0,21.19,,,,
6,03/17/20 03:00:00 PM,0.0,20.53,,,,
7,03/17/20 04:00:00 PM,0.0,19.12,,,,
8,03/17/20 05:00:00 PM,0.0,17.62,,,,
9,03/17/20 06:00:00 PM,0.0,16.28,,,,
10,03/17/20 07:00:00 PM,0.0,15.03,,,,
11,03/17/20 08:00:00 PM,0.0,13.99,,,,
12,03/17/20 09:00:00 PM,0.0,13.13,,,,
13,03/17/20 10:00:00 PM,0.0,12.45,,,,
14,03/17/20 11:00:00 PM,0.0,11.96,,,,
15,03/18/20 12:00:00 AM,0.0,11.59,,,,
16,03/18/20 01:00:00 AM,0.0,11.24,,,,
17,03/18/20 02:00:00 AM,0.0,10.91,,,,
18,03/18/20 03:00:00 AM,0.0,10.57,,,,
19,03/18/20 04:00:00 AM,0.0,10.12,,,,
20,03/18/20 05:00:00 AM,0.0,9.73,,,,
21,03/18/20 06:00:00 AM,0.0,9.36,,,,
22,03/18/20 07:00:00 AM,0.0,9.08,,,,
23,03/18/20 08:00:00 AM,0.0,9.18,,,,
24,03/18/20 09:00:00 AM,0.0,9.91,,,,
25,03/18/20 10:00:00 AM,0.0,13.87,,,,
26,03/18/20 11:00:00 AM,0.0,15.09,,,,
27,03/18/20 12:00:00 PM,0.0,15.10,,,,
28,03/18/20 01:00:00 PM,0.0,14.87,,,,
29,03/18/20 02:00:00 PM,0.0,15.03,,,,
30,03/18/20 03:00:00 PM,0.0,14.67,,,,
31,03/18/20 04:00:00 PM,0.0,14.18,,,,
32,03/18/20 05:00:00 PM,0.0,13.24,,,,
33,03/18/20 06:00:00 PM,0.0,12.82,,,,
34,03/18/20 07:00:00 PM,0.0,14.34,,,,
35,03/18/20 08:00:00 PM,0.0,13.96,,,,
36,03/18/20 09:00:00 PM,0.0,13.42,,,,
37,03/18/20 10:00:00 PM,0.0,12.89,,,,
38,03/18/20 11:00:00 PM,0.0,12.37,,,,
39,03/19/20 12:00:00 AM,0.0,11.93,,,,
40,03/19/20 01:00:00 AM,0.0,11.50,,,,
41,03/19/20 02:00:00 AM,0.0,11.08,,,,
