Num,Datetime(GMT+1),FullRange(uS/cm),Temp(C),CouplerDetached,CouplerAttached,Stopped,EndOfFile,hobo.ID,N(dm),E(dm)
1,03/17/20 12:00:00 PM,0.0,19.75,Logged,,,,20812406,    54 24.89,    12 44.13
2,03/17/20 01:00:00 PM,0.0,20.4,,,,,20812406,    54 24.89,    12 44.13
3,03/17/20 02:00:00 PM,0.0,23.66,,,,,20812406,    54 24.89,    12 44.13
4,03/17/20 03:00:00 PM,0.0,23.56,,,,,20812406,    54 24.89,    12 44.13
5,03/17/20 04:00:00 PM,0.0,21.84,,,,,20812406,    54 24.89,    12 44.13
6,03/17/20 05:00:00 PM,0.0,19.24,,,,,20812406,    54 24.89,    12 44.13
7,03/17/20 06:00:00 PM,0.0,17.18,,,,,20812406,    54 24.89,    12 44.13
8,03/17/20 07:00:00 PM,0.0,15.66,,,,,20812406,    54 24.89,    12 44.13
9,03/17/20 08:00:00 PM,0.0,14.29,,,,,20812406,    54 24.89,    12 44.13
10,03/17/20 09:00:00 PM,0.0,13.26,,,,,20812406,    54 24.89,    12 44.13
11,03/17/20 10:00:00 PM,0.0,12.5,,,,,20812406,    54 24.89,    12 44.13
12,03/17/20 11:00:00 PM,0.0,11.91,,,,,20812406,    54 24.89,    12 44.13
13,03/18/20 12:00:00 AM,0.0,11.53,,,,,20812406,    54 24.89,    12 44.13
14,03/18/20 01:00:00 AM,0.0,11.27,,,,,20812406,    54 24.89,    12 44.13
15,03/18/20 02:00:00 AM,0.0,11.0,,,,,20812406,    54 24.89,    12 44.13
16,03/18/20 03:00:00 AM,0.0,10.75,,,,,20812406,    54 24.89,    12 44.13
17,03/18/20 04:00:00 AM,0.0,10.44,,,,,20812406,    54 24.89,    12 44.13
18,03/18/20 05:00:00 AM,0.0,10.0,,,,,20812406,    54 24.89,    12 44.13
19,03/18/20 06:00:00 AM,0.0,9.66,,,,,20812406,    54 24.89,    12 44.13
