"Plot Title: 20812406"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 20812406, SEN S/N: 20812406)","Temp, °C (LGR S/N: 20812406, SEN S/N: 20812406)","Coupler Detached (LGR S/N: 20812406)","Coupler Attached (LGR S/N: 20812406)","Stopped (LGR S/N: 20812406)","End Of File (LGR S/N: 20812406)"
1,03/17/20 11:00:00 AM,0.0,19.75,Logged,,,
2,03/17/20 12:00:00 PM,0.0,20.40,,,,
3,03/17/20 01:00:00 PM,0.0,23.66,,,,
4,03/17/20 02:00:00 PM,0.0,23.56,,,,
5,03/17/20 03:00:00 PM,0.0,21.84,,,,
6,03/17/20 04:00:00 PM,0.0,19.24,,,,
7,03/17/20 05:00:00 PM,0.0,17.18,,,,
8,03/17/20 06:00:00 PM,0.0,15.66,,,,
9,03/17/20 07:00:00 PM,0.0,14.29,,,,
10,03/17/20 08:00:00 PM,0.0,13.26,,,,
11,03/17/20 09:00:00 PM,0.0,12.50,,,,
12,03/17/20 10:00:00 PM,0.0,11.91,,,,
13,03/17/20 11:00:00 PM,0.0,11.53,,,,
14,03/18/20 12:00:00 AM,0.0,11.27,,,,
15,03/18/20 01:00:00 AM,0.0,11.00,,,,
16,03/18/20 02:00:00 AM,0.0,10.75,,,,
17,03/18/20 03:00:00 AM,0.0,10.44,,,,
18,03/18/20 04:00:00 AM,0.0,10.00,,,,
19,03/18/20 05:00:00 AM,0.0,9.66,,,,
20,03/18/20 06:00:00 AM,0.0,9.34,,,,
21,03/18/20 07:00:00 AM,0.0,9.13,,,,
22,03/18/20 08:00:00 AM,0.0,9.35,,,,
23,03/18/20 09:00:00 AM,0.0,10.26,,,,
24,03/18/20 10:00:00 AM,0.0,17.04,,,,
25,03/18/20 11:00:00 AM,0.0,16.94,,,,
26,03/18/20 12:00:00 PM,0.0,16.21,,,,
27,03/18/20 01:00:00 PM,0.0,15.70,,,,
28,03/18/20 02:00:00 PM,0.0,15.66,,,,
29,03/18/20 03:00:00 PM,0.0,15.03,,,,
30,03/18/20 04:00:00 PM,0.0,14.25,,,,
31,03/18/20 05:00:00 PM,0.0,12.90,,,,
32,03/18/20 06:00:00 PM,0.0,13.84,,,,
33,03/18/20 07:00:00 PM,0.0,14.62,,,,
34,03/18/20 08:00:00 PM,0.0,13.23,,,,
35,03/18/20 09:00:00 PM,0.0,12.38,,,,
36,03/18/20 10:00:00 PM,0.0,11.66,,,,
37,03/18/20 11:00:00 PM,0.0,11.04,,,,
38,03/19/20 12:00:00 AM,0.0,10.53,,,,
39,03/19/20 01:00:00 AM,0.0,10.03,,,,
40,03/19/20 02:00:00 AM,0.0,9.53,,,,
41,03/19/20 03:00:00 AM,0.0,9.09,,,,
42,03/19/20 04:00:00 AM,0.0,8.66,,,,
