year,month,id,name,waterbody,identifier,Lat,Long,type,turbidity,SAL,WT
2018,2,TF0271b,Odin,Open Baltic,2_2018,57.3189,20.0508,Sea,,10.3270331639136,
2018,2,TF0272,Odin,Open Baltic,2_2018,57.0711,19.8308,Sea,,10.776054822335,
2018,2,TF0282,Odin,Open Baltic,2_2018,58.8833,20.3165,Sea,,9.23844842767296,
2018,2,TF0283,Odin,Open Baltic,2_2018,58.7832,19.0995,Sea,,8.795156,
2018,2,TF0284,Odin,Open Baltic,2_2018,58.5814,18.2306,Sea,,9.61649703504043,
2018,2,TF0284,Odin,Open Baltic,2_2018,58.5817,18.2314,Sea,,9.61649703504043,
2018,2,TF0284,Odin,Open Baltic,2_2018,58.5818,18.233,Sea,,9.61649703504043,
2018,2,TF0284,Odin,Open Baltic,2_2018,58.5826,18.2308,Sea,,9.61649703504043,
2018,2,TF0285,Odin,Open Baltic,2_2018,58.4414,20.3325,Sea,,8.83153931623932,
2018,2,TF0286,Odin,Open Baltic,2_2018,58.0003,19.8997,Sea,,9.67841224489796,
2018,2,TF0286,Odin,Open Baltic,2_2018,57.9999,19.899,Sea,,9.67841224489796,
2018,3,ABBOJE,Odin,Open Baltic,3_2018,54.88,13.8586,Sea,,8.10026744186047,
2018,3,TF0001,Odin,Open Baltic,3_2018,54.6965,12.6982,Sea,,9.62846923076923,
2018,3,TF0001,Odin,Open Baltic,3_2018,54.6959,12.7068,Sea,,9.62846923076923,
2018,3,TF0002,Odin,Open Baltic,3_2018,54.6497,12.4495,Sea,,8.84339375,
2018,3,TF0010,Odin,Open Baltic,3_2018,54.5518,11.3203,Sea,,10.3303777777778,
2018,3,TF0011,Odin,Open Baltic,3_2018,54.4135,11.6166,Sea,,10.5104041666667,
2018,3,TF0012,Odin,Open Baltic,3_2018,54.3155,11.5511,Sea,,11.4710371428571,
2018,3,TF0012,Odin,Open Baltic,3_2018,54.3152,11.5496,Sea,,11.4710371428571,
2018,3,TF0012,Odin,Open Baltic,3_2018,54.3151,11.5496,Sea,,11.4710371428571,
2018,3,TF0022,Odin,Open Baltic,3_2018,54.1101,11.1753,Sea,,10.6798272727273,
2018,3,TF0030,Odin,Open Baltic,3_2018,54.7233,12.7832,Sea,,9.88608095238095,
2018,3,TF0030,Odin,Open Baltic,3_2018,54.7231,12.784,Sea,,9.88608095238095,
2018,3,TF0040,Odin,Open Baltic,3_2018,54.4879,12.0644,Sea,,11.1924833333333,
2018,3,TF0041,Odin,Open Baltic,3_2018,54.4058,12.0616,Sea,,11.8611666666667,
2018,3,TF0046,Odin,Open Baltic,3_2018,54.4699,12.2411,Sea,,11.1933,
2018,3,TF0046,Odin,Open Baltic,3_2018,54.4702,12.2418,Sea,,11.1933,
2018,3,TF0069,Odin,Open Baltic,3_2018,55.0009,13.2998,Sea,,8.2381,
2018,3,TF0102,Odin,Open Baltic,3_2018,55.1557,13.9427,Sea,,8.53520476190476,
2018,3,TF0103,Odin,Open Baltic,3_2018,55.0639,13.9899,Sea,,8.25569333333333,
2018,3,TF0104,Odin,Open Baltic,3_2018,55.0684,13.8149,Sea,,8.31679545454546,
2018,3,TF0105,Odin,Open Baltic,3_2018,55.025,13.6078,Sea,,8.11940681818182,
2018,3,TF0109,Odin,Open Baltic,3_2018,55.0005,14.0841,Sea,,8.19461739130435,
2018,3,TF0111,Odin,Open Baltic,3_2018,54.8898,13.9683,Sea,,8.16073571428571,
2018,3,TF0112,Odin,Open Baltic,3_2018,54.8033,13.9585,Sea,,8.23328157894737,
2018,3,TF0113,Odin,Open Baltic,3_2018,54.9252,13.5008,Sea,,8.32147906976744,
2018,3,TF0113,Odin,Open Baltic,3_2018,54.9255,13.4984,Sea,,8.32147906976744,
2018,3,TF0113,Odin,Open Baltic,3_2018,54.9251,13.5003,Sea,,8.32147906976744,
2018,3,TF0114,Odin,Open Baltic,3_2018,54.8595,13.2765,Sea,,7.90871162790698,
2018,3,TF0115,Odin,Open Baltic,3_2018,54.7945,13.058,Sea,,8.19751428571429,
2018,3,TF0121,Odin,Open Baltic,3_2018,54.7102,13.9469,Sea,,7.64825357142857,
2018,3,TF0140,Odin,Open Baltic,3_2018,55.4671,14.7172,Sea,,9.12544776119403,
2018,3,TF0142,Odin,Open Baltic,3_2018,55.4036,14.5352,Sea,,8.63569310344828,
2018,3,TF0144,Odin,Open Baltic,3_2018,55.2528,14.5005,Sea,,7.71403488372093,
2018,3,TF0145,Odin,Open Baltic,3_2018,55.1667,14.2502,Sea,,8.08897777777778,
2018,3,TF0150,Odin,Open Baltic,3_2018,54.6114,14.0433,Sea,,7.67401428571429,
2018,3,TF0200,Odin,Open Baltic,3_2018,55.3831,15.3338,Sea,,9.89038409090909,
2018,3,TF0212,Odin,Open Baltic,3_2018,55.3023,15.7968,Sea,,10.5067923913043,
2018,3,TF0213,Odin,Open Baltic,3_2018,55.2498,15.9843,Sea,,10.1893053846154,
2018,3,TF0213,Odin,Open Baltic,3_2018,55.2498,15.9833,Sea,,10.1893053846154,
2018,3,TF0213,Odin,Open Baltic,3_2018,55.2499,15.9827,Sea,,10.1893053846154,
2018,3,TF0214,Odin,Open Baltic,3_2018,55.1601,15.6607,Sea,,10.4282588888889,
2018,3,TF0221,Odin,Open Baltic,3_2018,55.2218,16.1673,Sea,,9.19790379746835,
2018,3,TF0222,Odin,Open Baltic,3_2018,55.217,17.0691,Sea,,9.51153522727273,
2018,3,TF0240,Odin,Open Baltic,3_2018,57.9997,18.0003,Sea,,8.76936242424242,
2018,3,TF0242,Odin,Open Baltic,3_2018,57.7167,17.3671,Sea,,8.83529275362319,
2018,3,TF0245,Odin,Open Baltic,3_2018,57.1166,17.6674,Sea,,7.87774245283019,
2018,3,TF0250,Odin,Open Baltic,3_2018,56.0834,19.1667,Sea,,8.9727375,
2018,3,TF0255,Odin,Open Baltic,3_2018,55.6333,18.6005,Sea,,8.27724555555556,
2018,3,TF0256,Odin,Open Baltic,3_2018,55.3268,18.2353,Sea,,7.90197432432432,
2018,3,TF0259,Odin,Open Baltic,3_2018,55.5507,18.4014,Sea,,7.82537272727273,
2018,3,TF0259,Odin,Open Baltic,3_2018,55.5497,18.4008,Sea,,7.82537272727273,
2018,3,TF0260a,Odin,Open Baltic,3_2018,56.6335,19.5844,Sea,,9.65739785714286,
2018,3,TF0270,Odin,Open Baltic,3_2018,57.6168,20.1667,Sea,,9.55365467625899,
2018,3,TF0271b,Odin,Open Baltic,3_2018,57.3197,20.05,Sea,,9.81805751748252,
2018,3,TF0271b,Odin,Open Baltic,3_2018,57.3198,20.0501,Sea,,9.81805751748252,
2018,3,TF0271b,Odin,Open Baltic,3_2018,57.3192,20.0509,Sea,,9.81805751748252,
2018,3,TF0271b,Odin,Open Baltic,3_2018,57.3201,20.0505,Sea,,9.81805751748252,
2018,3,TF0271b,Odin,Open Baltic,3_2018,57.3204,20.0501,Sea,,9.81805751748252,
2018,3,TF0272,Odin,Open Baltic,3_2018,57.0719,19.8312,Sea,,10.6977330049261,
2018,3,TF0284,Odin,Open Baltic,3_2018,58.5809,18.2347,Sea,,9.85065698924731,
2018,3,TF0284,Odin,Open Baltic,3_2018,58.5808,18.2332,Sea,,9.85065698924731,
2018,3,TF0284,Odin,Open Baltic,3_2018,58.5807,18.2325,Sea,,9.85065698924731,
2018,3,TF0284,Odin,Open Baltic,3_2018,58.5807,18.233,Sea,,9.85065698924731,
2018,3,TF0284,Odin,Open Baltic,3_2018,58.581,18.2335,Sea,,9.85065698924731,
2018,3,TF0285,Odin,Open Baltic,3_2018,58.4418,20.334,Sea,,8.98434871794872,
2018,3,TF0286,Odin,Open Baltic,3_2018,58.0013,19.9003,Sea,,9.606245,
2018,3,TF0286,Odin,Open Baltic,3_2018,57.9998,19.8998,Sea,,9.606245,
2018,3,TF0289,Odin,Open Baltic,3_2018,58.7667,20.3304,Sea,,9.83075925925926,
2018,3,TF0360,Odin,Open Baltic,3_2018,54.6,10.4497,Sea,,13.6875470588235,
2018,3,TF0361,Odin,Open Baltic,3_2018,54.6571,10.7666,Sea,,13.1447318181818,
2018,3,TFO5,Odin,Open Baltic,3_2018,54.2318,12.075,Sea,,11.0696083333333,
2018,5,ABBOJE,Odin,Open Baltic,5_2018,54.8801,13.8625,Sea,,9.16587816091954,
2018,5,ABBOJE,Odin,Open Baltic,5_2018,54.882,13.8576,Sea,,9.16587816091954,
2018,5,Gotland_NE,Odin,Open Baltic,5_2018,57.3672,20.33,Sea,,10.7984439814815,
2018,5,nGB-2,Odin,Open Baltic,5_2018,58.8662,19.7437,Sea,,9.2781246835443,
2018,5,TF0001,Odin,Open Baltic,5_2018,54.6975,12.6977,Sea,,8.15961025641026,
2018,5,TF0001,Odin,Open Baltic,5_2018,54.6967,12.7066,Sea,,8.15961025641026,
2018,5,TF0002,Odin,Open Baltic,5_2018,54.6498,12.4492,Sea,,9.00504117647059,
2018,5,TF0002,Odin,Open Baltic,5_2018,54.651,12.4492,Sea,,9.00504117647059,
2018,5,TF0010,Odin,Open Baltic,5_2018,54.552,11.3194,Sea,,16.2752481481482,
2018,5,TF0011,Odin,Open Baltic,5_2018,54.4135,11.6167,Sea,,15.1551086956522,
2018,5,TF0012,Odin,Open Baltic,5_2018,54.3152,11.549,Sea,,13.6647777777778,
2018,5,TF0012,Odin,Open Baltic,5_2018,54.315,11.5502,Sea,,13.6647777777778,
2018,5,TF0013,Odin,Open Baltic,5_2018,54.4736,11.4809,Sea,,14.676196,
2018,5,TF0014,Odin,Open Baltic,5_2018,54.5959,11.0128,Sea,,19.0859888888889,
2018,5,TF0022,Odin,Open Baltic,5_2018,54.1097,11.1767,Sea,,13.95145,
2018,5,TF0030,Odin,Open Baltic,5_2018,54.7233,12.7826,Sea,,7.9931380952381,
2018,5,TF0030,Odin,Open Baltic,5_2018,54.7232,12.7831,Sea,,7.9931380952381,
2018,5,TF0040,Odin,Open Baltic,5_2018,54.488,12.0653,Sea,,8.74995833333333,
2018,5,TF0041,Odin,Open Baltic,5_2018,54.4066,12.0617,Sea,,9.77142777777778,
2018,5,TF0046,Odin,Open Baltic,5_2018,54.4697,12.2419,Sea,,12.3778444444444,
2018,5,TF0046,Odin,Open Baltic,5_2018,54.4695,12.2414,Sea,,12.3778444444444,
2018,5,TF0069,Odin,Open Baltic,5_2018,54.9997,13.2999,Sea,,9.24368604651163,
2018,5,TF0102,Odin,Open Baltic,5_2018,55.1547,13.9406,Sea,,8.88927906976744,
2018,5,TF0103,Odin,Open Baltic,5_2018,55.0641,13.9891,Sea,,8.77145681818182,
