ID	Scales_magnification	sex	Weight	TL	date	Lat	Long	Temperature	Conductivity	Salinity	area	comment
BH-00355	1	m	800	552	9.7.2019	53.972464	13.268719	NA	NA		Peene	Wrong coordinates in DB
BH-00356	0.8	f	3000	815	9.7.2019	53.972464	13.268719	NA	NA		Peene	Wrong coordinates in DB
BH-00385	0.8	f	3265	765	10.7.2019	54.312567	12.703852	17.4	1364		Barthe	
BH-00391	0.8	f	5220	903	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	
BH-00392	0.8	f	5600	930	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	
BH-00398	1	f	2655	761	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	
BH-00405	1.25	f	715	466	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	
BH-00411	1	f	1870	677	11.7.2019	54.319417	12.699083	18.8	1366		Barthe	
BH-00418	0.8	f	2450	758	12.7.2019	53.972464	13.268719	19.7	1513		Peene	Wrong coordinates in DB
BH-00419	0.63	f	5780	958	12.7.2019	53.972464	13.268719	19.7	1513		Peene	Wrong coordinates in DB
BH-00424	1.25	m	508	425	12.7.2019	53.972464	13.268719	19.7	1513		Peene	"Misnamed ""428"" in mount"
BH-00670	0.8	f	NA	680	01.12.2019	NA	NA	NA	NA	NA	KB	
BH-00681	0.8	m	NA	630	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	
BH-00685	0.8	m	NA	720	29.02.2020	54.633915	13.263042	NA	NA	NA	WB	
BH-00689	1	m	NA	600	01.03.2020	54.633915	13.263042	NA	NA	NA	WB	
BH-00696	0.8	f	NA	790	02.03.2020	54.633915	13.263042	NA	NA	NA	WB	
BH-00729	0.8	f	NA	770	14.12.2019	NA	NA	NA	NA	NA	SB	
BH-00730	0.8	m	NA	758	14.12.2019	NA	NA	NA	NA	NA	SB	
BH-00732	1	f	NA	617	14.12.2019	NA	NA	NA	NA	NA	SB	
BH-01902	0.63	m	NA	500	1.11.2020	54.28707	13.69857				GB	
BH-01893	0.63	m	NA	650	10.11.2020	54.28707	13.69857				GB	
BH-01555	0.8	f	NA	760	8.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01556	0.63	f	NA	1110	8.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01560	0.8	f	NA	820	8.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01567	NA	m		460	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01569	1	m	NA	550	28.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01570	0.8	f	NA	980	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01571	1	f	NA	520	28.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01576	1	f	NA	570	28.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01580	NA	f		490	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01582	0.8	f	NA	830	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01585	1	m	NA	760	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	
BH-01588	0.63	f	NA	1050	01.02.2020	54.446995	13.518145	NA	NA	NA	KJB	
BH-01594	1	f	NA	630	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	
BH-01595	0.8	m	NA	690	28.02.2020	54.633915	13.263042	NA	NA	NA	WB	
BH-01596	1	f	NA	660	01.01.2020	NA	NA	NA	NA	NA	GJB	
BH-01598	0.8	f	NA	750	01.01.2020	NA	NA	NA	NA	NA	GJB	
BH-01701	0.8	f	NA	880	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01713	0.63	f	7200	980	8.1.2020	54.454675	13.177452	NA	NA	NA	SB	
BH-01717	0.63	f	NA	1040	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01719	1.25	f	1400	550	23.12.2019	54.454675	13.177452	NA	NA	NA	SB	
BH-01722	0.8	f	NA	950	28.02.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01731	0.8	m	6800	950	8.1.2020	54.454675	13.177452	NA	NA	NA	SB	
BH-01737	0.63	f	11500	1130	27.2.2020	54.41412	13.13059	NA	NA	NA	KB	
BH-01738	0.8	f	5400	860	23.12.2019	54.454675	13.177452	NA	NA	NA	SB	
BH-01741	0.8	f	NA	750	9.10.2020						KD	
BH-01758	0.63	m	2580	682	1.5.2020	54.454675	13.177452	NA	NA	NA	SB	
BH-01767	0.8	f	NA	751	12.9.2020						KD	
BH-01772	0.63	f	NA	634	9.10.2020						KD	
BH-01774	0.8	f	NA	638	9.10.2020						KD	
BH-01776	1	f	NA	574	9.10.2020						KD	
BH-01789	1	m	1700	600	26.2.2020	54.41412	13.13059	NA	NA	NA	KB	
BH-01802	0.8	m	1980	638	1.5.2020	54.454675	13.177452	NA	NA	NA	SB	
BH-01803	1	m	1900	600	24.11.2019	54.454675	13.177452	NA	NA	NA	SB	
BH-01809	1	m	900	520	26.2.2020	54.41412	13.13059	NA	NA	NA	KB	
BH-01812	0.8	f	8900	1020	22.11.2019	54.454675	13.177452	NA	NA	NA	SB	
BH-01814	0.63	m	3600	780	26.2.2020	54.41412	13.13059	NA	NA	NA	KB	
BH-01819	0.8	m	2800	680	27.2.2020	54.41412	13.13059	NA	NA	NA	KB	
BH-01835	0.63	m	3800	820	26.2.2020	54.41412	13.13059	NA	NA	NA	KB	
BH-01846	0.8	m	NA	880	16.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01850	0.63	f	NA	910	14.2.2020	54.54338	13.37395	NA	NA	NA	BEG	
BH-01855	0.8	m	2500	722	1.5.2020	54.454675	13.177452	NA	NA	NA	SB	
BH-01860	0.63	f	7900	940	27.2.2020	54.41412	13.13059	NA	NA	NA	KB	
BH-01867	0.8	f	4800	820	23.11.2019	54.454675	13.177452	NA	NA	NA	SB	
BH-01868	0.63	f	8700	1010	8.1.2020	54.454675	13.177452	NA	NA	NA	SB	
BH-01869	1	f	3300	730	17.12.2019	54.454675	13.177452	NA	NA	NA	SB	
BH-01877	1	m	NA	434	9.10.2020						KD	
BH-01899	0.63	f	NA	760	10.11.2020	54.28707	13.69857				GB	
BH-01882	0.8	f	NA	670	12.11.2020	54.28707	13.69857				GB	
BH-01883	0.63	f	NA	870	12.11.2020	54.28707	13.69857				GB	
BH-01897	0.63	m	NA	600	13.11.2020	54.28707	13.69857				GB	
BH-01885	0.8	f	NA	796	27.11.2020	54.33112	13.46128	5.8	12360	6.8	GB	
BH-01889	0.63	f	NA	837	27.11.2020	54.33112	13.46128	5.8	12360	6.8	GB	
BH-01891	0.8	f	4348	870	27.11.2020	54.33112	13.46128	5.8	12360	6.8	GB	
BH-01892	0.8	m	1772	635	27.11.2020	54.33112	13.46128	5.8	12360	6.8	GB	
BH-01900	0.8	f	NA	825	27.11.2020	54.33112	13.46128	5.8	12360	6.8	GB	
BH-01903	1.25	f	596	439	27.11.2020	54.33112	13.46128	5.8	12360	6.8	GB	
BH-01904	1.25	f	474	404	27.11.2020	54.33112	13.46128	5.8	12360	6.8	GB	
BH-01908	0.63	f	NA	876	30.1.2021	54.33112	13.46128	NA	NA	NA	GB	
BH-00742	0.8	m	NA	550	8.11.2019	NA	NA	NA	NA	NA	GB	
BH-00750	0.8	f	NA	560	8.11.2019	NA	NA	NA	NA	NA	GB	
BH-01906	0.63	f	13600	1230	5.11.2019	54.454675	13.177452	NA	NA	NA	SB	
BH-01898	0.63	f	NA	700	8.11.2020	54.28707	13.69857	NA	NA	NA	GB	
BH-01922	0.63	f	14600	1262	01.02.2021	54.41412	13.13059	NA	NA	NA	KB	
BH-90307	0.63	f	5350	883	16.3.2020	54.454675	13.177452	NA	NA	NA	SB	
BH-90910	0.8	m	NA	604	07.04.2021	54.331809	12.529867	8.9	875	0.4	NHG	
BH-90928	0.8	m	1470	580	02.04.2021	54.381931	13.26729	8.4	1294	0.6	Sehrowbach	
BH-90946	0.8	m	2564	694	02.04.2021	54.381931	13.26729	8.4	1294	0.6	Sehrowbach	
BH-90962	0.63	f	5710	921	31.03.2021	NA	NA	NA	NA	NA	KWB	Missing!
BH-90970	0.8	m	1688	634	02.04.2021	54.381931	13.26729	8.4	1294	0.6	Sehrowbach	
BH-90981	0.8	m	2798	745	02.04.2021	54.381931	13.26729	8.4	1294	0.6	Sehrowbach	
BH-90997	0.8	m	2258	675	23.03.2021	54.373931	13.045735	44810	1122	0.5	Bandycksgraben	
BH-91013	0.63	f	3234	739	01.04.2021	54.034922	13.740372	12.4	873	0.4	Ziese	
BH-91045	0.8	m	1564	648	01.04.2021	54.034922	13.740372	12.4	873	0.4	Ziese	
BH-91050	0.63	m	2930	732	01.04.2021	54.034922	13.740372	12.4	873	0.4	Ziese	
BH-91053	0.8	f	2734	674	01.04.2021	54.034922	13.740372	12.4	873	0.4	Ziese	
