"ID"	"TL_mm"	"weight"	"sex"	"area"	"capt_date"	"age"	"cohort"	"year"	"inc_um"	"rad_um"	"core"	"d18O"	"sims_dist"
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-7.0395634	515.7101899
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-6.806761	556.5626649
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-6.70976	595.1890456
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-6.4575574	635.6807375
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-5.4293468	674.6680665
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-4.575738	715.1594228
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-4.6630389	753.7857786
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-4.3235354	794.6382825
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-4.7794401	833.2646638
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	1	877.2	877.2	326.3	-4.2944351	873.7562589
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-5.8270509	912.7436661
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-5.8464511	953.2350182
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-6.8358613	991.8613814
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-5.8464511	1032.7139
"BH-01719"	550	1400	"f"	"SB"	"23.12.2019"	2	2018	2	441.9	1319.1	326.3	-6.0113528	1071.340282
