"id"	"name"	"waterbody"	"month"	"year"	"Lat"	"Long"	"measurement"	"type"	"SAL"	"WT"
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"3"	2008	54.01667	13.958331	"LUNG"	"Coast"	2.1	3.9
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"4"	2008	54.01667	13.958331	"LUNG"	"Coast"	1.7	7.4
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"5"	2008	54.01667	13.958331	"LUNG"	"Coast"	1.5	16.4
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"6"	2008	54.01667	13.958331	"LUNG"	"Coast"	1.3	18.9
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"7"	2008	54.01667	13.958331	"LUNG"	"Coast"	1.3	19.8
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"8"	2008	54.01667	13.958331	"LUNG"	"Coast"	1.2	20
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"9"	2008	54.01667	13.958331	"LUNG"	"Coast"	1.6	18.3
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"1"	2009	54.01667	13.958331	"LUNG"	"Coast"	NA	NA
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"10"	2009	54.01667	13.958331	"LUNG"	"Coast"	2	11.8
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"11"	2009	54.01667	13.958331	"LUNG"	"Coast"	2.1	7.9
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"12"	2009	54.01667	13.958331	"LUNG"	"Coast"	1.9	5.2
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"2"	2009	54.01667	13.958331	"LUNG"	"Coast"	2.9	1
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"3"	2009	54.01667	13.958331	"LUNG"	"Coast"	2.5	5.2
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"4"	2009	54.01667	13.958331	"LUNG"	"Coast"	2.3	11.2
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"5"	2009	54.01667	13.958331	"LUNG"	"Coast"	2	15.6
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"6"	2009	54.01667	13.958331	"LUNG"	"Coast"	2.55	17
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"7"	2009	54.01667	13.958331	"LUNG"	"Coast"	NA	NA
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"8"	2009	54.01667	13.958331	"LUNG"	"Coast"	1.5	22.4
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"9"	2009	54.01667	13.958331	"LUNG"	"Coast"	1.8	18.9
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"1"	2010	54.01667	13.958331	"LUNG"	"Coast"	NA	NA
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"10"	2010	54.01667	13.958331	"LUNG"	"Coast"	0.7	7.6
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"11"	2010	54.01667	13.958331	"LUNG"	"Coast"	0.7	1.6
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"12"	2010	54.01667	13.958331	"LUNG"	"Coast"	NA	NA
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"2"	2010	54.01667	13.958331	"LUNG"	"Coast"	NA	NA
"0111030108"	"AW1 Trockenort"	"Achterwasser"	"3"	2010	54.01667	13.958331	"LUNG"	"Coast"	1.3	7.6
