"ID"	"age"	"cohort"	"capt"	"TL"	"weigth"	"sex"	"date"	"core"	"i"	"year"	"increment"	"quality"
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"4"	2018	238	3
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"5"	2019	146.5	3
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"6"	2020	75.1	3
"BH-00392"	6	2014	"Barthe"	930	5600	"f"	2019-07-11	314.8	"edge"	NA	35.4	3
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"core"	NA	NA	3
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"1"	2018	347.2	3
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"2"	2019	319	3
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"3"	2020	116.1	3
"BH-91117"	3	2017	"NHG"	555	1230	"f"	2021-04-07	294.4	"edge"	NA	36.7	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"core"	NA	NA	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"1"	2015	360.1	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"2"	2016	119.9	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"3"	2017	87.8	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"4"	2018	166.7	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"5"	2019	117	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"6"	2020	134.7	3
"BH-90946"	6	2014	"Sehrowbach"	694	2564	"m"	2021-04-02	265.4	"edge"	NA	113.9	3
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"core"	NA	NA	3
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"1"	2019	389.8	3
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"2"	2020	237.8	3
"BH-01877"	2	2018	"KD"	434	NA	"m"	2020-10-09	205.6	"edge"	NA	219.6	3
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"core"	NA	NA	3
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"1"	2017	462.9	3
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"2"	2018	170.7	3
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"3"	2019	186	3
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"4"	2020	149.9	3
"BH-91050"	4	2016	"Ziese"	732	2930	"m"	2021-04-01	345.8	"edge"	NA	95.8	3
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"core"	NA	NA	3
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"1"	2017	545.4	3
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"2"	2018	202.6	3
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"3"	2019	184.4	3
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"4"	2020	168.3	3
"BH-01774"	4	2016	"KD"	638	NA	"f"	2020-10-09	343.6	"edge"	NA	152.3	3
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"core"	NA	NA	3
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"1"	2017	464.3	3
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"2"	2018	258.3	3
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"3"	2019	215.6	3
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"4"	2020	186.9	3
"BH-90997"	4	2016	"Bandycksgraben"	675	2258	"m"	2021-03-23	352.3	"edge"	NA	106	3
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"core"	NA	NA	3
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"1"	2019	326.7	3
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"2"	2020	290.6	3
"BH-90928"	2	2018	"Sehrowbach"	580	1470	"m"	2021-04-02	321.3	"edge"	NA	211.5	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"core"	NA	NA	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"1"	2012	474	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"2"	2013	226.9	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"3"	2014	151.4	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"4"	2015	113.5	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"5"	2016	116.2	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"6"	2017	116.3	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"7"	2018	102.5	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"8"	2019	81.3	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"9"	2020	83	3
"BH-90981"	9	2011	"Sehrowbach"	745	2798	"m"	2021-04-02	315.8	"edge"	NA	54.7	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"core"	NA	NA	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"1"	2011	445.5	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"2"	2012	192.9	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"3"	2013	155.4	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"4"	2014	122.6	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"5"	2015	143.6	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"6"	2016	158.4	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"7"	2017	137.5	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"8"	2018	140.5	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"9"	2019	107.6	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"10"	2020	146.6	3
"BH-01922"	10	2010	"KB"	1262	14600	"f"	2020-02-01	340.2	"edge"	NA	70.2	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"core"	NA	NA	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"1"	2014	335	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"2"	2015	209.3	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"3"	2016	159.2	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"4"	2017	140.1	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"5"	2018	159.2	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"6"	2019	241.7	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"7"	2020	140.1	3
"BH-00418"	7	2013	"Peene"	758	2450	"f"	2019-07-12	463.5	"edge"	NA	56.6	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"core"	NA	NA	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"1"	2015	376.8	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"2"	2016	109	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"3"	2017	110	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"4"	2018	120.2	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"5"	2019	134.4	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"6"	2020	151.8	3
"BH-90970"	6	2014	"Sehrowbach"	634	1688	"m"	2021-04-02	228.1	"edge"	NA	153.8	3
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"core"	NA	NA	3
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"1"	2018	415.4	3
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"2"	2019	228.2	3
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"3"	2020	104.1	3
"BH-91013"	3	2017	"Ziese"	739	3234	"f"	2021-04-01	145.6	"edge"	NA	47.4	3
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"core"	NA	NA	3
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"1"	2017	337.8	3
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"2"	2018	225.2	3
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"3"	2019	195.4	3
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"4"	2020	149.5	3
"BH-91054"	4	2016	"Sehrowbach"	636	1766	"m"	2021-04-02	304.7	"edge"	NA	198.1	3
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"core"	NA	NA	3
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"1"	2019	576.9	3
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"2"	2020	297.4	3
"BH-01776"	2	2018	"KD"	574	NA	"f"	2020-10-09	199.8	"edge"	NA	227.9	3
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"core"	NA	NA	3
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"1"	2017	489.4	3
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"2"	2018	287.7	3
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"3"	2019	167.7	3
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"4"	2020	106	3
"BH-91068"	4	2016	"Ziese"	860	4994	"f"	2021-04-01	334.7	"edge"	NA	54.3	3
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"core"	NA	NA	3
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"1"	2019	343.6	3
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"2"	2020	383.7	3
"BH-00405"	2	2018	"Barthe"	466	715	"f"	2019-07-11	275.6	"edge"	NA	93.3	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"core"	NA	NA	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"1"	2012	501.8	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"2"	2013	174.9	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"3"	2014	228.8	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"4"	2015	191	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"5"	2016	130.1	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"6"	2017	103.7	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"7"	2018	113.3	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"8"	2019	153.6	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"9"	2020	115.3	3
"BH-00391"	9	2011	"Barthe"	903	5220	"f"	2019-07-11	237.1	"edge"	NA	68.6	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"core"	NA	NA	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"1"	2011	401.4	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"2"	2012	209.6	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"3"	2013	180.2	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"4"	2014	181.9	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"5"	2015	161.1	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"6"	2016	128.2	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"7"	2017	155.8	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"8"	2018	140.3	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"9"	2019	129.9	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"10"	2020	93.4	3
"BH-00419"	10	2010	"Peene"	958	5780	"f"	2019-07-12	366.8	"edge"	NA	69.4	3
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"core"	NA	NA	3
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"1"	2019	592.7	3
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"2"	2020	336.6	3
"BH-91045"	2	2018	"Ziese"	648	1564	"m"	2021-04-01	306.5	"edge"	NA	226.1	3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"core"	NA	NA	3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"1"	2016	421.2	3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"2"	2017	223.1	3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"3"	2018	144.5	3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"4"	2019	101.5	3
"BH-90910"	5	2015	"NHG"	604	NA	"m"	2021-04-07	373.3	"5"	2020	85.3	3
