Station	waterbody	coast/FW	ID	Lat	Long	Date	Cond_mS	Sal_PSU	WT_C	pH	Secchi_cm	O2_mg/l	O2_perc	flow	waterlevel_cm	LT_C	d18O	SD_d18O	d2H	SD_d2H	type	comment
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	21.04.2020		4.25	10.2	9	20						-5.07	0.01	-37.63	0.11	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	13.05.2020		4.5	10	9.12	15						-4.97	0.03	-36.35	0.10	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	09.06.2020		5	17.7	9.31	20						-4.34	0.06	-33.23	0.11	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	14.07.2020		5	17.2	9.11	20						-4.10	0.13	-31.88	0.30	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	18.08.2020		5.4	23.4	9.1	35						-3.77	0.36	-29.59	1.03	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	15.09.2020		5.6	17.6	8.64	25						-3.66	0.54	-29.20	1.20	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	13.10.2020		5.7	11.9	8.42	20						-4.27	0.06	-31.55	0.33	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	10.11.2020		5.65	8.6	8.48	25						-3.88	0.10	-30.36	0.15	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	08.12.2020		5.8	2.5	8.25	20						-4.23	0.36	-31.10	0.85	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	26.01.2021		5	1.7	8.26	20						-5.58	0.21	-39.65	0.36	Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	16.03.2021		4.1	4.3	8.42	20										Timeseries	
Saaler  Bodden DB16	SaB	Coast	C	54.335	12.448333	14.04.2021		3.8	6.9	8.92	15										Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	16.01.2020		6	5.5	8.02	25										Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333																Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	05.03.2020		6.25	5	8.5	25										Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	21.04.2020		7.5	10.7	8.72	35						-4.79	0.04	-37.05	0.07	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	13.05.2020		6.9	10.2	9.03	25						-4.63	0.02	-35.34	0.09	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	09.06.2020		6.9	16.3	9.11	25						-4.25	0.04	-33.36	0.11	Timeseries	
Bodstedter Bodden DB10	BoB	Coast	D	54.395	12.623333	14.07.2020		7.2	17	8.78	30						-4.63	0.01	-33.79	0.25	Timeseries	
