Station	waterbody	coast/FW	ID	Lat	Long	Date	Cond_mS	Sal_PSU	WT_C	pH	Secchi_cm	O2_mg/l	O2_perc	flow	waterlevel_cm	LT_C	d18O	SD_d18O	d2H	SD_d2H	type	comment
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	29.04.2020		10.1	13.5								-5.0	0.34	-40.1	0.6	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	13.05.2020		9.4	12.4								-5.5	0.15	-42.3	0.3	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	27.05.2020		9.6	16.9								-4.2	0.02	-38.2	0.1	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	10.06.2020		9.8	19.7								-5.0	0.26	-39.5	1.0	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	25.06.2020		9.7	24.1								-4.6	0.04	-38.0	0.2	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	13.07.2020		9.4	17.4								-4.9	0.39	-38.7	1.2	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	03.08.2020		9.5	20.6								-4.8	0.21	-38.1	0.9	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	19.08.2020		10.0	23.5								-4.4	0.04	-36.0	0.1	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	03.09.2020		9.0	18.9								-4.9	0.33	-38.4	1.1	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	18.09.2020		9.0	17.4								-4.6	0.18	-37.4	0.5	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	01.10.2020		8.9	16.0								-4.2	0.04	-37.0	0.1	Timeseries	
Hiddensee, Kloster	VB	Coast	I	54.582355	13.110588	13.10.2020		8.8	11.9								-5.0	0.06	-39.0	0.1	Timeseries	
