PN-Stellennr.	PN-Stellenbezeichnung	Probenahmedatum	Tiefeninformation	Parameter	Endergebnis	Einheit
111021001	GB10	24.08.2021 08:00	Grundnähe	Gesamt N	28.71	µmol/L
111021001	GB10	24.08.2021 08:00	Grundnähe	Gesamt P	1.22	µmol/L
111021001	GB10	24.08.2021 08:00		Gesamt P	1.22	µmol/L
111021001	GB10	24.08.2021 08:00		Gesamt N	32.47	µmol/L
112391500	RB15	26.08.2021 08:00		Gesamt N	163.06	µmol/L
112391500	RB15	26.08.2021 08:00		Gesamt P	3.49	µmol/L
112391500	RB15	22.07.2021 08:00		Gesamt N	168.37	µmol/L
112391500	RB15	22.07.2021 08:00		Gesamt P	3.66	µmol/L
112391500	RB15	21.06.2021 08:00		Gesamt P	4.06	µmol/L
112391500	RB15	21.06.2021 08:00		Gesamt N	148.78	µmol/L
112391500	RB15	20.05.2021 08:00		Gesamt N	150.74	µmol/L
112391500	RB15	20.05.2021 08:00		Gesamt P	2.26	µmol/L
112391500	RB15	15.04.2021 08:00		Gesamt N	141.36	µmol/L
112391500	RB15	15.04.2021 08:00		Gesamt P	2.82	µmol/L
112391500	RB15	29.03.2021 08:00		Gesamt N	152.82	µmol/L
112391500	RB15	29.03.2021 08:00		Gesamt P	2.78	µmol/L
112391500	RB15	25.02.2021 08:00		Gesamt P	2.45	µmol/L
112391500	RB15	25.02.2021 08:00		Gesamt N	166.02	µmol/L
112391500	RB15	18.01.2021 08:00		Gesamt N	129.01	µmol/L
112391500	RB15	18.01.2021 08:00		Gesamt P	1.98	µmol/L
112190202	RB2	19.07.2021 08:00		Gesamt N	40.07	µmol/L
112190202	RB2	19.07.2021 08:00		Gesamt P	1.11	µmol/L
112400185	RB1	19.07.2021 08:00		Gesamt P	1.14	µmol/L
112400185	RB1	19.07.2021 08:00		Gesamt N	52	µmol/L
112190202	RB2	07.06.2021 08:00		Gesamt N	57.36	µmol/L
112190202	RB2	07.06.2021 08:00		Gesamt P	1.47	µmol/L
112400185	RB1	07.06.2021 08:00		Gesamt P	1.49	µmol/L
112400185	RB1	07.06.2021 08:00		Gesamt N	60.22	µmol/L
112190202	RB2	17.05.2021 08:00		Gesamt P	1.17	µmol/L
112190202	RB2	17.05.2021 08:00		Gesamt N	40.14	µmol/L
112400185	RB1	17.05.2021 08:00		Gesamt N	41.5	µmol/L
112400185	RB1	17.05.2021 08:00		Gesamt P	1.27	µmol/L
112190202	RB2	26.04.2021 08:00		Gesamt P	0.42	µmol/L
112190202	RB2	26.04.2021 08:00		Gesamt N	21.32	µmol/L
112400185	RB1	26.04.2021 08:00		Gesamt N	24.67	µmol/L
112400185	RB1	26.04.2021 08:00		Gesamt P	0.45	µmol/L
112190202	RB2	22.03.2021 08:00		Gesamt N	40.34	µmol/L
112190202	RB2	22.03.2021 08:00		Gesamt P	0.55	µmol/L
112400185	RB1	22.03.2021 08:00		Gesamt P	0.4	µmol/L
112400185	RB1	22.03.2021 08:00		Gesamt N	27.51	µmol/L
112190202	RB2	27.01.2021 08:00		Gesamt N	51.93	µmol/L
112190202	RB2	27.01.2021 08:00		Gesamt P	0.91	µmol/L
112400185	RB1	27.01.2021 08:00		Gesamt P	0.73	µmol/L
112400185	RB1	27.01.2021 08:00		Gesamt N	38.3	µmol/L
111034806	P48	20.07.2021 08:00		Gesamt P	3.56	µmol/L
111034806	P48	20.07.2021 08:00		Gesamt N	81.74	µmol/L
111034208	P42	20.07.2021 08:00	Grundnähe	Gesamt P	3.21	µmol/L
111034208	P42	20.07.2021 08:00	Grundnähe	Gesamt N	73.64	µmol/L
111034208	P42	20.07.2021 08:00		Gesamt P	3.03	µmol/L
111034208	P42	20.07.2021 08:00		Gesamt N	68.51	µmol/L
111032085	P20	20.07.2021 08:00	Grundnähe	Gesamt P	3.21	µmol/L
111032085	P20	20.07.2021 08:00	Grundnähe	Gesamt N	60.94	µmol/L
111032085	P20	20.07.2021 08:00		Gesamt P	3.03	µmol/L
111032085	P20	20.07.2021 08:00		Gesamt N	57.38	µmol/L
111030108	AW1	20.07.2021 08:00		Gesamt P	3.58	µmol/L
111030108	AW1	20.07.2021 08:00		Gesamt N	86.05	µmol/L
111034806	P48	08.06.2021 08:00		Gesamt P	1.5	µmol/L
111034806	P48	08.06.2021 08:00		Gesamt N	81.88	µmol/L
111034208	P42	08.06.2021 08:00	Grundnähe	Gesamt P	1.58	µmol/L
111034208	P42	08.06.2021 08:00	Grundnähe	Gesamt N	75.02	µmol/L
111034208	P42	08.06.2021 08:00		Gesamt P	1.83	µmol/L
111034208	P42	08.06.2021 08:00		Gesamt N	79.75	µmol/L
111032085	P20	08.06.2021 08:00	Grundnähe	Gesamt P	1.99	µmol/L
111032085	P20	08.06.2021 08:00	Grundnähe	Gesamt N	63.48	µmol/L
111032085	P20	08.06.2021 08:00		Gesamt P	1.11	µmol/L
111032085	P20	08.06.2021 08:00		Gesamt N	82.35	µmol/L
111030108	AW1	08.06.2021 08:00		Gesamt P	0.7	µmol/L
111030108	AW1	08.06.2021 08:00		Gesamt N	84.14	µmol/L
111034806	P48	19.05.2021 08:00		Gesamt N	75.26	µmol/L
111034806	P48	19.05.2021 08:00		Gesamt P	1.74	µmol/L
111034208	P42	19.05.2021 08:00	Grundnähe	Gesamt N	78.02	µmol/L
111034208	P42	19.05.2021 08:00	Grundnähe	Gesamt P	2.41	µmol/L
111034208	P42	19.05.2021 08:00		Gesamt P	2.42	µmol/L
111034208	P42	19.05.2021 08:00		Gesamt N	73.82	µmol/L
111032085	P20	19.05.2021 08:00	Grundnähe	Gesamt P	2.04	µmol/L
111032085	P20	19.05.2021 08:00	Grundnähe	Gesamt N	51.56	µmol/L
111032085	P20	19.05.2021 08:00		Gesamt N	70.75	µmol/L
111032085	P20	19.05.2021 08:00		Gesamt P	2.22	µmol/L
111030108	AW1	19.05.2021 08:00		Gesamt N	73.2	µmol/L
111030108	AW1	19.05.2021 08:00		Gesamt P	1.68	µmol/L
111034806	P48	27.04.2021 08:00		Gesamt P	2.21	µmol/L
111034806	P48	27.04.2021 08:00		Gesamt N	75.59	µmol/L
111034208	P42	27.04.2021 08:00	Grundnähe	Gesamt P	1.82	µmol/L
111034208	P42	27.04.2021 08:00	Grundnähe	Gesamt N	68.09	µmol/L
111034208	P42	27.04.2021 08:00		Gesamt P	1.7	µmol/L
111034208	P42	27.04.2021 08:00		Gesamt N	71.18	µmol/L
111032085	P20	27.04.2021 08:00	Grundnähe	Gesamt P	1.77	µmol/L
111032085	P20	27.04.2021 08:00	Grundnähe	Gesamt N	62.97	µmol/L
111032085	P20	27.04.2021 08:00		Gesamt P	1.64	µmol/L
111032085	P20	27.04.2021 08:00		Gesamt N	71.65	µmol/L
111030108	AW1	27.04.2021 08:00		Gesamt P	2.32	µmol/L
111030108	AW1	27.04.2021 08:00		Gesamt N	76.41	µmol/L
111034806	P48	23.03.2021 08:00		Gesamt P	1.4	µmol/L
111034806	P48	23.03.2021 08:00		Gesamt N	131.72	µmol/L
111034208	P42	23.03.2021 08:00	Grundnähe	Gesamt P	1.46	µmol/L
111034208	P42	23.03.2021 08:00	Grundnähe	Gesamt N	124.01	µmol/L
111034208	P42	23.03.2021 08:00		Gesamt P	1.41	µmol/L
111034208	P42	23.03.2021 08:00		Gesamt N	117.32	µmol/L
111032085	P20	23.03.2021 08:00	Grundnähe	Gesamt P	1.37	µmol/L
111032085	P20	23.03.2021 08:00	Grundnähe	Gesamt N	100.27	µmol/L
111032085	P20	23.03.2021 08:00		Gesamt P	1.11	µmol/L
111032085	P20	23.03.2021 08:00		Gesamt N	97.87	µmol/L
111030108	AW1	23.03.2021 08:00		Gesamt P	1.24	µmol/L
111030108	AW1	23.03.2021 08:00		Gesamt N	111.75	µmol/L
111034806	P48	26.01.2021 08:00		Gesamt P	1.81	µmol/L
111034806	P48	26.01.2021 08:00		Gesamt N	138.38	µmol/L
111034208	P42	26.01.2021 08:00	Grundnähe	Gesamt P	1.31	µmol/L
111034208	P42	26.01.2021 08:00	Grundnähe	Gesamt N	77.84	µmol/L
111034208	P42	26.01.2021 08:00		Gesamt P	1.23	µmol/L
111034208	P42	26.01.2021 08:00		Gesamt N	75.46	µmol/L
111032085	P20	26.01.2021 08:00	Grundnähe	Gesamt P	1.13	µmol/L
111032085	P20	26.01.2021 08:00	Grundnähe	Gesamt N	56.99	µmol/L
111032085	P20	26.01.2021 08:00		Gesamt P	1.07	µmol/L
111032085	P20	26.01.2021 08:00		Gesamt N	55.19	µmol/L
111030108	AW1	26.01.2021 08:00		Gesamt P	1.96	µmol/L
111030108	AW1	26.01.2021 08:00		Gesamt N	138.05	µmol/L
109016609	S66	25.08.2021 08:00		Gesamt N	59.36	µmol/L
109016609	S66	25.08.2021 08:00		Gesamt P	2.99	µmol/L
109016609	S66	15.07.2021 08:00		Gesamt N	49.48	µmol/L
109016609	S66	15.07.2021 08:00		Gesamt P	2.47	µmol/L
109016609	S66	12.05.2021 08:00		Gesamt P	1.65	µmol/L
109016609	S66	12.05.2021 08:00		Gesamt N	45.26	µmol/L
109016609	S66	25.03.2021 08:00		Gesamt P	0.97	µmol/L
109016609	S66	25.03.2021 08:00		Gesamt N	51.36	µmol/L
109016609	S66	08.04.2021 08:00		Gesamt N	38.03	µmol/L
109016609	S66	08.04.2021 08:00		Gesamt P	1.32	µmol/L
109016609	S66	14.01.2021 08:00		Gesamt N	49.68	µmol/L
109016609	S66	14.01.2021 08:00		Gesamt P	1.16	µmol/L
112391004	RB10	20.07.2021 08:00	Grundnähe	Gesamt N	64.46	µmol/L
112391004	RB10	20.07.2021 08:00	Grundnähe	Gesamt P	1.99	µmol/L
112391004	RB10	20.07.2021 08:00		Gesamt P	1.95	µmol/L
112391004	RB10	20.07.2021 08:00		Gesamt N	66.59	µmol/L
112390909	RB9	20.07.2021 08:00	Grundnähe	Gesamt P	2.01	µmol/L
112390909	RB9	20.07.2021 08:00	Grundnähe	Gesamt N	69.72	µmol/L
112390909	RB9	20.07.2021 08:00		Gesamt P	2	µmol/L
112390909	RB9	20.07.2021 08:00		Gesamt N	70.9	µmol/L
112280603	RB6	20.07.2021 08:00		Gesamt P	2.26	µmol/L
112280603	RB6	20.07.2021 08:00		Gesamt N	67.24	µmol/L
112391004	RB10	04.05.2021 08:00	Grundnähe	Gesamt N	54.21	µmol/L
112391004	RB10	04.05.2021 08:00	Grundnähe	Gesamt P	1.26	µmol/L
112391004	RB10	04.05.2021 08:00		Gesamt P	1.09	µmol/L
112391004	RB10	04.05.2021 08:00		Gesamt N	52.49	µmol/L
112390909	RB9	04.05.2021 08:00	Grundnähe	Gesamt P	1.58	µmol/L
112390909	RB9	04.05.2021 08:00	Grundnähe	Gesamt N	60.09	µmol/L
112390909	RB9	04.05.2021 08:00		Gesamt P	1.19	µmol/L
112390909	RB9	04.05.2021 08:00		Gesamt N	54.74	µmol/L
112280603	RB6	04.05.2021 08:00		Gesamt P	1.03	µmol/L
112280603	RB6	04.05.2021 08:00		Gesamt N	45.02	µmol/L
112391004	RB10	20.04.2021 08:00	Grundnähe	Gesamt N	55.87	µmol/L
112391004	RB10	20.04.2021 08:00	Grundnähe	Gesamt P	1.41	µmol/L
112391004	RB10	20.04.2021 08:00		Gesamt P	1.01	µmol/L
112391004	RB10	20.04.2021 08:00		Gesamt N	48.45	µmol/L
112390909	RB9	20.04.2021 08:00	Grundnähe	Gesamt P	1.3	µmol/L
112390909	RB9	20.04.2021 08:00	Grundnähe	Gesamt N	49.24	µmol/L
112390909	RB9	20.04.2021 08:00		Gesamt P	0.94	µmol/L
112390909	RB9	20.04.2021 08:00		Gesamt N	48.2	µmol/L
112280603	RB6	20.04.2021 08:00		Gesamt P	0.82	µmol/L
112280603	RB6	20.04.2021 08:00		Gesamt N	32.12	µmol/L
112391004	RB10	30.03.2021 08:00	Grundnähe	Gesamt N	56.71	µmol/L
112391004	RB10	30.03.2021 08:00	Grundnähe	Gesamt P	0.86	µmol/L
112391004	RB10	30.03.2021 08:00		Gesamt P	0.97	µmol/L
112391004	RB10	30.03.2021 08:00		Gesamt N	58.21	µmol/L
112390909	RB9	30.03.2021 08:00	Grundnähe	Gesamt P	0.9	µmol/L
112390909	RB9	30.03.2021 08:00	Grundnähe	Gesamt N	57.97	µmol/L
112390909	RB9	30.03.2021 08:00		Gesamt P	0.88	µmol/L
112390909	RB9	30.03.2021 08:00		Gesamt N	54.69	µmol/L
112280603	RB6	30.03.2021 08:00		Gesamt P	0.81	µmol/L
112280603	RB6	30.03.2021 08:00		Gesamt N	43.53	µmol/L
112190309	RB3	19.07.2021 08:00	Grundnähe	Gesamt N	36.36	µmol/L
112190309	RB3	19.07.2021 08:00	Grundnähe	Gesamt P	1.37	µmol/L
112190309	RB3	19.07.2021 08:00		Gesamt P	1.26	µmol/L
112190309	RB3	19.07.2021 08:00		Gesamt N	32.52	µmol/L
112190309	RB3	03.05.2021 08:00	Grundnähe	Gesamt N	24.23	µmol/L
112190309	RB3	03.05.2021 08:00	Grundnähe	Gesamt P	0.66	µmol/L
112190309	RB3	03.05.2021 08:00		Gesamt P	0.53	µmol/L
112190309	RB3	03.05.2021 08:00		Gesamt N	24.83	µmol/L
112190309	RB3	19.04.2021 08:00	Grundnähe	Gesamt N	26.25	µmol/L
112190309	RB3	19.04.2021 08:00	Grundnähe	Gesamt P	0.59	µmol/L
112190309	RB3	19.04.2021 08:00		Gesamt P	0.7	µmol/L
112190309	RB3	19.04.2021 08:00		Gesamt N	22.75	µmol/L
112190309	RB3	29.03.2021 08:00	Grundnähe	Gesamt N	31.64	µmol/L
112190309	RB3	29.03.2021 08:00	Grundnähe	Gesamt P	0.65	µmol/L
112190309	RB3	29.03.2021 08:00		Gesamt P	0.76	µmol/L
112190309	RB3	29.03.2021 08:00		Gesamt N	33.34	µmol/L
103070503	GS	19.04.2021 08:00		Gesamt N	13.36	µmol/L
103070503	GS	19.04.2021 08:00		Gesamt P	0.76	µmol/L
103070503	GS	29.03.2021 08:00	Grundnähe	Gesamt N	22.06	µmol/L
103070503	GS	29.03.2021 08:00	Grundnähe	Gesamt P	0.61	µmol/L
103070503	GS	29.03.2021 08:00		Gesamt P	0.52	µmol/L
103070503	GS	29.03.2021 08:00		Gesamt N	21.74	µmol/L
105010701	GB7	13.07.2021 00:00	Grundnähe	Gesamt N	35.71	µmol/L
105010701	GB7	13.07.2021 00:00	Grundnähe	Gesamt P	2.35	µmol/L
105010701	GB7	13.07.2021 00:00		Gesamt P	2.23	µmol/L
105010701	GB7	13.07.2021 00:00		Gesamt N	38.57	µmol/L
105010306	GB3	13.07.2021 00:00	Grundnähe	Gesamt P	2.71	µmol/L
105010306	GB3	13.07.2021 00:00	Grundnähe	Gesamt N	39.77	µmol/L
105010306	GB3	13.07.2021 00:00		Gesamt N	39.56	µmol/L
105010306	GB3	13.07.2021 00:00		Gesamt P	2.57	µmol/L
105010285	GB2	13.07.2021 00:00	Grundnähe	Gesamt P	2.23	µmol/L
105010285	GB2	13.07.2021 00:00	Grundnähe	Gesamt N	36.55	µmol/L
105010285	GB2	13.07.2021 00:00		Gesamt N	35.49	µmol/L
105010285	GB2	13.07.2021 00:00		Gesamt P	2	µmol/L
105010701	GB7	10.05.2021 08:00	Grundnähe	Gesamt N	28.12	µmol/L
105010701	GB7	10.05.2021 08:00	Grundnähe	Gesamt P	0.77	µmol/L
105010701	GB7	10.05.2021 08:00		Gesamt P	0.65	µmol/L
105010701	GB7	10.05.2021 08:00		Gesamt N	27.05	µmol/L
105010306	GB3	10.05.2021 08:00	Grundnähe	Gesamt P	0.71	µmol/L
105010306	GB3	10.05.2021 08:00	Grundnähe	Gesamt N	28.26	µmol/L
105010306	GB3	10.05.2021 08:00		Gesamt P	0.71	µmol/L
105010306	GB3	10.05.2021 08:00		Gesamt N	27.66	µmol/L
105010285	GB2	10.05.2021 08:00	Grundnähe	Gesamt P	0.7	µmol/L
105010285	GB2	10.05.2021 08:00	Grundnähe	Gesamt N	28.78	µmol/L
105010285	GB2	10.05.2021 08:00		Gesamt P	0.72	µmol/L
105010285	GB2	10.05.2021 08:00		Gesamt N	28.94	µmol/L
105010701	GB7	08.04.2021 08:00	Grundnähe	Gesamt N	39.19	µmol/L
105010701	GB7	08.04.2021 08:00	Grundnähe	Gesamt P	1.18	µmol/L
105010701	GB7	08.04.2021 08:00		Gesamt N	39.42	µmol/L
105010701	GB7	08.04.2021 08:00		Gesamt P	1.45	µmol/L
105010306	GB3	06.04.2021 08:00	Grundnähe	Gesamt N	40.93	µmol/L
105010306	GB3	06.04.2021 08:00	Grundnähe	Gesamt P	0.83	µmol/L
105010306	GB3	06.04.2021 08:00		Gesamt N	39.27	µmol/L
105010306	GB3	06.04.2021 08:00		Gesamt P	0.76	µmol/L
105010285	GB2	06.04.2021 08:00	Grundnähe	Gesamt P	1.38	µmol/L
105010285	GB2	06.04.2021 08:00	Grundnähe	Gesamt N	39.64	µmol/L
105010285	GB2	06.04.2021 08:00		Gesamt N	39.48	µmol/L
105010285	GB2	06.04.2021 08:00		Gesamt P	1.17	µmol/L
105010306	GB3	25.03.2021 08:00	Grundnähe	Gesamt N	43.76	µmol/L
105010306	GB3	25.03.2021 08:00	Grundnähe	Gesamt P	0.65	µmol/L
105010306	GB3	25.03.2021 08:00		Gesamt P	0.67	µmol/L
105010306	GB3	25.03.2021 08:00		Gesamt N	40.35	µmol/L
105010701	GB7	23.03.2021 08:00	Grundnähe	Gesamt N	33.05	µmol/L
105010701	GB7	23.03.2021 08:00	Grundnähe	Gesamt P	0.66	µmol/L
105010701	GB7	23.03.2021 08:00		Gesamt P	0.86	µmol/L
105010701	GB7	23.03.2021 08:00		Gesamt N	33.74	µmol/L
105010285	GB2	23.03.2021 08:00	Grundnähe	Gesamt P	0.58	µmol/L
105010285	GB2	23.03.2021 08:00	Grundnähe	Gesamt N	31.03	µmol/L
105010285	GB2	23.03.2021 08:00		Gesamt P	0.63	µmol/L
105010285	GB2	23.03.2021 08:00		Gesamt N	31.15	µmol/L
105010701	GB7	13.01.2021 08:00	Grundnähe	Gesamt N	47.75	µmol/L
105010701	GB7	13.01.2021 08:00	Grundnähe	Gesamt P	1.31	µmol/L
105010701	GB7	13.01.2021 08:00		Gesamt P	1.42	µmol/L
105010701	GB7	13.01.2021 08:00		Gesamt N	46.26	µmol/L
105010306	GB3	13.01.2021 08:00	Grundnähe	Gesamt P	0.99	µmol/L
105010306	GB3	13.01.2021 08:00	Grundnähe	Gesamt N	43.6	µmol/L
105010306	GB3	13.01.2021 08:00		Gesamt N	43.37	µmol/L
105010306	GB3	13.01.2021 08:00		Gesamt P	0.99	µmol/L
105010285	GB2	13.01.2021 08:00	Grundnähe	Gesamt P	1.57	µmol/L
105010285	GB2	13.01.2021 08:00	Grundnähe	Gesamt N	54.88	µmol/L
105010285	GB2	13.01.2021 08:00		Gesamt N	43.45	µmol/L
105010285	GB2	13.01.2021 08:00		Gesamt P	1.18	µmol/L
105011907	GB19	25.08.2021 08:00	Grundnähe	Gesamt N	34.3	µmol/L
105011907	GB19	25.08.2021 08:00	Grundnähe	Gesamt P	1.61	µmol/L
105011907	GB19	25.08.2021 08:00		Gesamt P	1.54	µmol/L
105011907	GB19	25.08.2021 08:00		Gesamt N	35.7	µmol/L
105011907	GB19	15.07.2021 08:00	Grundnähe	Gesamt N	34.96	µmol/L
105011907	GB19	15.07.2021 08:00	Grundnähe	Gesamt P	2.5	µmol/L
105011907	GB19	15.07.2021 08:00		Gesamt P	2.19	µmol/L
105011907	GB19	15.07.2021 08:00		Gesamt N	34.66	µmol/L
105011907	GB19	12.05.2021 08:00	Grundnähe	Gesamt N	27.21	µmol/L
105011907	GB19	12.05.2021 08:00	Grundnähe	Gesamt P	0.64	µmol/L
105011907	GB19	12.05.2021 08:00		Gesamt N	27.27	µmol/L
105011907	GB19	12.05.2021 08:00		Gesamt P	0.62	µmol/L
105011907	GB19	08.04.2021 08:00	Grundnähe	Gesamt N	39.54	µmol/L
105011907	GB19	08.04.2021 08:00	Grundnähe	Gesamt P	0.71	µmol/L
105011907	GB19	08.04.2021 08:00		Gesamt P	0.82	µmol/L
105011907	GB19	08.04.2021 08:00		Gesamt N	39.54	µmol/L
105011907	GB19	23.03.2021 08:00	Grundnähe	Gesamt P	0.99	µmol/L
105011907	GB19	23.03.2021 08:00	Grundnähe	Gesamt N	35.84	µmol/L
105011907	GB19	23.03.2021 08:00		Gesamt P	0.67	µmol/L
105011907	GB19	23.03.2021 08:00		Gesamt N	38.59	µmol/L
105011907	GB19	14.01.2021 08:00	Grundnähe	Gesamt N	49.94	µmol/L
105011907	GB19	14.01.2021 08:00	Grundnähe	Gesamt P	1.65	µmol/L
105011907	GB19	14.01.2021 08:00		Gesamt P	1.58	µmol/L
105011907	GB19	14.01.2021 08:00		Gesamt N	52.4	µmol/L
111021001	GB10	14.07.2021 08:00	Grundnähe	Gesamt P	1.38	µmol/L
111021001	GB10	14.07.2021 08:00	Grundnähe	Gesamt N	33.45	µmol/L
111021001	GB10	14.07.2021 08:00		Gesamt P	1.41	µmol/L
111021001	GB10	14.07.2021 08:00		Gesamt N	36.74	µmol/L
111021001	GB10	11.05.2021 08:00	Grundnähe	Gesamt N	29.75	µmol/L
111021001	GB10	11.05.2021 08:00	Grundnähe	Gesamt P	0.68	µmol/L
111021001	GB10	11.05.2021 08:00		Gesamt N	33.12	µmol/L
111021001	GB10	11.05.2021 08:00		Gesamt P	0.76	µmol/L
111021001	GB10	07.04.2021 08:00	Grundnähe	Gesamt N	37.59	µmol/L
111021001	GB10	07.04.2021 08:00	Grundnähe	Gesamt P	0.92	µmol/L
111021001	GB10	07.04.2021 08:00		Gesamt P	1.02	µmol/L
111021001	GB10	07.04.2021 08:00		Gesamt N	39.91	µmol/L
111021001	GB10	24.03.2021 08:00	Grundnähe	Gesamt N	40.83	µmol/L
111021001	GB10	24.03.2021 08:00	Grundnähe	Gesamt P	0.75	µmol/L
111021001	GB10	24.03.2021 08:00		Gesamt P	0.98	µmol/L
111021001	GB10	24.03.2021 08:00		Gesamt N	67.11	µmol/L
111021001	GB10	13.01.2021 08:00	Grundnähe	Gesamt P	1.22	µmol/L
111021001	GB10	13.01.2021 08:00	Grundnähe	Gesamt N	54.82	µmol/L
111021001	GB10	13.01.2021 08:00		Gesamt P	1.32	µmol/L
111021001	GB10	13.01.2021 08:00		Gesamt N	62.88	µmol/L
111071308	O133	14.07.2021 08:00	Grundnähe	Gesamt P	1.65	µmol/L
111071308	O133	14.07.2021 08:00	Grundnähe	Gesamt N	33.1	µmol/L
111071308	O133	14.07.2021 08:00		Gesamt P	0.87	µmol/L
111071308	O133	14.07.2021 08:00		Gesamt N	28.9	µmol/L
111071308	O133	11.05.2021 08:00	Grundnähe	Gesamt P	0.55	µmol/L
111071308	O133	11.05.2021 08:00	Grundnähe	Gesamt N	20.32	µmol/L
111071308	O133	11.05.2021 08:00		Gesamt P	0.43	µmol/L
111071308	O133	11.05.2021 08:00		Gesamt N	28.37	µmol/L
111071308	O133	07.04.2021 08:00	Grundnähe	Gesamt P	0.63	µmol/L
111071308	O133	07.04.2021 08:00	Grundnähe	Gesamt N	25.67	µmol/L
111071308	O133	07.04.2021 08:00		Gesamt P	0.66	µmol/L
111071308	O133	07.04.2021 08:00		Gesamt N	31.99	µmol/L
103051606	DB16	06.07.2021 08:00		Gesamt P	4.52	µmol/L
103051606	DB16	06.07.2021 08:00		Gesamt N	236.59	µmol/L
103051008	DB10	06.07.2021 08:00	Grundnähe	Gesamt N	172.44	µmol/L
103051008	DB10	06.07.2021 08:00	Grundnähe	Gesamt P	4.37	µmol/L
103051008	DB10	06.07.2021 08:00		Gesamt P	4.13	µmol/L
103051008	DB10	06.07.2021 08:00		Gesamt N	166.71	µmol/L
103051606	DB16	09.06.2021 08:00		Gesamt N	240.58	µmol/L
103051606	DB16	09.06.2021 08:00		Gesamt P	5.27	µmol/L
103051008	DB10	09.06.2021 08:00	Grundnähe	Gesamt P	4.79	µmol/L
103051008	DB10	09.06.2021 08:00	Grundnähe	Gesamt N	187.82	µmol/L
103051008	DB10	09.06.2021 08:00		Gesamt P	4.44	µmol/L
103051008	DB10	09.06.2021 08:00		Gesamt N	184.04	µmol/L
103051606	DB16	11.05.2021 08:00		Gesamt P	5.35	µmol/L
103051606	DB16	11.05.2021 08:00		Gesamt N	302.39	µmol/L
103051008	DB10	11.05.2021 08:00	Grundnähe	Gesamt P	4.65	µmol/L
103051008	DB10	11.05.2021 08:00	Grundnähe	Gesamt N	205.61	µmol/L
103051008	DB10	11.05.2021 08:00		Gesamt P	4.71	µmol/L
103051008	DB10	11.05.2021 08:00		Gesamt N	215.93	µmol/L
103051606	DB16	14.04.2021 08:00		Gesamt P	4.75	µmol/L
103051606	DB16	14.04.2021 08:00		Gesamt N	262.54	µmol/L
103051008	DB10	14.04.2021 08:00	Grundnähe	Gesamt P	4.19	µmol/L
103051008	DB10	14.04.2021 08:00	Grundnähe	Gesamt N	214.45	µmol/L
103051008	DB10	14.04.2021 08:00		Gesamt P	4.31	µmol/L
103051008	DB10	14.04.2021 08:00		Gesamt N	220.91	µmol/L
111071308	O133	24.03.2021 08:00	Grundnähe	Gesamt P	0.83	µmol/L
111071308	O133	24.03.2021 08:00	Grundnähe	Gesamt N	27.72	µmol/L
111071308	O133	24.03.2021 08:00		Gesamt P	0.65	µmol/L
111071308	O133	24.03.2021 08:00		Gesamt N	39.15	µmol/L
103051606	DB16	16.03.2021 08:00		Gesamt N	271.61	µmol/L
103051606	DB16	16.03.2021 08:00		Gesamt P	4.61	µmol/L
103051008	DB10	16.03.2021 08:00	Grundnähe	Gesamt P	4.03	µmol/L
103051008	DB10	16.03.2021 08:00	Grundnähe	Gesamt N	223.91	µmol/L
103051008	DB10	16.03.2021 08:00		Gesamt P	4.05	µmol/L
103051008	DB10	16.03.2021 08:00		Gesamt N	225.52	µmol/L
103051606	DB16	26.01.2021 08:00		Gesamt N	199.57	µmol/L
103051606	DB16	26.01.2021 08:00		Gesamt P	3.62	µmol/L
103051008	DB10	26.01.2021 08:00	Grundnähe	Gesamt P	3.31	µmol/L
103051008	DB10	26.01.2021 08:00	Grundnähe	Gesamt N	158.93	µmol/L
103051008	DB10	26.01.2021 08:00		Gesamt P	3.3	µmol/L
103051008	DB10	26.01.2021 08:00		Gesamt N	174.03	µmol/L
103050603	DB6	06.09.2021 08:00		Gesamt N	102.65	µmol/L
103050603	DB6	06.09.2021 08:00		Gesamt P	2.13	µmol/L
103050208	DB2	06.09.2021 08:00		Gesamt P	1.39	µmol/L
103050208	DB2	06.09.2021 08:00		Gesamt N	66.68	µmol/L
103050101	DB1	06.09.2021 08:00		Gesamt P	1.35	µmol/L
103050101	DB1	06.09.2021 08:00		Gesamt N	65.85	µmol/L
103050603	DB6	05.07.2021 08:00		Gesamt N	147.07	µmol/L
103050603	DB6	05.07.2021 08:00		Gesamt P	4.22	µmol/L
103050208	DB2	05.07.2021 08:00		Gesamt P	3.15	µmol/L
103050208	DB2	05.07.2021 08:00		Gesamt N	91.75	µmol/L
103050101	DB1	05.07.2021 08:00		Gesamt P	3.47	µmol/L
103050101	DB1	05.07.2021 08:00		Gesamt N	83.15	µmol/L
103059085	KB90	19.07.2021 08:00	Grundnähe	Gesamt P	1.46	µmol/L
103059085	KB90	19.07.2021 08:00	Grundnähe	Gesamt N	37.14	µmol/L
103059085	KB90	19.07.2021 08:00		Gesamt P	1.43	µmol/L
103059085	KB90	19.07.2021 08:00		Gesamt N	40.22	µmol/L
103059085	KB90	03.05.2021 08:00	Grundnähe	Gesamt P	1.48	µmol/L
103059085	KB90	03.05.2021 08:00	Grundnähe	Gesamt N	42.27	µmol/L
103059085	KB90	03.05.2021 08:00		Gesamt P	1.21	µmol/L
