name,id,waterbody,month,year,identifier,Lat,Long,type,turbidity,SAL,WT
KHJ,0313040702,Stettiner Haff,8,1995,8_1995,53.80667,14.235001,Coast,,1,22
KHJ,0313040702,Stettiner Haff,9,1995,9_1995,53.80667,14.235001,Coast,,2.1,17.5
KHJ,0313040702,Stettiner Haff,10,1995,10_1995,53.80667,14.235001,Coast,,1.6,14.1
KHJ,0313040702,Stettiner Haff,11,1995,11_1995,53.80667,14.235001,Coast,,2.9,6.5
KHJ,0313040702,Stettiner Haff,5,1996,5_1996,53.80667,14.235001,Coast,,0.8,13
KHJ,0313040702,Stettiner Haff,6,1996,6_1996,53.80667,14.235001,Coast,,1,15.7
KHJ,0313040702,Stettiner Haff,7,1996,7_1996,53.80667,14.235001,Coast,,0.6,15.3
KHJ,0313040702,Stettiner Haff,8,1996,8_1996,53.80667,14.235001,Coast,,0.6,19.9
KHJ,0313040702,Stettiner Haff,10,1996,10_1996,53.80667,14.235001,Coast,,0.8,11.9
KHJ,0313040702,Stettiner Haff,11,1996,11_1996,53.80667,14.235001,Coast,,1.1,7.6
KHJ,0313040702,Stettiner Haff,2,1997,2_1997,53.80667,14.235001,Coast,,2.2,2.2
KHJ,0313040702,Stettiner Haff,3,1997,3_1997,53.80667,14.235001,Coast,,2.4,6.5
KHJ,0313040702,Stettiner Haff,4,1997,4_1997,53.80667,14.235001,Coast,,2,5.5
KHJ,0313040702,Stettiner Haff,5,1997,5_1997,53.80667,14.235001,Coast,,1.7,15.5
KHJ,0313040702,Stettiner Haff,6,1997,6_1997,53.80667,14.235001,Coast,,1.7,15.6
KHJ,0313040702,Stettiner Haff,7,1997,7_1997,53.80667,14.235001,Coast,,1.3,21.8
KHJ,0313040702,Stettiner Haff,7,1997,7_1997,53.80667,14.235001,Coast,,1,21.6
KHJ,0313040702,Stettiner Haff,7,1997,7_1997,53.80667,14.235001,Coast,,0.5,21.5
KHJ,0313040702,Stettiner Haff,8,1997,8_1997,53.80667,14.235001,Coast,,0.5,20.6
KHJ,0313040702,Stettiner Haff,8,1997,8_1997,53.80667,14.235001,Coast,,0.1,21.6
KHJ,0313040702,Stettiner Haff,8,1997,8_1997,53.80667,14.235001,Coast,,0.2,22
KHJ,0313040702,Stettiner Haff,8,1997,8_1997,53.80667,14.235001,Coast,,0.3,21.9
KHJ,0313040702,Stettiner Haff,8,1997,8_1997,53.80667,14.235001,Coast,,0.3,24.2
KHJ,0313040702,Stettiner Haff,8,1997,8_1997,53.80667,14.235001,Coast,,0.3,23.7
KHJ,0313040702,Stettiner Haff,9,1997,9_1997,53.80667,14.235001,Coast,,0.4,21.4
KHJ,0313040702,Stettiner Haff,11,1997,11_1997,53.80667,14.235001,Coast,,1,4
KHJ,0313040702,Stettiner Haff,12,1997,12_1997,53.80667,14.235001,Coast,,1.3,3.3
KHJ,0313040702,Stettiner Haff,1,1998,1_1998,53.80667,14.235001,Coast,,1.3,3.2
KHJ,0313040702,Stettiner Haff,2,1998,2_1998,53.80667,14.235001,Coast,,1.5,6.1
KHJ,0313040702,Stettiner Haff,3,1998,3_1998,53.80667,14.235001,Coast,,1.4,5.9
KHJ,0313040702,Stettiner Haff,4,1998,4_1998,53.80667,14.235001,Coast,,0.8,9.9
KHJ,0313040702,Stettiner Haff,5,1998,5_1998,53.80667,14.235001,Coast,,0.8,15
KHJ,0313040702,Stettiner Haff,6,1998,6_1998,53.80667,14.235001,Coast,,1.1,18.4
KHJ,0313040702,Stettiner Haff,7,1998,7_1998,53.80667,14.235001,Coast,,1.1,19.8
KHJ,0313040702,Stettiner Haff,8,1998,8_1998,53.80667,14.235001,Coast,,1,18.4
KHJ,0313040702,Stettiner Haff,9,1998,9_1998,53.80667,14.235001,Coast,,1,18
KHJ,0313040702,Stettiner Haff,10,1998,10_1998,53.80667,14.235001,Coast,,1,9.4
KHJ,0313040702,Stettiner Haff,11,1998,11_1998,53.80667,14.235001,Coast,,1.2,5.3
KHJ,0313040702,Stettiner Haff,1,1999,1_1999,53.80667,14.235001,Coast,,1.4,2.4
KHJ,0313040702,Stettiner Haff,2,1999,2_1999,53.80667,14.235001,Coast,,1.5,0.6
KHJ,0313040702,Stettiner Haff,3,1999,3_1999,53.80667,14.235001,Coast,,1,3.3
KHJ,0313040702,Stettiner Haff,4,1999,4_1999,53.80667,14.235001,Coast,,0.7,9.3
KHJ,0313040702,Stettiner Haff,5,1999,5_1999,53.80667,14.235001,Coast,,0.3,14.8
KHJ,0313040702,Stettiner Haff,6,1999,6_1999,53.80667,14.235001,Coast,,0.6,19
KHJ,0313040702,Stettiner Haff,7,1999,7_1999,53.80667,14.235001,Coast,,0.4,23.3
KHJ,0313040702,Stettiner Haff,8,1999,8_1999,53.80667,14.235001,Coast,,1,17.6
KHJ,0313040702,Stettiner Haff,9,1999,9_1999,53.80667,14.235001,Coast,,0.7,18.3
KHJ,0313040702,Stettiner Haff,10,1999,10_1999,53.80667,14.235001,Coast,,2.1,12.6
KHJ,0313040702,Stettiner Haff,11,1999,11_1999,53.80667,14.235001,Coast,,2.7,3.4
KHJ,0313040702,Stettiner Haff,12,1999,12_1999,53.80667,14.235001,Coast,,2.2,3.8
KHJ,0313040702,Stettiner Haff,2,2000,2_2000,53.80667,14.235001,Coast,,2.8,3.8
KHJ,0313040702,Stettiner Haff,3,2000,3_2000,53.80667,14.235001,Coast,,2.2,4.3
KHJ,0313040702,Stettiner Haff,4,2000,4_2000,53.80667,14.235001,Coast,,1.1,11.5
KHJ,0313040702,Stettiner Haff,5,2000,5_2000,53.80667,14.235001,Coast,,0.8,21.1
KHJ,0313040702,Stettiner Haff,6,2000,6_2000,53.80667,14.235001,Coast,,1.2,24.3
KHJ,0313040702,Stettiner Haff,7,2000,7_2000,53.80667,14.235001,Coast,,1.9,16.7
KHJ,0313040702,Stettiner Haff,8,2000,8_2000,53.80667,14.235001,Coast,,1.4,18.8
KHJ,0313040702,Stettiner Haff,9,2000,9_2000,53.80667,14.235001,Coast,,1.1,17.6
KHJ,0313040702,Stettiner Haff,10,2000,10_2000,53.80667,14.235001,Coast,,1.4,12.8
KHJ,0313040702,Stettiner Haff,11,2000,11_2000,53.80667,14.235001,Coast,,1.8,8.6
KHJ,0313040702,Stettiner Haff,12,2000,12_2000,53.80667,14.235001,Coast,,2,4.8
KHJ,0313040702,Stettiner Haff,1,2001,1_2001,53.80667,14.235001,Coast,,2.1,0.6
KHJ,0313040702,Stettiner Haff,2,2001,2_2001,53.80667,14.235001,Coast,,1.6,3.2
KHJ,0313040702,Stettiner Haff,3,2001,3_2001,53.80667,14.235001,Coast,,1.3,3.2
KHJ,0313040702,Stettiner Haff,4,2001,4_2001,53.80667,14.235001,Coast,,1.3,9.3
KHJ,0313040702,Stettiner Haff,5,2001,5_2001,53.80667,14.235001,Coast,,0.8,12.3
KHJ,0313040702,Stettiner Haff,6,2001,6_2001,53.80667,14.235001,Coast,,0.7,17.7
KHJ,0313040702,Stettiner Haff,7,2001,7_2001,53.80667,14.235001,Coast,,0.8,18.9
KHJ,0313040702,Stettiner Haff,8,2001,8_2001,53.80667,14.235001,Coast,,0.5,18.5
KHJ,0313040702,Stettiner Haff,9,2001,9_2001,53.80667,14.235001,Coast,,0.7,14.1
KHJ,0313040702,Stettiner Haff,10,2001,10_2001,53.80667,14.235001,Coast,,0.7,14.7
KHJ,0313040702,Stettiner Haff,11,2001,11_2001,53.80667,14.235001,Coast,,1.2,8.5
KHJ,0313040702,Stettiner Haff,12,2001,12_2001,53.80667,14.235001,Coast,,1.5,2.6
