DATUM_Uhrzeit;SICHTTIEFE
27.02.2020;0.6
24.03.2020;0.8
28.04.2020;0.8
26.05.2020;0.6
23.06.2020;0.7
21.07.2020;0.5
25.08.2020;0.3
22.09.2020;0.3
20.10.2020;1.3
24.11.2020;1.1
15.12.2020;2
26.01.2021;1.4
23.03.2021;2
27.04.2021;1.5
19.05.2021;1.3
08.06.2021;1.9
20.07.2021;0.5
24.08.2021;0.5
14.09.2021;0.7
26.10.2021;1.1
17.11.2021;1.5
15.12.2021;1.1
;
;0.1
